ok to release e-text?	preferred edition	Genre	Derge cat. no.	duplicates	Title	Author	Published?	Source	have e-text?	e-text link	ok to release e-text?	pdf link	comment
yes		stotra	1109	4562	Viśeṣastava	Rādhasvāmin (a.k.a. Bhaṭṭarādhasvāmin; sometimes attributed to Udbhaṭasvāmin)	y	Schneider 2023	yes (Szántó)	D1109-4562 Rādhasvāmin-Viśeṣastava.txt	yes
yes		stotra	1112		Devātiśayastotra (a.k.a. Devatāvimarśastuti)	Śaṃkarasvāmin	y	Schneider 2014; Liu & Schneider 2022	yes (Szántó)	D1112 Śaṃkarasvāmin-Devātiśayastotra.txt	yes	Liu Schneider 2022 Buddhist Hymns.pdf	the input is from a slightly older edition, the pdf here is that of the latest one
yes		stotra	1114		*Buddhastotra	*Vasudhārā	n	CUL Ms Or.143 https://cudl.lib.cam.ac.uk/view/MS-OR-00143/1	yes (Szántó)	D1114_*Vasudhārā_*Buddhastotra-CULfrag.txt	yes	MS-OR-00143-000-00001.jpg	only a small fragment identified in a multiple-text manuscript
yes		stotra	1117		*Mārajitstotra	Harṣa	y	Hahn 1996	yes (Szántó)	D1117_*Mārajitstotra_Harṣa.txt	yes	Hahn 1996 Mārajitstotra.pdf	a three-verse hymn where the first two are from the Nāgānanda
yes		stotra	1118		Dharmadhātustava	Nāgārjuna	y	Liu 2015	yes (Szántó)	D1118_Nāgārjuna_Dharmadhātustava-Liu-Kano.txt	yes	Liu 2015 Dharmadhātustava.pdf	the e-text is a proofread version of the input by the DSBC and implementing emendations offered by Kano
yes		stotra	1119		Niraupamyastava	Nāgārjuna	y	Tola & Dragonetti 1985	yes (Szántó)	D1119_Nāgārjuna_Niraupamyastava-TolaDragonetti.txt	yes	Tola Dragonetti 1985 Catuḥstava.pdf
yes		stotra	1120		Lokātītastava	Nāgārjuna	y	Tola & Dragonetti 1985	yes (Szántó)	D1120_Nāgārjuna_Lokātītastava-TolaDragonetti.txt	yes	Tola Dragonetti 1985 Catuḥstava.pdf
yes		stotra	1122		Paramārthastava	Nāgārjuna	y	Tola & Dragonetti 1985	yes (Szántó)	D1122_Nāgārjuna_Paramārthastava-TolaDragonetti.txt	yes	Tola Dragonetti 1985 Catuḥstava.pdf
yes		stotra	1123		*Trikāyastava (or *Kāyatrayastotra or *Kāyatrayastava)	Nāgārjuna	y	Newman (academia.edu notes)	yes (Szántó)	D1123_Nāgārjuna_*Trikāyastava.txt	yes	https://www.academia.edu/128817823/Nāgārjuna_Kāyatrayastava_a_k_a_Kāyatrayastotra_Trikāyastava_Sanskrit_Text_after_the_Editions_of_Alexander_von_Staël_Holstein_George_N_Roerich_and_Francesco_Sferra_Version_3_0_
yes		stotra	1125	4516	Sattvārādhanastava	Nāgārjuna	y	Lévi 1929	yes (Szántó)	D1125-4516_Nāgārjuna_Sattvārādhanastava-Lévi+frag.txt	yes	Lévi 1929 autour Aśvaghoṣa.pdf	missing verses supplied from another ms.
yes		stotra	1125	4516	Sattvārādhanastava	Nāgārjuna	y	Cheung 2025	yes (Szántó)	D1125-4516_Nāgārjuna_Sattvārādhanastava-Cheung.txt	yes	Cheung 2025 Sattvārādhanastava Tibet Museum.pdf	full text
yes		stotra	1127		Nirvikalpastuti (a.k.a. Prajñāpāramitāstotra)	Nāgārjuna (or rather: Rāhulabhadra)	y	Hahn 1988	yes (Szántó)	D1127_Rāhulabhadra_Nirvikalpastuti-ms.txt	yes	Hahn 1988 Bemerkungen.pdf	this input is from a ms. in the Kaiser Library, but compared with Hahn's edition
yes		stotra	1128		Acintyastava	Nāgārjuna	y	Tola & Dragonetti 1985	yes (Szántó)	D1128_Nāgārjuna_Acintyastava-TolaDragonetti.txt	yes	Tola Dragonetti 1985 Catuḥstava.pdf
yes		stotra	1137		Narakoddharastava	Nāgārjuna	y	Lindtner 1979	yes (Szántó)	D1137_Nāgārjuna_Narakoddharastava-LindtnerMs.txt	yes	Lindtner 1979 Narakoddharastava.pdf
yes		stotra	1138		Varṇārhavarṇastotra	Mātṛceṭa	y	Hartmann 1987	yes (BP Oslo)	D1138_Mātṛceṭa_Varṇārhavarṇastotra-Hartmann-OlsoRiptxt.txt	yes	Hartmann 1987 Varṇārhavarṇastotra.pdf	ripped from synopic edition at the Bibliotheca Polyglotta: https://www2.hf.uio.no/polyglotta/index.php?page=fulltext&vid=1127&view=fulltext
