metadata,original,renamed,score,method
SA_K12_Āgama_Adhyardhaśatikā-Prajñāpāramitā-Khotanese-ms_Szántó-metadata.json,Adhyardhaśatikā_KhotMs.txt,SA_K12_Āgama_Adhyardhaśatikā-Prajñāpāramitā-Khotanese-ms_Szántó.txt,0.85,stem
SA_K12_Āgama_Amoghapāśahṛdaya_Szántó-metadata.json,Amoghapāśahṛdaya.txt,SA_K12_Āgama_Amoghapāśahṛdaya_Szántó.txt,1.00,exact
SA_K12_Āgama_Amoghapāśakalparāja-ch1-7_Szántó-metadata.json,Amoghapāśakalparāja_1-7.txt,SA_K12_Āgama_Amoghapāśakalparāja-ch1-7_Szántó.txt,0.85,chapter
SA_K12_Āgama_Amoghapāśakalparāja-editions1-4_Szántó-metadata.json,D686_Amoghapāśakalparāja-editions-1-4.txt,SA_K12_Āgama_Amoghapāśakalparāja-editions1-4_Szántó.txt,1.00,exact
SA_K12_Āgama_Bhagavatyāsvedāmbujāyā-yathālabdhatantrarāja-diplomatic_Szántó-metadata.json,Bhagavatyāsvedāmbujāyā yathālabdhatantrarāja_dipl.txt,SA_K12_Āgama_Bhagavatyāsvedāmbujāyā-yathālabdhatantrarāja-diplomatic_Szántó.txt,0.85,substr
SA_K12_Āgama_Bhūtaḍāmaratantra_Szántó-metadata.json,bhūtaḍāmara-84-forgrep.txt,SA_K12_Āgama_Bhūtaḍāmaratantra_Szántó.txt,0.78,stem
SA_K12_Āgama_Buddhakapālatantra-ch9-14_Szántó-metadata.json,PDSz-Buddhakapāla-9-14.txt,SA_K12_Āgama_Buddhakapālatantra-ch9-14_Szántó.txt,0.85,chapter
SA_K12_Āgama_Caturyoginīsampuṭa_Szántó-metadata.json,Caturyoginīsaṃpuṭa_incomplete.txt,SA_K12_Āgama_Caturyoginīsampuṭa_Szántó.txt,0.90,substr
SA_K12_Āgama_Caṇḍamahāroṣaṇatantra-ch26-32_Szántó-metadata.json,Caṇḍamahāroṣaṇatantra_26-32.txt,SA_K12_Āgama_Caṇḍamahāroṣaṇatantra-ch26-32_Szántó.txt,0.85,chapter
SA_K12_Āgama_Dhvajāgrakeyūrādhāraṇī_Szántó-metadata.json,D612-923 Dhvajrāgrakeyūrādhāraṇī.txt,SA_K12_Āgama_Dhvajāgrakeyūrādhāraṇī_Szántó.txt,0.82,simil
SA_K12_Āgama_Ekajaṭākalpa_Szántó-metadata.json,ekajaṭākalpa.txt,SA_K12_Āgama_Ekajaṭākalpa_Szántó.txt,1.00,exact
SA_K12_Āgama_Kurukullākalpa_Szántó-metadata.json,Kurukullākalpa.txt,SA_K12_Āgama_Kurukullākalpa_Szántó.txt,1.00,exact
SA_K12_Āgama_Kālacakrasekaprakriyā_Szántó-metadata.json,Kālacakrasekaprakriyā-materials.txt,SA_K12_Āgama_Kālacakrasekaprakriyā_Szántó.txt,0.90,substr
SA_K12_Āgama_Laghuśamvaratantra-metadata.json,Laghusamvara_CIHTS_DHI-2002.txt,SA_K12_Āgama_Laghuśamvaratantra.txt,0.78,stem
SA_K12_Āgama_Mahādaṇḍadhāraṇīśītavatī_Hidas-metadata.json,Mahādaṇḍadhāraṇīśītavatī.txt,SA_K12_Āgama_Mahādaṇḍadhāraṇīśītavatī_Hidas.txt,1.00,exact
SA_K12_Āgama_Mahādhāraṇī_Szántó-metadata.json,D529-888 Mahādhāraṇī.txt,SA_K12_Āgama_Mahādhāraṇī_Szántó.txt,1.00,exact
SA_K12_Āgama_Mahāmudrātilaka_Szántó-metadata.json,mahaamudraatilaka_ed.txt,SA_K12_Āgama_Mahāmudrātilaka_Szántó.txt,0.90,substr
SA_K12_Āgama_Mahāsamājasūtra_Szántó-metadata.json,Mahāsamājasūtra.txt,SA_K12_Āgama_Mahāsamājasūtra_Szántó.txt,1.00,exact
SA_K12_Āgama_Mahāvairocanābhisaṃbodhitantra-fragment_Szántó-metadata.json,Mahāvairocanābhisambodhi fragment.txt,SA_K12_Āgama_Mahāvairocanābhisaṃbodhitantra-fragment_Szántó.txt,0.81,stem
SA_K12_Āgama_Mahāśrīnāmadvādaśaka_Hidas-metadata.json,D741-1006 Mahāśrīnāmadvādaśa.txt,SA_K12_Āgama_Mahāśrīnāmadvādaśaka_Hidas.txt,0.85,substr
SA_K12_Āgama_Manasvināgarājasūtra_Szántó-metadata.json,*Manasvināgarājasūtra.txt,SA_K12_Āgama_Manasvināgarājasūtra_Szántó.txt,1.00,exact
SA_K12_Āgama_Mañjuśriyamūlakalpa_Szántó-metadata.json,Mañjuśriyamūlakalpa-84-forgrep.txt,SA_K12_Āgama_Mañjuśriyamūlakalpa_Szántó.txt,0.90,substr
SA_K12_Āgama_Māṇibhadradhāraṇī_Hidas-metadata.json,D764-970 Māṇibhadradhāraṇī.txt,SA_K12_Āgama_Māṇibhadradhāraṇī_Hidas.txt,1.00,exact
SA_K12_Āgama_Nīlakaṇṭhadhāraṇī_Szántó-metadata.json,D697-905 Nīlakaṇṭhadhāraṇī.txt,SA_K12_Āgama_Nīlakaṇṭhadhāraṇī_Szántó.txt,1.00,exact
SA_K12_Āgama_Puṣpakūṭanāmadhāraṇī-testimonia_Szántó-metadata.json,D516-886 Puṣpakūṭadhāraṇī testimonia.txt,SA_K12_Āgama_Puṣpakūṭanāmadhāraṇī-testimonia_Szántó.txt,0.81,stem
SA_K12_Āgama_Raktayamāritantra-diplomatic_Szántó-metadata.json,Raktayamāri-diplomatic.txt,SA_K12_Āgama_Raktayamāritantra-diplomatic_Szántó.txt,0.81,stem
SA_K12_Āgama_Sahasrāvartādhāraṇī_Szántó-metadata.json,D710-930 Sahasrāvartā.txt,SA_K12_Āgama_Sahasrāvartādhāraṇī_Szántó.txt,0.85,substr
SA_K12_Āgama_Sampuṭatilaka_Szántó-metadata.json,samputatilaka_w_tib.txt,SA_K12_Āgama_Sampuṭatilaka_Szántó.txt,0.90,substr
SA_K12_Āgama_Sampuṭodbhava_84000-metadata.json,sampuṭodbhava-84-forgrep.txt,SA_K12_Āgama_Sampuṭodbhava_84000.txt,0.90,substr
SA_K12_Āgama_Sarvabuddhasamāyogaḍākinījālaśaṃvara_Szántó-metadata.json,Sarvabuddhasamāyogaḍākinījālaśaṃvara.txt,SA_K12_Āgama_Sarvabuddhasamāyogaḍākinījālaśaṃvara_Szántó.txt,1.00,exact
SA_K12_Āgama_Sarvakarmāvaraṇaviśodhanīdhāraṇī_Szántó-metadata.json,D743-1009 Sarvakarmāvaraṇaviśodhanī.txt,SA_K12_Āgama_Sarvakarmāvaraṇaviśodhanīdhāraṇī_Szántó.txt,0.85,substr
