segmentnr	original	analyzed
SA_GSP32_vaisessu-0	athāto dharmaṃ vyākhyāsyāmaḥ / KVs_1,1.1 /	atha atas dharmam vyākhyāsyāmaḥ 
SA_GSP32_vaisessu-1	yato 'bhyudayaniḥśreyasasiddhiḥ sa dharmaḥ / KVs_1,1.2 /	yatas bhyudaya niḥśreyasa siddhiḥ sa dharmaḥ 
SA_GSP32_vaisessu-2	tadvacanādāmnāyasya prāmāṇyam / KVs_1,1.3 /	tad vacanāt āmnāyasya prāmāṇyam 
SA_GSP32_vaisessu-3	dharmaviśeṣa prasūtāt dravyaguṇakarmasāmānya viśeṣasamavāyānāṃ padārthānāṃ sādharmyavaidharmyābhyāṃ tattvajñānānniḥśreyasam / KVs_1,1.4 /	dharma viśeṣa prasūtāt dravya guṇa karma sāmānya viśeṣa samavāyānām padārthānām sādharmya vaidharmyābhyām tattva jñānāt niḥśreyasam  /
SA_GSP32_vaisessu-4	pṛthivyāpastejo vāyurākāśaṃ kālo digātmā mana iti dravyāṇi / KVs_1,1.5 /	pṛthivī apaḥ tejaḥ vāyuḥ ākāśam kālaḥ diś ātmā manaḥ iti dravyāṇi 
SA_GSP32_vaisessu-5	ruparasagandhasparśāḥ saṃkhyāḥ parimāṇāni pṛthaktvaṃ saṃyogavibhāgau paratvāparatve buddhayaḥ sukhaduḥkhe icchādveṣau prayatnāśca guṇāḥ / KVs_1,1.6	saṃkhyāḥ parimāṇāni pṛthaktvam saṃyoga vibhāgau paratva aparatve buddhayaḥ sukha duḥkhe icchā dveṣau prayatnāḥ ca guṇāḥ 
SA_GSP32_vaisessu-6	utkṣepaṇamavakṣepaṇaṃ ākuñcanaṃ prasāraṇaṃ gamanamiti karmāṇi / KVs_1,1.7 /	utkṣepaṇam avakṣepaṇam ākuñcanam prasāraṇam gamanam iti karmāṇi 
SA_GSP32_vaisessu-7	sadanityaṃ dravyavat kāryaṃ kāraṇaṃ sāmānyaviśeṣavaditi dravyaguṇakarmaṇāmaviśeṣaḥ / KVs_1,1.8 /	sat anityam dravyavat kāryam kāraṇam sāmānya viśeṣa vat iti dravya guṇa karmaṇām aviśeṣaḥ 
SA_GSP32_vaisessu-8	dravyaguṇayoḥ sajātīyārambhakatvaṃ sādharmyam / KVs_1,1.9 /	dravya guṇayoḥ sajātīya ārambhaka tvam sādharmyam 
SA_GSP32_vaisessu-9	dravyāṇi dravyāntaramārabhante guṇāśca guṇāntaram / KVs_1,1.10 /	dravyāṇi dravya antaram ārabhante guṇāḥ ca guṇa antaram 
SA_GSP32_vaisessu-10	karma karmasādhyaṃ na vidyate / KVs_1,1.11 /	karma karma sādhyam na vidyate 
SA_GSP32_vaisessu-11	na dravyaṃ kāraṇaṃ ca bhavati / KVs_1,1.12 /	na dravyam kāraṇam ca bhavati 
SA_GSP32_vaisessu-12	ubhayathā guṇāḥ / KVs_1,1.13 /	ubhayathā guṇāḥ 
SA_GSP32_vaisessu-13	kāryavirodhi karma / KVs_1,1.14 /	kārya virodhi karma 
SA_GSP32_vaisessu-14	kriyāguṇavat samavāyikāraṇamiti dravyalakṣaṇam / KVs_1,1.15 /	kriyā guṇavat samavāyi kāraṇam iti dravya lakṣaṇam 
SA_GSP32_vaisessu-15	dravyāśrayyaguṇavān saṃyogavibhāgeṣvakāraṇamanapekṣa iti guṇalakṣaṇam / KVs_1,1.16 /	dravya āśrayya guṇavān saṃyoga vibhāgeṣu akāraṇam anapekṣaḥ iti guṇa lakṣaṇam 
SA_GSP32_vaisessu-16	ekadravyamaguṇaṃ saṃyogavibhāgeṣvanapekṣa kāraṇamiti karmalakṣaṇam / KVs_1,1.17 /	eka dravyam aguṇam saṃyoga vibhāgeṣu anapekṣa kāraṇam iti karma lakṣaṇam 
SA_GSP32_vaisessu-17	dravyaguṇakarmaṇāṃ dravyaṃ kāraṇaṃ sāmānyam / KVs_1,1.18 /	dravya guṇa karmaṇām dravyam kāraṇam sāmānyam 
SA_GSP32_vaisessu-18	tathā guṇaḥ / KVs_1,1.19 /	tathā guṇaḥ 
SA_GSP32_vaisessu-19	saṃyogavibhāgavegānāṃ karma samānam / KVs_1,1.20 /	saṃyoga vibhāga vegānām karma samānam 
SA_GSP32_vaisessu-20	na dravyāṇāṃ karma / KVs_1,1.21 /	na dravyāṇām karma 
SA_GSP32_vaisessu-21	vyatirekāt / KVs_1,1.22 /	vyatirekāt 
SA_GSP32_vaisessu-22	dravyāṇāṃ dravyaṃ kāryaṃ sāmānyam / KVs_1,1.23 /	dravyāṇām dravyam kāryam sāmānyam 
SA_GSP32_vaisessu-23	guṇavaidharmyānna karmaṇāṃ karma / KVs_1,1.24 /	guṇa vaidharmyāt na karmaṇām karma 
SA_GSP32_vaisessu-24	dvitvaprabhṛtayaḥ saṃkhyāḥ pṛthaktva saṃyoga vibhāgāśca / KVs_1,1.25 /	dvi tva prabhṛtayaḥ saṃkhyāḥ pṛthak tva saṃyoga vibhāgāḥ ca 
SA_GSP32_vaisessu-25	asamavāyāt sāmānyakāryaṃ karma na vidyate / KVs_1,1.26 /	asamavāyāt sāmānya kāryam karma na vidyate  /
