segmentnr	original	analyzed
SA_MB_makutaagamaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
SA_MB_makutaagamaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00036	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
SA_MB_makutaagamaHK-2	Uniform title: makuṭāgama	uniform title makuṭāgama 
SA_MB_makutaagamaHK-3	Main title: makuṭāgama chapters 1 - 11	main title makuṭāgama chapters 
SA_MB_makutaagamaHK-4	Editor : swaminattha gurukkal c.	e d itoḥ svaminattha gurukkal c 
SA_MB_makutaagamaHK-5	Editor : Dyczkowski Mark S. G.	editoḥ dyczkowski mark s 
SA_MB_makutaagamaHK-6	Description: This e-text was transcribed from the text originally published in grantha script by C. Swaminattha Gurukkal and provisionally corrected by Mark S.G. Dyczkowski.	description this etext was transcribed from the text originally published in grantha script by c swaminattha gurukkal and provisionally corrected by mark sg dyczkowski 
SA_MB_makutaagamaHK-7	The photographic facsimile is from the Devakottai Series.	the photographic facsimile is from the devakottai series 
SA_MB_makutaagamaHK-8	Notes: Transcribed by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski with additional corrections by Dr. Dyczkowski.	notes transcribed by the staff of muktabodha under the direction of mark s g dyczkowski with additional corrections by dr dyczkowski 
SA_MB_makutaagamaHK-9	Revision 0: 29/01/2007	revision 
SA_MB_makutaagamaHK-10	Publisher : swaminattha gurukkal c.	publisheḥ svaminattha gurukkal c 
SA_MB_makutaagamaHK-11	Publication year : 1947	publication year 
SA_MB_makutaagamaHK-12	Publication city : Delhi	publication citi delhi 
SA_MB_makutaagamaHK-13	Publication country : India	publication country india 
SA_MB_makutaagamaHK-14	oṃ	om 
SA_MB_makutaagamaHK-15	śrīśivābhyāṃ namaḥ ||	śrī śivābhyām namaḥ 
SA_MB_makutaagamaHK-16	|| śrīmakuṭāgamaḥ ||	śrī makuṭāgamaḥ 
SA_MB_makutaagamaHK-17	tantrāvatārapaṭalaḥ ||	tantra avatāra paṭalaḥ 
SA_MB_makutaagamaHK-18	śrīmanmahendre jagatāṃ nayanānandakārake |	śrīmat mahendre jagatām nayana ānanda kārake 
SA_MB_makutaagamaHK-19	bilvavṛkṣaśamīvṛkṣa vaṭacampakapippalaiḥ || 1-1 ||	          
SA_MB_makutaagamaHK-20	plakṣapunnāgasahitaiścandanaiḥ parivārite |	plakṣa punnāga sahitaiḥ candanaiḥ parivārite 
SA_MB_makutaagamaHK-21	mahāsadasi sauvarṇe sarvavarṇapariṣkṛte || 1-2 ||	mahā sadasi sauvarṇe sarva varṇa pariṣkṛte 
SA_MB_makutaagamaHK-22	simhāsane mahāratnamaṇḍite maṅgalālaye |	simha āsane mahā ratna maṇḍite maṅgala ālaye 
SA_MB_makutaagamaHK-23	āsīnaṃ parameśānamavāṅmānasagocaram || 1-3 ||	āsīnam parameśānam avāk mānasa gocaram 
SA_MB_makutaagamaHK-24	anādimalanirmuktaṃ jagaddevaṃ dayānidhim |	              
SA_MB_makutaagamaHK-25	sarvavidyā vidhātāraṃ vāme gaurisamāyutam || 1-4 ||	sarva vidyāḥ vidhātāram vāme gaurī samāyutam 
SA_MB_makutaagamaHK-26	brahmanārāyaṇārkendramunigandharva sevitam |	brahma nārāyaṇa arka indra muni gandharva sevitam 
SA_MB_makutaagamaHK-27	saṃstūyamānandairvādyaistotramaṅgalavācakaiḥ || 1-5 ||	saṃstūyam ānandaiḥ vādyaiḥ stotra maṅgala vācakaiḥ 
SA_MB_makutaagamaHK-28	candrāryaśekharaṃ śāntaṃ prasannaṃ parameśvaram |	candra ārya śekharam śāntam prasannam parameśvaram 
SA_MB_makutaagamaHK-29	maheśvaraḥ prasannātmā śivajñānajighṛkṣayā || 1-6 ||	maheśvaraḥ prasanna ātmā śiva jñāna jighṛkṣayā 
SA_MB_makutaagamaHK-30	praṇamya sādaraṃ bhaktyā prāha lokahitaṃ vacaḥ |	praṇamya sa ādaram bhaktyā prāha loka hitam vacaḥ 
SA_MB_makutaagamaHK-31	maheśvara uvāca	maheśvaraḥ uvāca 
SA_MB_makutaagamaHK-32	devadeva jagannātha bhaktānāmārtināśana || 1-7 ||	devadeva jagannātha bhaktānām ārti nāśana 
SA_MB_makutaagamaHK-33	p. 2) sṛṣṭirakṣaṇa samhāratirodhānugrahodyata |	sṛṣṭi rakṣaṇa samhāra tirodhā anugraha udyata 
SA_MB_makutaagamaHK-34	śivāgamārṇavāntastha jñānaratna prakāśaka || 1-8 ||	śiva āgama arṇava antastha jñāna ratna prakāśaka 
SA_MB_makutaagamaHK-35	paśūnāṃ pāśaviśleṣaviśāradakṛpānidhe |	paśūnām pāśa viśleṣa viśārada kṛpā nidhe 
SA_MB_makutaagamaHK-36	śaktyā ca parayā yukta parasaṃvit svarūpayā || 1-9 ||	śaktyā ca parayā yukta para saṃvid svarūpayā 
SA_MB_makutaagamaHK-37	sarvajña sarvakṛccambho sarvātman sarvatomukha |	sarvajña sarva kṛt ca ambho sarva ātman sarvatomukha 
