segmentnr	original	analyzed
SA_K07_sukhvylu-0	oṃ namo daśadiganantāparyantalokadhātupratiṣṭhitebhyaḥ	om namaḥ daśa diś anantā paryanta lokadhātu pratiṣṭhitebhyaḥ 
SA_K07_sukhvylu-1	sarvabuddhabodhisattvāryaśrāvakapratyekabuddhebhyo 'tītānāgata-	sarva buddha bodhisattva ārya śrāvaka pratyekabuddhebhyaḥ tīta anāgata 
SA_K07_sukhvylu-2	pratyutpannebhyaḥ.	pratyutpannebhyaḥ 
SA_K07_sukhvylu-3	namo 'mitābhāya. namo 'mitāyuṣe. namo 'cintyaguṇāka-	namaḥ mita ābhāya namaḥ mita āyuṣe cintya guṇāka 
SA_K07_sukhvylu-4	rātmane.	ra ātmane 
SA_K07_sukhvylu-5	namo 'mitābhāya jināya, te mune.	namaḥ mita ābhāya jināya te mune 
SA_K07_sukhvylu-6	sukhāvatīṃ yāmi te cānukampayā.	sukhāvatīm yāmi te ca anukampayā 
SA_K07_sukhvylu-7	sukhāvatīṃ kanakavicitrakānanāṃ	sukhāvatīm kanaka vicitra kānanām 
SA_K07_sukhvylu-8	manoramāṃ sugatasutair alaṃkṛtāṃ.	manoramām sugata sutaiḥ alaṃkṛtām 
SA_K07_sukhvylu-9	tathāśrayāṃ prathitayaśasya dhīmataḥ,	tathā āśrayām prathita yaśasya dhīmataḥ 
SA_K07_sukhvylu-10	prayāmi tāṃ bahuguṇaratnasaṃcayām.	prayāmi tām bahu guṇa ratna saṃcayām 
SA_K07_sukhvylu-11	evaṃ mayā śrutam :	evam mayā śrutam 
SA_K07_sukhvylu-12	ekasmin samaye bhagavān rājagṛhe	ekasmin samaye bhagavān rājagṛhe 
SA_K07_sukhvylu-13	viharati sma,	viharati sma 
SA_K07_sukhvylu-14	gṛdhrakūṭe parvate mahatā bhikṣusaṃghena	gṛdhrakūṭe parvate mahatā bhikṣu saṃghena 
SA_K07_sukhvylu-15	sārdhaṃ dvātriṃśatā bhikṣusahasraiḥ,	sārdham dvātriṃśatā bhikṣu sahasraiḥ 
SA_K07_sukhvylu-16	sarvair arhadbhiḥ	sarvaiḥ arhadbhiḥ 
SA_K07_sukhvylu-17	kṣīṇāsravair niḥkleśair uṣitavadbhiḥ samyagājñāsuvimuktacittaiḥ	kṣīṇa āsravaiḥ niḥkleśaiḥ uṣitavadbhiḥ samyak ājñā su vimukta cittaiḥ 
SA_K07_sukhvylu-18	parikṣīṇabhavasaṃyojanasahasrair anuprāptasvakārthair	parikṣīṇa bhava saṃyojana sahasraiḥ anuprāpta svaka arthaiḥ 
SA_K07_sukhvylu-19	vijitavadbhir,	vijitavadbhiḥ 
SA_K07_sukhvylu-20	uttamadamane śamathaprāptaiḥ,	uttamadamane śamatha prāptaiḥ 
SA_K07_sukhvylu-21	suvimuktacittaiḥ suvimuktaprajñair mahānāgaiḥ,	su vimukta cittaiḥ su vimukta prajñaiḥ mahā nāgaiḥ 
SA_K07_sukhvylu-22	ṣaḍabhijñair	ṣaḍabhijñaiḥ 
SA_K07_sukhvylu-23	vaśībhūtair aṣṭavimokṣadhyāyibhir balaprāptair abhijñānābhijñātaiḥ,	vaśībhūtaiḥ aṣṭa vimokṣa dhyāyibhiḥ bala prāptaiḥ abhijñāna abhijñātaiḥ 
SA_K07_sukhvylu-24	sthavirair,	sthaviraiḥ 
SA_K07_sukhvylu-25	mahāśrāvakaiḥ. tad yathā :	mahāśrāvakaiḥ tat yathā 
SA_K07_sukhvylu-26	ājñātakauṇḍinyena	ājñātakauṇḍinyena 
SA_K07_sukhvylu-27	ca, aśvajitā ca,	ca aśvajitā ca 
SA_K07_sukhvylu-28	bāṣpeṇa ca,	bāṣpeṇa ca 
SA_K07_sukhvylu-29	mahānāmnā ca,	mahānāmnā ca 
SA_K07_sukhvylu-30	bhadrajitā P2	bhadrajitā p 
SA_K07_sukhvylu-31	ca, yaśodevena ca,	ca yaśodevena ca 
SA_K07_sukhvylu-32	vimalena ca,	vimalena ca 
SA_K07_sukhvylu-33	subāhunā ca, pūrṇena	subāhunā ca pūrṇena 
SA_K07_sukhvylu-34	ca maitrāyaṇīputreṇa,	ca maitrāyaṇīputreṇa 
SA_K07_sukhvylu-35	gavāṃpatinā ca,	gavāṃpatinā ca 
SA_K07_sukhvylu-36	uruvilvākāśyapena	uruvilvā kāśyapena 
SA_K07_sukhvylu-37	ca, nadīkāśyapena ca,	ca nadīkāśyapena ca 
SA_K07_sukhvylu-38	bhadrakāśyapena ca,	bhadrakāśyapena ca 
SA_K07_sukhvylu-39	kumārakāśyapena	kumārakāśyapena 
SA_K07_sukhvylu-40	ca, mahākāśyapena ca,	ca mahākāśyapena ca 
SA_K07_sukhvylu-41	śāriputreṇa ca,	śāriputreṇa ca 
SA_K07_sukhvylu-42	mahāmaudgalyāyanena	mahāmaudgalyāyanena 
SA_K07_sukhvylu-43	ca, mahākapphinena ca,	ca mahākapphinena ca 
SA_K07_sukhvylu-44	mahācundena ca,	mahācundena ca 
SA_K07_sukhvylu-45	aniruddhena ca,	aniruddhena ca 
SA_K07_sukhvylu-46	rādhena ca,	rādhena ca 
SA_K07_sukhvylu-47	nandikena ca,	nandikena ca 
SA_K07_sukhvylu-48	kimpilena ca,	kimpilena ca 
SA_K07_sukhvylu-49	subhūtinā ca,	subhūtinā ca 
SA_K07_sukhvylu-50	revatena ca,	revatena ca 
SA_K07_sukhvylu-51	khadiravanikena ca, vakkulena	khadira vanikena ca vakkulena 
SA_K07_sukhvylu-52	ca, svāgatena ca,	ca svāgatena ca 
SA_K07_sukhvylu-53	amogharājena ca,	amogharājena ca 
SA_K07_sukhvylu-54	pārāyaṇikena ca, panthena	pārāyaṇikena ca panthena 
SA_K07_sukhvylu-55	ca, cūlapanthena ca,	ca cūlapanthena ca 
SA_K07_sukhvylu-56	nandena ca,	nandena ca 
SA_K07_sukhvylu-57	rāhulena ca, āyuṣmatā	rāhulena ca āyuṣmatā 
SA_K07_sukhvylu-58	cānandena. ebhiś cānyaiś cābhijñānābhijñātaiḥ sthavirair	ca ānandena ebhiḥ ca anyaiḥ ca abhijñāna abhijñātaiḥ sthaviraiḥ 
SA_K07_sukhvylu-59	mahāśrāvakair,	mahāśrāvakaiḥ 
SA_K07_sukhvylu-60	ekapudgalaṃ sthāpayitvā śaikṣapratipady uttarikaraṇīyaṃ,	eka pudgalam sthāpayitvā śaikṣa pratipadi uttari karaṇīyam 
SA_K07_sukhvylu-61	yad idam : āyuṣmantam ānandaṃ,	yat idam āyuṣmantam ānandam 
SA_K07_sukhvylu-62	maitreyapūrvaṃgamaiś	maitreya pūrvaṃgamaiḥ 
SA_K07_sukhvylu-63	ca saṃbahulaiś ca bodhisattvair mahāsattvaiḥ.	ca saṃbahulaiḥ ca bodhisattvaiḥ mahāsattvaiḥ 
SA_K07_sukhvylu-64	atha khalv āyuṣmān ānanda utthāyāsanād ekāṃśam	atha khalu āyuṣmān ānandaḥ utthāya āsanāt eka aṃśam 
SA_K07_sukhvylu-65	uttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya	uttarāsaṅgam kṛtvā dakṣiṇam jānu maṇḍalam pṛthivyām pratiṣṭhāpya 
