segmentnr	original	analyzed
MBMahaayaagakramaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBMahaayaagakramaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00205	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBMahaayaagakramaHK-2	Uniform title: mahāyāgakrama	uniform title mahāyāga krama 
MBMahaayaagakramaHK-3	Author : bhaskararaya	authoḥ bhaskara raya 
MBMahaayaagakramaHK-4	Notes: Data-entered by the staff of Muktabodha under the supervision of Mark S.G. Dyczkowski.	notes data entered by the staff muktabodha under the supervision of mark sg dyczkowski 
MBMahaayaagakramaHK-5	Release 0: February 13, 2010	relase february 
MBMahaayaagakramaHK-6	Publisher : Asthana Vidwan K. P.  Narayana Sastry	publisher asthana vidvan k p 
MBMahaayaagakramaHK-7	Publication year : 1946	publication year 
MBMahaayaagakramaHK-8	Publication city : Bangalore	publication citi bangalore 
MBMahaayaagakramaHK-9	Publication country : India	publication country india 
MBMahaayaagakramaHK-10	śrī lalitāmahātripurasundarī	          
MBMahaayaagakramaHK-11	mahāyāgakramaḥ	mahā yāga kramaḥ 
MBMahaayaagakramaHK-12	śrīḥ	śrīḥ 
MBMahaayaagakramaHK-13	bhāvanopaniṣat	bhāvanā upaniṣad 
MBMahaayaagakramaHK-14	1. śrīgurussarvakāraṇabhṛtā śaktiḥ ||	          
MBMahaayaagakramaHK-15	2. tena navarandhrarūpo dehaḥ ||	tena nava randhra rūpaḥ dehaḥ 
MBMahaayaagakramaHK-16	atha bhāvanopaniṣadā muktyai yā bhāvanāḥ kathitāḥ |	atha bhāvanā upaniṣadā muktyai yāḥ bhāvanāḥ kathitāḥ 
MBMahaayaagakramaHK-17	bhāskararāyo racayati tāsāmevaṃ prayogavidhim ||	racayati tāsām evam prayoga vidhim 
MBMahaayaagakramaHK-18	mūlena prāṇānāyamya ṛṣyādinyāsatrayaṃ kṛtvā	mūlena prāṇān āyamya ṛṣi ādi nyāsa trayam kṛtvā 
