segmentnr	original	analyzed
MBviiraagamaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBviiraagamaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00253	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBviiraagamaHK-2	Uniform title: vīrāgama	uniform title vīra āgama 
MBviiraagamaHK-3	Manuscript : IFP/EFEO transcript T0029	manuscript 
MBviiraagamaHK-4	Description: Transcribed from IFP transcript T0029 which is copied from a manuscript from Kilvelūr	description transcribed from ifp transcript  which is copied from a manuscript from kilvelūr 
MBviiraagamaHK-5	See Muktabodha IFP/EFEO on-line catalog for bibliographic details at www.muktabodha.org .	see muktabodha ifpefeo online catalg for bibliographic details at 
MBviiraagamaHK-6	Notes: Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBviiraagamaHK-7	Revision 0: April 3, 2012	revision april 
MBviiraagamaHK-8	Publication country : India	publication country india 
MBviiraagamaHK-9	p. 3)	p 
MBviiraagamaHK-10	vīrāgamaḥ ||	vīra āgamaḥ 
MBviiraagamaHK-11	vighnavāraṇa vighneśaḥ sarvadeva namaskṛtaḥ |	vighna vāraṇa vighneśaḥ sarva deva namaskṛtaḥ 
MBviiraagamaHK-12	saṃnidhattāṃ ca me vāṇī bhuvanatrayavanditā || 1 ||	saṃnidhattām ca me vāṇī bhuvanatraya vanditā 
MBviiraagamaHK-13	merumadhye samāsīnaṃ ṛṣisaṃghaissamāvṛtam |	meru madhye samāsīnam ṛṣi saṃghaiḥ samāvṛtam 
MBviiraagamaHK-14	sevitaṃ bhūtasaṃghaiśca bhūtapreta piśācakaiḥ || 2 ||	sevitam bhūta saṃghaiḥ ca bhūta preta piśācakaiḥ 
MBviiraagamaHK-15	gandharvaiśca samāyuktaṃ somārghakṛtaśekharam |	gandharvaiḥ ca samāyuktam soma argha kṛta śekharam 
