segmentnr	original	analyzed
MBkamalanamniHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBkamalanamniHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00400	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBkamalanamniHK-2	Uniform title: kāmyakarmakamalā	uniform title kāmya karman kamalā 
MBkamalanamniHK-3	Secondary title: kamalā	secondary title kamalā 
MBkamalanamniHK-4	Author : prāṇamañjarī	authoḥ prāṇamañjarī 
MBkamalanamniHK-5	Manuscript : NGMCP Reel No. B 181/1 Manuscript No. 5-1922	manuscript ns U 
MBkamalanamniHK-6	Description: An extensive liturgcal manual for the worship of tripurasundarī	description an extensive liturgcal manual for tripurasundarī 
MBkamalanamniHK-7	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBkamalanamniHK-8	Revision 0: April 27, 2017	revision april 
MBkamalanamniHK-9	Publication country : India	publication country india 
MBkamalanamniHK-10	kamalānāmnī	kamalā nāmnī 
MBkamalanamniHK-11	śrīpremanidhipaṇḍitadharmapatnyā prāṇamañjaryākhyayā racitā	śrī premanidhi paṇḍita dharma patnyā prāṇamañjarī ākhyayā racitā 
MBkamalanamniHK-12	p. 1a)	p a 
MBkamalanamniHK-13	śrīmahāgaṇapataye namaḥ || śrīkārttavīryārjunāya namaḥ ||	śrī mahā gaṇapataye namaḥ śrī kārttavīrya arjunāya namaḥ 
MBkamalanamniHK-14	sudarśana samudgato jayati kārtavīryārjunaḥ sudarśanasamudgateḥ	sudarśana samudgataḥ jayati kārtavīrya arjunaḥ sudarśana samudgateḥ 
MBkamalanamniHK-15	paramakāraṇatvārjunaḥ	parama kāraṇa tvāt arjunaḥ 
MBkamalanamniHK-16	sudarśanadṛḍhīkṛtakramanityakāmyārthayoryadīyadayayādhunodbhavitumudyatā	sudarśana dṛḍhīkṛta krama nitya kāmya arthayoḥ yadi iya dayayā adhunā udbhavitum udyatā 
MBkamalanamniHK-17	paddhatiḥ || 1 ||	paddhatiḥ 
MBkamalanamniHK-18	svanirmitasudarśanābhidhakataṃtrarājo'tra satpuṭippaṇaviniścito	sva nirmita sudarśana abhidhaka taṃtra rājā utra sat puṭippaṇa viniścitaḥ 
MBkamalanamniHK-19	'nyatakāmyakarmyārthakaḥ pradarśyata iha sphuṭaṃ kamalayā tayā yoditā	pradarśyate iha sphuṭam kamalayā tayā yoditā 
MBkamalanamniHK-20	sudarśanasahodarā tripurasundarīpaddhatiḥ || 2 ||	         
MBkamalanamniHK-21	yātā cet kamalā tvagasthirudhiraprāpāpadaṃ śrī hareryuktaṃ tannihite na khedapadavī	yātā ced kamalā tvac asthi rudhira prāpā padam śrī hareḥ yuktam tat nihite na kheda padavī 
MBkamalanamniHK-22	pāṃthī bhavatvaṃ manaḥ nānāvarṇapadāvitārthagahanādūraṃ puraśca sthitā	pāṃthī bhava tvam manaḥ nānā varṇa pada āvita artha gahana adūram puras ca sthitā 
MBkamalanamniHK-23	dattaivātyupadhīyate jhaṭiti sā navyā punā racyate || 3 ||	dattā eva atyupadhīyate jhaṭiti sā navyā racyate 
MBkamalanamniHK-24	yasyāḥ kopi ca harṣa devavivudhastānaḥ prasūḥ śrīmatīrayātā harṣamatīti	yasyāḥ kaḥ api ca harṣa deva vivudhaḥ tānaḥ prasūḥ śrīmatī rayātā harṣa matī iti 
MBkamalanamniHK-25	caṃdadigitaḥ kūrmāñcalo janmabhūḥ vidvat prema nidhesṛtīya vanitā śrīprāṇamaṃ	kūrmāñcalaḥ janmabhūḥ 
MBkamalanamniHK-26	jaryahaṃ kurvetho kamalāṃ svataṃtramatataḥ śrīsuṃdarīpaddhatiḥ | 4 ||	jarī aham kamalām svataṃtram atataḥ śrī suṃdarī paddhatiḥ 
MBkamalanamniHK-27	kamalayāmalayāpi vinā yadā bhavati sadvidhinā tripurārcanam |	kamalayā amalayā api vinā yadā bhavati sat vidhinā tripura arcanam 
MBkamalanamniHK-28	kamalayāmalayāyyanayā vinā bhavatu kiṃ na tadā tripurārcanam || 5 ||	vinā bhavatu kim na tadā tripura arcanam 
MBkamalanamniHK-29	aha sakalai tat svataṃtrataṃtraprasṛta	aha tat svataṃtra taṃtra prasṛta 
MBkamalanamniHK-30	parasparasāpekṣanānārthasārthasaṃgrahapūrvakam	paraspara sāpekṣa nānā artha sārtha saṃgraha pūrvakam 
MBkamalanamniHK-31	etannityānityanaimittikādyanuṣṭhānamācaratāṃ madaṃśatvaṃ bhavatīti	etat nitya anitya naimittika ādi anuṣṭhānam ācaratām mad aṃśa tvam bhavati iti 
MBkamalanamniHK-32	praskutataṃtrānte bhagavato yadiṣṭatayā tādṛśakāmanāyāḥ sakalajanavṛttitayā	praskuta taṃtra ante bhagavataḥ yat iṣṭa tayā tādṛśa kāmanāyāḥ sakala jana vṛtti tayā 
MBkamalanamniHK-33	sakalajanopakṛtaye tadarthasaṃgrahapūrvakasakalā paranityā sahitāyāḥ	sakala jana upakṛtaye tad artha saṃgraha pūrvaka sakalā para nityā sahitāyāḥ 
