segmentnr	original	analyzed
SA_GV05_brupsb1u-0	oṃ	om 
SA_GV05_brupsb1u-1	bṛhadāraṇyakopaniṣad	bṛhat āraṇyaka upaniṣad 
SA_GV05_brupsb1u-2	oṃ pūrṇamadaḥ pūrṇamidaṃ pūrṇātpūrṇamadacyate /	om pūrṇam adaḥ pūrṇam idam pūrṇāt pūrṇa mada cyate 
SA_GV05_brupsb1u-3	pūrṇasya pūrṇamādāya pūrṇamevāvaśiṣyate //	pūrṇasya pūrṇam ādāya pūrṇam eva avaśiṣyate 
SA_GV05_brupsb1u-4	oṃ śāntiḥ / śāntiḥ // śāntiḥ ///	om śāntiḥ śāntiḥ śāntiḥ 
SA_GV05_brupsb1u-5	oṃ namo brahmādibhyo brahmavidyāsampradāyakartṛbhyo vaṃśaṛṣibhyo namo gurubhyaḥ /	om namaḥ brahma ādibhyaḥ brahma vidyā sampradāya kartṛbhyaḥ vaṃśa ṛṣibhyaḥ namaḥ gurubhyaḥ 
SA_GV05_brupsb1u-6	'uṣā vā aśvasya'ityevamādyā vājasaneyibrāhmaṇopaniṣat /	uṣāḥ vai aśvasya eti evamādyā vājasaneyi brāhmaṇa upaniṣad 
SA_GV05_brupsb1u-7	tasyā iyamalpagranthā vṛttirārabhyate saṃsāravyāvivṛtsubhyaḥ saṃsārahetunivṛttisādhanabrahmātmaikatvavidyāpratipattaye /	tasyāḥ iyam alpa granthā vṛttiḥ ārabhyate saṃsāra vyāvivṛtsubhyaḥ saṃsāra hetu nivṛtti sādhana brahma ātma eka tva vidyā pratipattaye 
SA_GV05_brupsb1u-8	seyaṃ brahmavidyā upaniṣacchabdhavācyātatparāṇāṃ sahetoḥ saṃsārasyātyantāvasādanāt /	sā iyam brahma vidyā upaniṣad śabdha vācyā a tatparāṇām sa hetoḥ saṃsārasya atyanta avasādanāt 
SA_GV05_brupsb1u-9	upaniṣūvasyasadestadarthatvāt /	upa niṣū vasyas sadeḥ tad artha tvāt 
SA_GV05_brupsb1u-10	tādarthyād grantho 'pyupaniṣad ucyate /	tādarthyāt upaniṣad ucyate 
SA_GV05_brupsb1u-11	seyaṃ ṣaḍadhyāyī araṇye 'nūcyamānatvādāraṇyakam,	sā iyam ṣaṣ adhyāyī araṇye nūcyamāna tvāt āraṇyakam 
SA_GV05_brupsb1u-12	bṛhattvātparimāṇato bṛhadāraṇyakam /	bṛhat tvāt parimāṇataḥ bṛhadāraṇyakam 
SA_GV05_brupsb1u-13	tasyāsya karmakāṇḍena sambandho 'bhidhīyate /	tasya asya karmakāṇḍena sambandhaḥ abhidhīyate 
SA_GV05_brupsb1u-14	sarvo 'pyayaṃ vedaḥ pratyakṣānumānābhyāmanavagateṣṭāniṣṭaprāptiparihāropāya- prakāśanaparaḥ sarvapuruṣāṃ nisargata eva tatprāptiparihārayoriṣṭatvāt	sarvaḥ pi ayam vedaḥ pratyakṣa anumānābhyām anavagata iṣṭa aniṣṭa prāpti parihāra upāya prakāśana paraḥ sarva puruṣām nisargataḥ eva tad prāpti parihārayoḥ iṣṭa tvāt 
SA_GV05_brupsb1u-15	dṛṣṭaviṣaye ceṣṭāniṣṭaṣṭaprāptiparihāropāya- jñānasya pratyakṣānumānābhyāmeva siddatvānnāgamānveṣaṇā /	dṛṣṭa viṣaye ca iṣṭa aniṣṭa ṣṭa prāpti parihāra upāya jñānasya pratyakṣa anumānābhyām eva sidda tvāt na āgama anveṣaṇā 
SA_GV05_brupsb1u-16	na cāsati janmāntarasambandhyātmāstitvavijñāne janmāntarasambandhyātmāstitvavijñāne janmāntareṣṭāniṣṭaṣṭaprāptiparihārecchā syāt svabhāvavādidarśanāt	na ca asati janma antara sambandhi ātma astitva vijñāne janma antara sambandhi ātma astitva vijñāne janma antara iṣṭa aniṣṭa ṣṭa prāpti parihāra icchā syāt svabhāvavādi darśanāt 
SA_GV05_brupsb1u-17	tasmājjanmāntarasambandhyātmāstitve janmāntareṣṭāniṣṭaṣṭaprāptiparihāropāyaviśeṣe ca śāstraṃ pravartate /	tasmāt janma antara sambandhi ātma astitve janmāntara iṣṭa aniṣṭa ṣṭa prāpti parihāra upāya viśeṣe ca śāstram pravartate 
SA_GV05_brupsb1u-18	“yeyaṃ prete vicikitsā mānuṣye 'stītyeke nāyamastīti caike” (ka.u. 1 / 1 /	yā iyam prete vicikitsā mānuṣye sti iti eke na ayam asti iti ca eke kau  /
SA_GV05_brupsb1u-19	20) ityupakramya“astītyevopalabdhavyaḥ” (ka.u. 2 / 3 /	iti upakramya asti iti eva upalabdhavyaḥ kau    
SA_GV05_brupsb1u-20	13) ityevamādinirṇayadarśanāt /	iti evamādi nirṇaya darśanāt 
SA_GV05_brupsb1u-21	“yathā ca maraṇaṃ prāpya” (ka.u.2 / 2 /	yathā ca maraṇam prāpya kau 
SA_GV05_brupsb1u-22	6) ityupakramya“yonimanye prapadyante śarīratvāya dehinaḥ /	iti upakramya yonim anye prapadyante śarīra tvāya dehinaḥ 
SA_GV05_brupsb1u-23	sthāṇumanye 'nusaṃyanti yathākarma yathāśrutam“(ka.u.2 / 2 / 7) iti ca /	sthāṇum anye nusaṃyanti yathākarma yathāśrutamkau            
SA_GV05_brupsb1u-24	“svayañjyotiḥ” (bṛ.u. 4 / 3 /	svayañjyotiḥ bṛu 
SA_GV05_brupsb1u-25	9) ityupakramya“taṃ vidyākarmaṇi samanvāramete“( 4 / 4 /	iti upakramya tam vidyā karmaṇi samanvāramete    
SA_GV05_brupsb1u-26	2 ) “puṇyo vai puṇena karmaṇā bhavati pāpaḥ pāpena“( 3 / 2 / 13 ) iti ca /	puṇyaḥ vai puṇena karmaṇā bhavati pāpaḥ pāpena         iti ca 
SA_GV05_brupsb1u-27	“jñapayiṣyāmi“(bṛ.u.2 / 1 /	jñapayiṣyāmi bṛu 
SA_GV05_brupsb1u-28	15) ityupakramya“vijñānamayaḥ“(2 / 1 /	iti upakramya vijñāna mayaḥ 
SA_GV05_brupsb1u-29	16) iti ca vyatiriktātmāstitvam /	iti ca vyatirikta ātma astitvam 
SA_GV05_brupsb1u-30	tatpratyakṣaviṣayameveti cenna,	tad pratyakṣa viṣayam eva iti ced na 
SA_GV05_brupsb1u-31	vādivipratipattidarśanāt /	vādi vipratipatti darśanāt 
SA_GV05_brupsb1u-32	na hi dehāntarasambandhina ātmanaḥ pratyakṣeṇāstitvavijñāne lokāyatikā bauddhāśca naḥ pratikūlāḥ syunāstyātmeti vadantaḥ /	na hi deha antara sambandhinaḥ ātmanaḥ pratyakṣeṇa astitva vijñāne lokāyatikāḥ bauddhāḥ ca naḥ pratikūlāḥ syuḥ na asti ātmā iti vadantaḥ 
SA_GV05_brupsb1u-33	na hi ghaṭādau pratyakṣaviṣaye kaścidvipratipadyate nāsti ghaṭa iti /	na hi ghaṭa ādau pratyakṣa viṣaye kaścid vipratipadyate na asti ghaṭaḥ iti 
SA_GV05_brupsb1u-34	sthāṇvādau puruṣādidarśanānneti cenna nirūpite sthāṇvādau vipratipattirbhavati /	sthāṇu ādau puruṣa ādi darśanāt na iti ced na nirūpite sthāṇu ādau vipratipattiḥ bhavati 
SA_GV05_brupsb1u-35	vaināśikāstvahamitipratyaye jāyamāne 'pi dehāntaravyatiriktasya nāstitvameva pratijānate /	vaināśikāḥ tu aham iti pratyaye jāyamāne deha antara vyatiriktasya nāstitvam eva pratijānate 
SA_GV05_brupsb1u-36	tasmātpratyakṣaviṣayavailakṣaṇyāt pratyakṣānnātmāstitvasiddhiḥ /	tasmāt pratyakṣa viṣaya vailakṣaṇyāt pratyakṣāt na ātma astitva siddhiḥ 
SA_GV05_brupsb1u-37	tathānumānādapi /	tathā anumānāt api 
