segmentnr	original	analyzed
SA_K12_n2920u-0	amoghapāśakalparāja (VI) 82a 5. ||	amogha pāśa kalpa rāja vi 
SA_K12_n2920u-1	ato vimokṣamaṇḍalahomavidhi pravakṣyāmi |	atas vimokṣa maṇḍala homa vidhi pravakṣyāmi 
SA_K12_n2920u-2	sarvvapāpāvaraṇa- nirdahanaṃ tathā vimucyate |	sarvva pāpa āvaraṇa nirdahanam tathā vimucyate 
SA_K12_n2920u-3	sarvvaduḥkhebhyo kilbiṣair dāruṇakleśa- sāgaraiḥ saṃ( m)	sarvva duḥkhebhyaḥ kilbiṣaiḥ dāruṇa kleśa sāgaraiḥ sam mā 
SA_K12_n2920u-4	sārottāraṇaṃ siddhaṃ |	sāra uttāraṇam siddham 
SA_K12_n2920u-5	avaivartya- 6. sthānam anuttaraṃ |	avaivartya sthānam anuttaram 
SA_K12_n2920u-6	āśvāsakaraṃ sarvvabuddhabodhisattvānāṃ lokottaramārgam uttaraṃ darśanaṃ sarvvabuddhānāṃ bodhisatva- darśanaṃ eva ca |	āśvāsa karam sarvva buddha bodhisattvānām lokottara mārgam uttaram darśanam sarvva buddhānām bodhisatva darśanam eva ca 
SA_K12_n2920u-7	devānāṃ saṃkramaṇaṃ sadyaṃ āhutimātrā na saṃśayaḥ |	devānām saṃkramaṇam sadyam āhuti mātrā na saṃśayaḥ 
SA_K12_n2920u-8	brāhmānaṃ |	brāhmānam 
SA_K12_n2920u-9	indraṃ viṣṇumaheśvaraṃ |	indram viṣṇu maheśvaram 
SA_K12_n2920u-10	īśvarañ ca maheśvaraṃ yamaś ca varuṇaś caiva kubera kube(mā)ram eva ca |	īśvaram ca maheśvaram yamaḥ ca varuṇaḥ ca eva kubera eva ca 
SA_K12_n2920u-11	homamātram idaṃ sadyam |	homa mātram idam sadyam 
SA_K12_n2920u-12	sarvvam āyānti na saṃśayaḥ |	sarvvam āyānti na saṃśayaḥ 
SA_K12_n2920u-13	devanāgāś ca yakṣāś ca gandharvvāsurāṇi ca 7. garuḍakinnaramahoragaiḥ rākṣasābhūtakumbhāṇḍaiḥ sarvvam āyānti tatkṣaṇaiḥ sarvve pādayo pramāṇa(ṇama)	deva nāgāḥ ca yakṣāḥ ca gandharva asurāṇi ca garuḍa kinnara mahoragaiḥ rākṣasa abhūta kumbhāṇḍaiḥ sarvam āyānti tad kṣaṇaiḥ sarve 
SA_K12_n2920u-14	nti vidhyādharasya śatatāṃ(taṃ)	nti vidhi adharasya śatatā aṃtam 
SA_K12_n2920u-15	yathā divārātrīñ ca rakṣante samantataḥ |	yathā divārātrīm ca rakṣante samantataḥ 
SA_K12_n2920u-16	catvāraś ca mahārajā vajrapāṇimahātmanāḥ |	catvāraḥ ca mahārajāḥ vajrapāṇi mahātmanāḥ 
SA_K12_n2920u-17	de(da)śaś ca mahāyakṣendrai rakṣanti diśo daśaḥ |	dedaśaḥ ca mahā yakṣa indraiḥ rakṣanti diśaḥ daśaḥ 
SA_K12_n2920u-18	nivārayante durjjanāṃ duṣṭā( ṃ)	nivārayante durjjanām 
SA_K12_n2920u-19	nāṃ narakā bhayadāruṇā kilbiṣā duṣṭasatvāś ca sarvve nivāraya- 82b 1. nti tadanantaraḥ |	narakāḥ bhaya dāruṇā kilbiṣāḥ duṣṭa satvāḥ ca sarve nivāraya 
SA_K12_n2920u-20	mahāpuṇyameru pravarttante mahāpuṇyarāśī anuttaraṃ ||	mahā puṇya meru pravarttante mahā puṇya rāśī anuttaram 
SA_K12_n2920u-21	candanasya palā viṃśa agaruṃ palā pañca saptaturṣkapalaṃ sadā |	candanasya palāḥ agarum palā pañca sapta turṣka palam sadā 
SA_K12_n2920u-22	karpūrakāstūrikabhāgaṃ kuṃkumasya phalaṃ bhavet |	        bhavet 
SA_K12_n2920u-23	kundrukapalā pañca guggulasaptapalaṃ sadā |	            
SA_K12_n2920u-24	ekatra cūrṇṇīkṛtvā misraye sitasarkaraṃ madhunā guḍikāṃ kṛtvā akṣapramāṇataḥ |	ekatra cūrṇṇīkṛtvā misraye sita sarkaram madhunā guḍikām kṛtvā akṣa pramāṇataḥ 
SA_K12_n2920u-25	aṣṭottarasahasraṃ sarṣapaṃ lājamiśreṇa guḍikan tu miśraya ghṛtāktā juhūyāt su- 2. rabhikāṣṭhaṃ arkakāṣṭhaṃ samīkāṣṭhasamidbhir agniṃ prajvālya  #	aṣṭottarasahasram sarṣapam lāja miśreṇa tu miśraya ghṛta aktāḥ juhūyāt su rabhi kāṣṭham arka kāṣṭham samī kāṣṭha samidbhiḥ agnim prajvālya 
SA_K12_n2920u-26	homavidhikārayam aṣṭottarasahasran tu yadā yadā juhūyāt |	homa vidhi kārayam tu yadā yadā juhūyāt 
SA_K12_n2920u-27	tadā (1) tadā sarvvapāpāvaraṇakilbiṣāṃ kṣapayanti |	tadā tadā sarvva pāpa āvaraṇa kilbiṣām kṣapayanti 
SA_K12_n2920u-28	tadā tadā sarvvavyādhiṃ parimucyate |	tadā tadā sarvva vyādhim parimucyate 
SA_K12_n2920u-29	tadā tadā sarvvarogaṃ parimucyate |	tadā tadā sarvva rogam parimucyate 
SA_K12_n2920u-30	tadā tadā jambūdvīpe sarvvasatvānā strīpuruṣadārakadārikāṃ śramaṇabrāhmaṇāṃ kṣatriyaviṭchūdrādi sarvvapāpāvaraṇāni kṣapayanti ||	tadā tadā jambūdvīpe sarvva satvānām strī puruṣa dāraka dārikām śramaṇa brāhmaṇām kṣatriya viś śūdra ādi sarvva pāpa āvaraṇāni kṣapayanti 
SA_K12_n2920u-31	sarvvabha- 3. yā sarvva ītayo sarvvopadravā sarvvopasargā sarvvagrahā sarvva- kalikalahavigrahavivāda sarvvasvacakraparacakrabhayāṃ |	sarvva bha yā sarvva ītayaḥ sarvva upadravā sarva upasargā sarva grahā sarvva kali kalaha vigraha vivāda sarvva sva cakra para cakra bhayām 
SA_K12_n2920u-32	sarvvapra- tyarthikapratyamitrabhayāṃ |	sarvva pra tyarthika pratyamitra bhayām 
SA_K12_n2920u-33	sarvvacoradhūrttataskaracaṇḍamṛga- bhayāṃ praśamanti |	sarvva cora dhūrta taskara caṇḍa mṛga bhayām praśamanti 
SA_K12_n2920u-34	sarvve ca te satvā nirbhayā bhavanti |	sarvve ca te satvāḥ nirbhayāḥ bhavanti 
SA_K12_n2920u-35	ye ca taṃ gandham āghrānti |	ye ca tam gandham āghrānti 
SA_K12_n2920u-36	strīpuruṣadārakadārikāṃ śramaṇabrāhmaṇakṣatriyā viṭchūdra sarvve tenāvaivarttikā bhaviṣyaty anu- 4. ttarāyāṃ samyaksaṃbuddhau prasthitā bhaviṣyanti	strī puruṣa dāraka dārikām śramaṇa brāhmaṇa kṣatriyāḥ sarve tena a vaivarttikāḥ bhaviṣyati anu ttarāyām samyaksaṃbuddhau prasthitāḥ bhaviṣyanti 
SA_K12_n2920u-37	janma- parivarttate sarvva sukhāvatīlokadhātum anuvrajanti |	janma parivarttate sarvva sukhāvatī lokadhātum anuvrajanti 
SA_K12_n2920u-38	upapādu- kapadmebhyo prajāsyanti |	upapādu kapadmebhyaḥ 
SA_K12_n2920u-39	sarvve ca tiryagyonigatā dvipadacatuṣpadānāṃ gandham āghrātamātreṇa niyatam avaivarttikā bhaviṣyanti |	sarvve ca tiryagyoni gatāḥ dvipada catuṣpadānām gandham āghrāta mātreṇa niyatam a vaivarttikāḥ bhaviṣyanti 
SA_K12_n2920u-40	avini- vartanīyānuttarāyāṃ samyaksamba(bu)	a vini vartanīyā an uttarāyām samyaksambabu 
SA_K12_n2920u-41	dhatve abhisaṃbudhyante |	dha tve abhisaṃbudhyante 
SA_K12_n2920u-42	sarvvavidyādhara yathā yathā juhati 5. tathā tathāsya kāyaṃ sunirmalapariśuddhir bhaviṣyati |	sarvva vidyādhara yathā yathā juhati tathā tathā asya kāyam su nirmala pariśuddhiḥ bhaviṣyati 
SA_K12_n2920u-43	pū- rṇṇe aṣṭottarasahasre vidyādharasya śarīre jvalati |	pu rṇṇe aṣṭottarasahasre vidyādharasya śarīre jvalati 
SA_K12_n2920u-44	daśadiśi mahā- buddhavigrahaṃ paśyati |	daśa diśi mahā buddha vigraham paśyati 
SA_K12_n2920u-45	tena ca tathāgatavigrahā vidyādharasya sādhukāram udīrayanti |	tena ca tathāgata vigrahāḥ vidyādharasya sādhukāram udīrayanti 
SA_K12_n2920u-46	sādhu sādhu vidyādhara eṣa paramo sarvva- tathāgataguhyavimokṣamaṇḍalaṃ lokottarahomavidhiḥ |	sādhu sādhu vidyādharaḥ eṣa tathāgata guhya vimokṣa maṇḍalam lokottara homa vidhiḥ 
SA_K12_n2920u-47	eṣa sarvva- mārapramardanamahāhomavidhiḥ |	eṣa 
SA_K12_n2920u-48	eṣa 6. bodhimārgam anuttaraṃ |	eṣa bodhi mārgam anuttaram 
SA_K12_n2920u-49	atha te sarvvatathāgatavigrahā |	atha te sarvva tathāgata vigrahā 
SA_K12_n2920u-50	su- varṇṇavarṇṇadakṣiṇabāhuṃ prasārya vidyādharasya pāṇi mūrddhi śire sthāpayanti |	su varṇṇa varṇṇa dakṣiṇa bāhum prasārya vidyādharasya pāṇi mūrddhi śire sthāpayanti 
SA_K12_n2920u-51	athāryāvalokiteśvaraṃ svarūpeṇa agratam upatiṣṭhati |	atha āryāvalokiteśvaram sva rūpeṇa agratas upatiṣṭhati 
SA_K12_n2920u-52	sarvvālaṇkāravibhūṣitaṃ |	sarvva alaṇkāra vibhūṣitam 
SA_K12_n2920u-53	amoghapāśabrahmaveśadharaṃ jaṭāmakuṭamaṇḍitaṃ padmatriśū[la]pāśadharaṃ |	amoghapāśa brahma veśa dharam jaṭā makuṭa maṇḍitam padma triśūla pāśa dharam 
SA_K12_n2920u-54	vidhyādharasya bravīti |	vidhyādharasya bravīti 
SA_K12_n2920u-55	sādhu sādhu vidyādhara siddha tvayā amoghapāśahṛdayaṃ vimokṣamaṇḍalaṃ lo- (2)	sādhu sādhu vidyādhara siddha tvayā amogha pāśa hṛdayam vimokṣa maṇḍalam 
SA_K12_n2920u-56	7. kottaramahāhomaviddhiḥ |	ka uttara mahā homa viddhiḥ 
SA_K12_n2920u-57	anugṛhṇa varaṃ yathā prārthayasi tat sarvva dadāmi |	anugṛhṇa varam yathā prārthayasi tat sarvva dadāmi 
SA_K12_n2920u-58	tato vidyādhareṇa yathābhilaṣitavarāṇi vaktavyaḥ |	tatas vidyādhareṇa yathā abhilaṣita varāṇi vaktavyaḥ 
SA_K12_n2920u-59	tat sarvvaṃ prāpnoti |	tat sarvvam prāpnoti 
SA_K12_n2920u-60	āryāvalokiteśvaraṃ bāhū prasārayati vidyādharasya mūrddhaśire pāṇi sthāpayati |	ārya avalokiteśvaram bāhū prasārayati vidyādharasya mūrddha śire pāṇi sthāpayati 
SA_K12_n2920u-61	samanantarasthāpitena pāṇi vidyādharasya ākāśena gacchati |	samanantara sthāpitena pāṇi vidyādharasya ākāśena gacchati 
SA_K12_n2920u-62	daśasu dikṣu sarvvabuddhakṣetram ākramati |	daśasu dikṣu sarvva buddhakṣetram ākramati 
SA_K12_n2920u-63	sarvvatathāgatasa[ṃ]mukhadarśanaṃ pratilabhate |	sarvva tathāgata saṃmukha darśanam pratilabhate 
SA_K12_n2920u-64	a- 83a 1. vaivarttikā avinivarttanīyasthānaṃ pratilabhate |	a vaivarttikā a vinivarttanīya sthānam pratilabhate 
SA_K12_n2920u-65	sarvvabuddhakṣetre sarvvatathāgatavyākaraṇaṃ pratilabhate |	sarvva buddhakṣetre sarvva tathāgata vyākaraṇam pratilabhate 
SA_K12_n2920u-66	(sarvvabuddhakṣetre sarvvatathāgatavyākaraṇaṃ pratilabhate |	sarvva buddhakṣetre sarvva tathāgata vyākaraṇam pratilabhate 
SA_K12_n2920u-67	) sarvvabuddhakṣetrā paryupāsya sukhāvatīlokadhātum anubrajati |	sarvva buddhakṣetrā paryupāsya sukhāvatī lokadhātum anubrajati 
SA_K12_n2920u-68	amitābhasya tathāgatasya sammukhaṃ su(sa)	amitābhasya tathāgatasya sammukham su sa 
SA_K12_n2920u-69	bodhisatvaparṣadaṃ dharmaṃ deśanā śroṣyanti |	bodhisatva parṣadam dharmam deśanā śroṣyanti 
SA_K12_n2920u-70	yāvad bodhimaṇḍaparyavasānād iti |	yāvat bodhimaṇḍa paryavasānāt iti 
SA_K12_n2920u-71	ataḥ khātraṃ pravakṣyāmi lokottarahomasthānam u- 2. ttamaṃ |	atas khātram pravakṣyāmi loka uttara homa sthānam 
SA_K12_n2920u-72	padmaprasphuṭaṃ kṛtvā ttṛhastaparimaṇḍalaṃ |	padma prasphuṭam kṛtvā 
SA_K12_n2920u-73	mṛdgomayasamanvitaṃ |	mṛd gomaya samanvitam 
SA_K12_n2920u-74	madhye keśarapadmasya gā(khā)	madhye keśarapadmasya gākhā 
SA_K12_n2920u-75	traṃ khānayaṃ hastapramāṇaṃ |	khānayam hasta pramāṇam 
SA_K12_n2920u-76	atha triyak samantataḥ |	atha triyak samantataḥ 
SA_K12_n2920u-77	madhye pā(pa)	madhye pāpa 
SA_K12_n2920u-78	tra- ṣoḍaśa pañca vinyaset |	tra ṣoḍaśa pañca vinyaset 
SA_K12_n2920u-79	nānāraṇgavicitraiś ca padmaṃ samalaṃkaret |	nānā raṇga vicitraiḥ ca padmam samalaṃkaret 
SA_K12_n2920u-80	bahi[ṣ]padmasamante caturasrakaṃ maṇḍalakaṃ kuru |	bahiṣpadma samante caturasrakam maṇḍalakam kuru 
SA_K12_n2920u-81	nānāgandhaṃ viśāradaṃ alaṃkaret |	nānā gandham viśāradam alaṃkaret 
SA_K12_n2920u-82	maṇḍalasamantena catvāro pūrṇṇakumbhāni rūpyabhājanasū(pū)ritaṃ |	maṇḍala samantena catvāraḥ pūrṇṇa kumbhāni rūpya bhājana sūpūritam 
SA_K12_n2920u-83	catvāro arghapā- 3. dyāni rūpyabhājana pūrayaṃ |	catvāraḥ argha pāḥ dyāni rūpya bhājana pūrayan 
SA_K12_n2920u-84	catvāro nānāgandhavā(pā)	catvāraḥ nānā gandha vāpā 
SA_K12_n2920u-85	dyāni survarṇṇabhājanaṃ pūrayaṃ |	dyāni survarṇṇa bhājanam pūrayan 
SA_K12_n2920u-86	nānārasabalri(li)	nānā rasa bal rili 
SA_K12_n2920u-87	ṃ sthāpya tṛśuklanānāvidhaṃ( n)	sthāpya tṛ śukla nānāvidham n 
SA_K12_n2920u-88	tathā nānāphalavividha sthāpya nānāpuṣpāṇi-m okiret |	tathā sthāpya 
SA_K12_n2920u-89	nānāmālyaprakāreṇa sthāpayaṃ maṇḍalasamantataḥ pañca- raṅgapatākaiś ca śaram alaṃkaret |	nānā mālya prakāreṇa sthāpayam maṇḍala samantataḥ pañca raṅga patākaiḥ ca śaram alaṃkaret 
SA_K12_n2920u-90	catu[r]dvāravibhaktāñ ca kalasaṃ sthāpya svalaṃkṛtaṃ |	catur dvāra vibhaktām ca kalasam sthāpya su alaṃkṛtam 
SA_K12_n2920u-91	gandhodakapūritam |	gandha udaka pūritam 
SA_K12_n2920u-92	catvāri 4. dvārā( dva)	catvāri dvārā dva 
SA_K12_n2920u-93	prajñāpāramitā vācya svalaṃkṛtadharmabhāṇakasamāsa- (3) nam |	prajñāpāramitā su alaṃkṛta dharma bhāṇaka samāsa 
SA_K12_n2920u-94	catuḥkoṇeṣu amoghapāsasūtraṃ vācayaṃ |	catur koṇeṣu amoghapāsa sūtram vācayam 
SA_K12_n2920u-95	svalaṃkṛtadharmabhā- ṇakadharmāsana suvarṇṇapuṣpaṃ rūpyapuṣpaṃ tāmrapuṣpañ ca |	su alaṃkṛta dharma bhā ṇaka dharma āsana suvarṇṇa puṣpam rūpya puṣpam tāmra puṣpam ca 
SA_K12_n2920u-96	saptaratnāni pūjayam |	sapta ratnāni pūjayam 
