segmentnr	original	analyzed
MBParaatrisikaavivrttiHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBParaatrisikaavivrttiHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00044	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBParaatrisikaavivrttiHK-2	Uniform title: parātriśikāvivṛti	uniform title parā triśikā vivṛti 
MBParaatrisikaavivrttiHK-3	Secondary title: parātriśikā	secondary title parā triśikā 
MBParaatrisikaavivrttiHK-4	Author : rājānakalakṣmirāma	authoḥ rāja ānaka lakṣmi rāma 
MBParaatrisikaavivrttiHK-5	Alternate name : lakṣmirāma	alternate name lakṣmirāma 
MBParaatrisikaavivrttiHK-6	Editor : Zadoo J D	e t itoḥ j d 
MBParaatrisikaavivrttiHK-7	Description: These two texts have been transcribed from vol. 69 of the Kashmir Series of Texts and Studies.	description these two texts have been transcribed from vol of the kashmir series of texts and studies 
MBParaatrisikaavivrttiHK-8	Notes: The texts have been transcribed by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski .  Revision 0 Jan 28, 2007	notes the texts have been transcribed by the staff of muktabodha under the direction of mark s g dyczkowski   revision  jan 
MBParaatrisikaavivrttiHK-9	Publisher : Research Department Jammu and Kashmir State	publisher research depatment jammu and kashmir state 
MBParaatrisikaavivrttiHK-10	Publication year : 1947	publication year 
MBParaatrisikaavivrttiHK-11	Publication city : Srinagar	publication citi srinagar 
MBParaatrisikaavivrttiHK-12	Publication country : India	publication country india 
MBParaatrisikaavivrttiHK-13	todvārā niṇeṃtumudyuktāḥ pātañjalahaṭhayogipūrvamīmāṃsakādayaḥ |	pātañjala haṭha yogi pūrva mīmāṃsaka ādayaḥ 
MBParaatrisikaavivrttiHK-14	bhairavabhaṭṭārakastu bhaktajanamanugrahītuṃ spandātmakena	bhairava bhaṭṭārakaḥ tu bhakta janam anugrahītum spanda ātmakena 
MBParaatrisikaavivrttiHK-15	parāpaśyantyādivākcatuṣṭayalakṣaṇena srotasā rājayogaśabdavācyena	parāpaśyantī ādi vāc catuṣṭaya lakṣaṇena srotasā rājayoga śabda vācyena 
MBParaatrisikaavivrttiHK-16	jñānakriyāśaktisaṃghaṭṭātmakena	jñāna kriyā śakti saṃghaṭṭa ātmakena 
MBParaatrisikaavivrttiHK-17	akārādihakārāntavarṇavikāsatmakamadhijigamiṣatā anuttarākhyaṃ	akāra ādi hakāra anta varṇa vikāsa tmakam adhijigamiṣatā anuttara ākhyam 
MBParaatrisikaavivrttiHK-18	jñānakriyātmakamadhvānamupadidikṣati bhairavīpraśnaprastāvanayā | tathā ca	jñāna kriyā ātmakam adhvānam upadidikṣati bhairavī praśna prastāvanayā tathā ca 
MBParaatrisikaavivrttiHK-19	śrutiḥ  catvāri vākparimitā padāni tāni vidurbrāhmaṇā ye  manīṣiṇaḥ | guhā	śrutiḥ catvāri vāc parimitā padāni tāni viduḥ brāhmaṇāḥ ye manīṣiṇaḥ guhā 
MBParaatrisikaavivrttiHK-20	trīṇi nihitā neṅgayanti turīyaṃ vāco manuṣyā vadanti || iti	trīṇi nihitā na iṅgayanti turīyam vācaḥ manuṣyāḥ vadanti iti 
MBParaatrisikaavivrttiHK-21	śrībhairavī	śrī bhairavī 
MBParaatrisikaavivrttiHK-22	anuttaraṃ kathaṃ deva sadyaḥ kaulikasiddhidam |	anuttaram katham deva sadyas kaulika siddhi dam 
MBParaatrisikaavivrttiHK-23	yena vijñātamātreṇa khecarīsamatāṃ brajet || 1 ||	yena vijñāta mātreṇa khecarī sama tām brajet 
MBParaatrisikaavivrttiHK-24	bhoḥ deva anuttaraṃ na vidyate prakṛṣṭamuttaraṃ yatastadanuttaraṃ ciddhanaṃ	bhoḥ deva anuttaram na vidyate prakṛṣṭam uttaram yatas tat anuttaram ciddhanam 
MBParaatrisikaavivrttiHK-25	vastu kaulikasiddhidaṃ kule dehe bhavā kaulikī siddhiścidaikātmyaṃ tāṃ	vastu kaulika siddhi dam kule dehe bhavā kaulikī siddhiḥ cit aikātmyam tām 
MBParaatrisikaavivrttiHK-26	dadātīti tādṛśam kaulikīsiddhirjaḍasyāpi	dadāti iti tādṛśam kaulikī siddhiḥ jaḍasya api 
MBParaatrisikaavivrttiHK-27	dehādeścidaikātmyapratipattidārḍhyaṃ jīvanmuktiḥ |	deha ādeḥ cit aikātmya pratipatti dārḍhyam jīvanmuktiḥ 
MBParaatrisikaavivrttiHK-28	uktaṃ ca  	uktam ca 
MBParaatrisikaavivrttiHK-29	dehādiṣu cetyamāneṣvapi cidaikātmyapratipattidārḍhyaṃ jīvanmuktiḥ	deha ādiṣu cetyamāneṣu api cit aikātmya pratipatti dārḍhyam jīvanmuktiḥ 
MBParaatrisikaavivrttiHK-30	(śaktisū0 16)	śakti sū 
MBParaatrisikaavivrttiHK-31	kathaṃ kena prakāreṇa bhavet sadya iti parijñānakṣaṇa eva | tamupāyaṃ vada	katham kena prakāreṇa bhavet sadyas iti parijñāna kṣaṇe eva tam upāyam vada 
MBParaatrisikaavivrttiHK-32	ityarthaḥ | yena upāyana anubhūtamātreṇa ayaṃ naraḥ khecarīsamatāṃ	iti arthaḥ yena upāyana anubhūta mātreṇa ayam naraḥ khecarī sama tām 
MBParaatrisikaavivrttiHK-33	khecarīṇāṃ tava cidekarūpasya śaktīnāṃ sāmyaṃ svātantryarūpamāpnoti	khecarīṇām tava cit eka rūpasya śaktīnām sāmyam svātantrya rūpam āpnoti 
MBParaatrisikaavivrttiHK-34	mukto bhavatītyarthaḥ || 1 ||	muktaḥ bhavati iti arthaḥ 
