segmentnr	original	analyzed
MBsiddhilaksmiyutaksaramalamamtraHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBsiddhilaksmiyutaksaramalamamtraHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00418	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBsiddhilaksmiyutaksaramalamamtraHK-2	Uniform title: siddhilakṣmīkyutākṣaramālāmantra	uniform title 
MBsiddhilaksmiyutaksaramalamamtraHK-3	Manuscript : NGMCP manuscript 11397 reel no: v 199/90	manuscript 
MBsiddhilaksmiyutaksaramalamamtraHK-4	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBsiddhilaksmiyutaksaramalamamtraHK-5	Revision 0: April 28, 2017	revision april 
MBsiddhilaksmiyutaksaramalamamtraHK-6	Publication country : India	publication country india 
MBsiddhilaksmiyutaksaramalamamtraHK-7	śrīgaṇeśāya namaḥ ||	śrī gaṇeśāya namaḥ 
MBsiddhilaksmiyutaksaramalamamtraHK-8	oṃ namaḥ śrīsiddhilakṣmī devyai ||	om namaḥ śrī siddhilakṣmī devyai 
MBsiddhilaksmiyutaksaramalamamtraHK-9	oṃ hrī& hra& hā& pre& kṣo& kro& namaḥ ||	om hrī hra hā pre     namaḥ 
MBsiddhilaksmiyutaksaramalamamtraHK-10	oṃ hrī& hra& hā& phre& kṣo& kro& namaḥ ||	om hrī hra hā phre     namaḥ 
MBsiddhilaksmiyutaksaramalamamtraHK-11	oṃ hrī& hra& hā& phre& oṃ kro& namaḥ ||	om hrī hra hā phre om kro namaḥ 
MBsiddhilaksmiyutaksaramalamamtraHK-12	oṃ tatsat || oṃ tatsat || oṃ tatsat ||	om tat sat om tat sat om tat sat 
MBsiddhilaksmiyutaksaramalamamtraHK-13	oṃ asya śrīsiddhilakṣmyā yutākṣaramālāmaṃtrasya bharadvāja ṛṣiḥ mmadhyā	om asya śrī siddhilakṣmyāḥ yuta akṣara mālā maṃtrasya bharadvājaḥ ṛṣiḥ 
MBsiddhilaksmiyutaksaramalamamtraHK-14	pratiṣṭhā supratiṣṭhā gāyatryuvliganuṣṭuvvṛhatī paṃktitṛṣṭupjagatpaṃti jagatī	pratiṣṭhā su pratiṣṭhāḥ gāyatrī uvlik anuṣṭubh vṛhatī paṃkti tṛṣṭubh jagat paṃti jagatī 
MBsiddhilaksmiyutaksaramalamamtraHK-15	śarkaryatiśarkarī prakṛtputkṛtayaśchandāṃsi ||	śarkarī atiśarkarī prakṛt putkṛtayaḥ chandāṃsi 
MBsiddhilaksmiyutaksaramalamamtraHK-16	siddhirlakṣmīrdevatā phre& vījaṃ ||	siddhiḥ lakṣmīḥ devatā phre vījam 
MBsiddhilaksmiyutaksaramalamamtraHK-17	khphre& śaktiḥ kro& kīlakaṃ bhuktimuktisiddhyarthe jape viniyoge ||	śaktiḥ kro kīlakam bhukti mukti siddhi arthe jape viniyoge 
MBsiddhilaksmiyutaksaramalamamtraHK-18	2a) ai& oṃ hrī& hra& phre& bhagavaticaṇḍakāpālini siddhilakṣmipratyaṅgire kṣo& kro&	a ai om                      
MBsiddhilaksmiyutaksaramalamamtraHK-19	śrī& strī& raktamukhighorāṭṭahāsini bhīmanādini praṇatārtihāriṇi ||	śrīḥ strī rakta mukhi ghora aṭṭahāsini bhīma nādini praṇata ārti hāriṇi 
MBsiddhilaksmiyutaksaramalamamtraHK-20	ā& krī& ho& kṣo& glo& śmaśānavāsini himakiraṇaśubhraśarīre ||	ā krī ho kṣaḥ glo śmaśāna vāsini himakiraṇa śubhra śarīre 
MBsiddhilaksmiyutaksaramalamamtraHK-21	bhaktajanatāriṇi phre& khphre& hsphre& hskhphre& hsau&	bhakta jana tāriṇi phre khphre hsphre hskhphre hsau 
MBsiddhilaksmiyutaksaramalamamtraHK-22	paramasadāśivasāmarasyacāriṇi kātyāyaṇi kāpālini mahāyogini	parama sadāśiva sa amarasya cāriṇi kātyāyaṇi kāpālini mahāyogini 
MBsiddhilaksmiyutaksaramalamamtraHK-23	kundacandrādhikadhavale mahābhadrarūpaśavādhirūḍhe ||	kunda candra adhika dhavale mahā bhadra rūpa śava adhirūḍhe 
MBsiddhilaksmiyutaksaramalamamtraHK-24	krau& oṃ glu& glau& vlū& sakalasurāsuranarakinnara mano'nurañjini ||	om glu glau vlū sakala sura asura nara kinnara manaḥ nurañjini 
MBsiddhilaksmiyutaksaramalamamtraHK-25	2b) daityadānavadarpabhañjini ||	daitya dānava darpa bhañjini 
MBsiddhilaksmiyutaksaramalamamtraHK-26	pañcavaktradhāriṇi ||	pañca vaktra dhāriṇi 
MBsiddhilaksmiyutaksaramalamamtraHK-27	naramuṇḍamālā hāriṇi ||	nara muṇḍa mālā hāriṇi 
MBsiddhilaksmiyutaksaramalamamtraHK-28	caturvargaphaladāyini ||	caturvarga phala dāyini 
MBsiddhilaksmiyutaksaramalamamtraHK-29	carcarīkaratālikāgāyini ||	carcarī kara tālikā āgāyini 
