segmentnr	original	analyzed
SA_GK19_asvsau2u-0	// om namo buddhāya //	om namaḥ buddhāya 
SA_GK19_asvsau2u-1	Saundaranandaṃ Mahākāvyam	saundaranandam mahākāvyam 
SA_GK19_asvsau2u-2	prathamaḥ sargaḥ	prathamaḥ sargaḥ 
SA_GK19_asvsau2u-3	kapilavastu varṇana	kapilavastu varṇana 
SA_GK19_asvsau2u-4	gautamaḥ kapilo nāma munirdharmabhṛtāṃ varaḥ /	gautamaḥ kapilaḥ nāma muniḥ dharma bhṛtām varaḥ 
SA_GK19_asvsau2u-5	babhūva tapasi śrāntaḥ kākṣīvāniva gautamaḥ // Saund_1.1 //	babhūva tapasi śrāntaḥ kākṣīvān iva gautamaḥ 
SA_GK19_asvsau2u-6	aśiśriyadyaḥ satataṃ dīptaṃ kāśyapavattapaḥ /	aśiśriyat yaḥ satatam dīptam kāśyapa vat tapaḥ 
SA_GK19_asvsau2u-7	āśiśrāya ca tadvṛddhau siddhiṃ kāśyapavat parām // Saund_1.2 //	āśiśrāya ca tad vṛddhau siddhim kāśyapa vat parām 
SA_GK19_asvsau2u-8	haviḥṣu yaśca svātmārthaṃ gāmadhukṣad vasiṣṭhavat /	haviḥṣu yaḥ ca sva ātma artham gām adhukṣat vasiṣṭha vat 
SA_GK19_asvsau2u-9	tapaḥśiṣṭeṣu ca śiṣyeṣu gāmadhukṣad vasiṣṭhavat // Saund_1.3 //	tapaḥ śiṣṭeṣu ca śiṣyeṣu gām adhukṣat vasiṣṭha vat 
SA_GK19_asvsau2u-10	māhātmyāddīrghatapaso yo dvitīya ivābhavat /	māhātmyāt dīrghatapasaḥ yaḥ dvitīyaḥ iva abhavat 
SA_GK19_asvsau2u-11	tṛtīya iva yaścābhūt kāvyāṅgirasayordhiyā // Saund_1.4 //	tṛtīyaḥ iva yaḥ ca abhūt kāvya āṅgirasayoḥ dhiyā 
SA_GK19_asvsau2u-12	tasya vistīrṇatapasaḥ pārśve himavataḥ śubhe /	tasya vistīrṇa tapasaḥ pārśve himavataḥ śubhe 
SA_GK19_asvsau2u-13	kṣetraṃ cāyatanaṃ caiva tapasāmāśramo 'bhavat // Saund_1.5 //	kṣetram ca āyatanam ca eva tapasām āśramaḥ bhavat 
SA_GK19_asvsau2u-14	cāruvīruttaruvanaḥ prasnigdhamṛduśādvalaḥ /	cāru vīrudh taru vanaḥ prasnigdha mṛdu śādvalaḥ 
SA_GK19_asvsau2u-15	havirdhūmavitānena yaḥ sadābhra ivābabhau // Saund_1.6 //	haviḥ dhūma vitānena yaḥ sadā abhraḥ iva ābabhau 
SA_GK19_asvsau2u-16	mṛdubhiḥ saikataiḥ snigdhaiḥ kesarāstarapāṇḍubhiḥ /	mṛdubhiḥ saikataiḥ snigdhaiḥ kesara āstara pāṇḍubhiḥ 
SA_GK19_asvsau2u-17	bhūmibhāgairasaṃkīrṇaiḥ sāṅgarāga ivābhavat // Saund_1.7 //	bhūmi bhāgaiḥ asaṃkīrṇaiḥ sa aṅgarāgaḥ iva abhavat 
SA_GK19_asvsau2u-18	śucibhistīrthasaṃkhyātaiḥ pāvanairbhāvanairapi /	śucibhiḥ tīrtha saṃkhyātaiḥ pāvanaiḥ bhāvanaiḥ api 
SA_GK19_asvsau2u-19	bandhumāniva yastasthau sarobhiḥ sasaroruhaiḥ // Saund_1.8 //	bandhumān iva yaḥ tasthau sarobhiḥ sa saroruhaiḥ 
SA_GK19_asvsau2u-20	paryāptaphalapuṣpābhiḥ sarvato vanarājibhiḥ /	paryāpta phala puṣpābhiḥ sarvatas vana rājibhiḥ 
SA_GK19_asvsau2u-21	śuśubhe vavṛdhe caiva naraḥ sādhanavāniva // Saund_1.9 //	śuśubhe vavṛdhe ca eva naraḥ sādhanavān iva 
SA_GK19_asvsau2u-22	nīvāraphalasantuṣṭaiḥ svasthaiḥ śāntairanutsukaiḥ /	nīvāra phala santuṣṭaiḥ svasthaiḥ śāntaiḥ anutsukaiḥ 
SA_GK19_asvsau2u-23	ākīrṇo 'pi tapobhṛddhiḥ śūnyaśūnya ivābhavat // Saund_1.10 //	ākīrṇaḥ u pi tapaḥ bhṛddhiḥ śūnya śūnyaḥ iva abhavat 
SA_GK19_asvsau2u-24	agnīnāṃ hūyamānānāṃ śikhināṃ kūjatāmapi /	agnīnām hūyamānānām śikhinām kūjatām api 
SA_GK19_asvsau2u-25	tīrthānāṃ cābhiṣekeṣu śuśruve yatra niḥsvanaḥ // Saund_1.11 //	tīrthānām ca abhiṣekeṣu śuśruve yatra niḥsvanaḥ 
