segmentnr	original	analyzed
SA_MB_taaraatantramHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
SA_MB_taaraatantramHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00094	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
SA_MB_taaraatantramHK-2	Uniform title: tāratantra	uniform title tāratantra 
SA_MB_taaraatantramHK-3	Notes: Transcribed by the staff of Muktabodha under the supervision of mark S. G. Dyczkowski.	notes transcribed by the staff muktabodha under the supervision of mark s g dyczkowski 
SA_MB_taaraatantramHK-4	Revision 0:  May 11, 2006	revision 
SA_MB_taaraatantramHK-5	Publisher : Reprinted by Bani Prakashan 1983 of original edition prior t	publisher reprinted by bani prakashan or original edition 
SA_MB_taaraatantramHK-6	Publication year : 1940	publication year 
SA_MB_taaraatantramHK-7	Publication country : India	publication country india 
SA_MB_taaraatantramHK-8	|| tārātantram ||	tārātantram 
SA_MB_taaraatantramHK-9	prathamaḥ paṭalaḥ |	prathamaḥ paṭalaḥ 
SA_MB_taaraatantramHK-10	oṃ nama stārinyai * ||	om namaḥ stārinyai 
SA_MB_taaraatantramHK-11	kailāsaśikhare ramye devadevaṃ maheśvaram |	kailāsa śikhare ramye devadevam maheśvaram 
SA_MB_taaraatantramHK-12	papraccha bhairavī devī śayanīye sukhoṣitā || 1/1 ||	papraccha bhairavī devī śayanīye sukha uṣitā 
SA_MB_taaraatantramHK-13	purā yau kathitau buddhavaśiṣṭhau kulabhairavau |	purā yau kathitau buddha vaśiṣṭhau kula bhairavau 
SA_MB_taaraatantramHK-14	tena mantreṇa deveśa ! siddhau tau vada me prabho ! || 1/2 ||	tena mantreṇa deveśa siddhau tau vada me prabho     
SA_MB_taaraatantramHK-15	bhairava uvāca |	bhairavaḥ uvāca 
SA_MB_taaraatantramHK-16	kṣa eva paramo devo buddharūpī janārddanaḥ |	kṣaḥ eva paramaḥ devaḥ buddha rūpī janārddanaḥ 
SA_MB_taaraatantramHK-17	ugratārā - mahāmantraṃ pañcārṇaṃ parijapya ca || 1/3 ||	ugratārā mahā mantram pañca arṇam parijapya ca 
SA_MB_taaraatantramHK-18	sṛṣṭyādikarmakartā ca ajarāmaratāṃ yayau |	sṛṣṭi ādi karma kartā ca ajara amara tām yayau 
SA_MB_taaraatantramHK-19	vaśiṣṭhopyena mārādhya nakṣatralokamāgataḥ || 1/4 ||	vasiṣṭhaḥ upyena mā ārādhya nakṣatra lokam āgataḥ 
SA_MB_taaraatantramHK-20	p. 2) yogasiddhīśvaro bhūtvā dyotate'dyāpi vallabhe ! |	yoga siddhi īśvaraḥ bhūtvā vallabhe 
SA_MB_taaraatantramHK-21	taduddhāramataṃ vakṣye yataḥ sarveśvaro bhavet || 1/5 ||	tad uddhāra matam vakṣye yatas sarveśvaraḥ bhavet 
SA_MB_taaraatantramHK-22	praṇavaṃ pūrvvamuddhṛtya hṛllekhā kulakāminī |	praṇavam pūrvvam uddhṛtya hṛllekhā kulakāminī 
SA_MB_taaraatantramHK-23	kūrcamastraṃ mantrarājo devadruma ivāparaḥ || 1/6 ||	kūrcam astram mantrarājaḥ deva drumaḥ iva aparaḥ 
SA_MB_taaraatantramHK-24	anenaiva samārādhya sarvveśo'bhūt sadāśivaḥ |	anena eva samārādhya sarvva īśaḥ bhūt sadāśivaḥ 
SA_MB_taaraatantramHK-25	durvvāsāḥ - vyāsa - vālmīki - bhāradvājādikaḥ kaviḥ || 1/7 ||	          
SA_MB_taaraatantramHK-26	bhīmasenārjjunādyāste kṣatriyā jayino'bhavan |	bhīmasena arjjuna ādyāḥ te kṣatriyāḥ jayinaḥ abhavan 
SA_MB_taaraatantramHK-27	iti te kathitaṃ devi ! rahasyaṃ paramottamam || 1/8 ||	iti te kathitam devi rahasyam parama uttamam 
SA_MB_taaraatantramHK-28	gopanīyaṃ prayatnena yadi sneho'sti māṃ prati || 1/9 ||	gopanīyam prayatnena yadi snehaḥ usti mām prati 
SA_MB_taaraatantramHK-29	bhairavyuvāca |	bhairavī uvāca 
SA_MB_taaraatantramHK-30	tvatprasādādahaṃ deva ! śruto mantraḥ suradrumaḥ |	tvad prasādāt aham deva śrutaḥ mantraḥ suradrumaḥ 
SA_MB_taaraatantramHK-31	bauddhadevena yaccīrṇaṃ prātaḥ kṛtyaṃ vadasva me || 1/10 ||	bauddhadevena yat cīrṇam prātar kṛtyam vadasva me  
SA_MB_taaraatantramHK-32	bhairava uvāca |	bhairavaḥ uvāca 
SA_MB_taaraatantramHK-33	prātaḥkṛtyaṃ pravakṣyāmi yena siddho bhavennaraḥ |	prātar kṛtyam pravakṣyāmi yena siddhaḥ bhavet naraḥ 
SA_MB_taaraatantramHK-34	uttaraprahare mantrī sahasradalapaṅkaje || 1/11 ||	uttara prahare mantrī sahasra dala paṅkaje  /
SA_MB_taaraatantramHK-35	karṇikāntargate pīṭhe candramaṇḍalasannidhau |	karṇikā antargate pīṭhe candra maṇḍala sannidhau 
SA_MB_taaraatantramHK-36	śuddhasphaṭikasaṅkāśaṃ śuddhakṣaumavirājitam || 1/12 ||	śuddha sphaṭika saṅkāśam śuddha kṣauma virājitam 
SA_MB_taaraatantramHK-37	varābhayakaraṃ śāntaṃ prasannavadanekṣaṇam |	              
SA_MB_taaraatantramHK-38	gandhapuṣpādibhūṣāḍhyaṃ dayitāśakta mānasam || 1/13 ||	gandha puṣpa ādi bhūṣā āḍhyam dayitā aśakta mānasam 
SA_MB_taaraatantramHK-39	p. 3) iti dhyātvā tu gurave pādyādyai rmmānasai ryajet |	iti dhyātvā tu gurave pādya ādyaiḥ mmānasaiḥ yajet 
SA_MB_taaraatantramHK-40	tridhā vā saptadhā vāpi daśadhā prajapenmanum || 1/14 ||	tridhā vā saptadhā vā api daśadhā prajapet manum 
SA_MB_taaraatantramHK-41	vāgbhavaṃ pūrvvamuccāryya guruṃ taddayitābhidhām |	vāc bhavam pūrvvam uccāryya gurum tad dayitā abhidhām 
SA_MB_taaraatantramHK-42	śrīpādukāṃ pūjayāmi namo mantro gurupriyaḥ || 1/15 ||	śrī pādukām pūjayāmi namaḥ mantraḥ guru priyaḥ 
SA_MB_taaraatantramHK-43	guhyātimantrato mantrī samarpya stavamācaret || 1/16 ||	mantrī samarpya stavam ācaret 
