segmentnr	original	analyzed
SA_XX_nagcitpu-0	atha bhāratīyabhāṣāyāṃ citralakṣaṇam /	atha bhāratīya bhāṣāyām citralakṣaṇam 
SA_XX_nagcitpu-1	prathamaḥ parivarttaḥ	prathamaḥ parivarttaḥ 
SA_XX_nagcitpu-2	brahmāṇaṃ ca mahādevaṃ nārāyaṇaṃ sarasvatīm /	brahmāṇam ca mahādevam nārāyaṇam sarasvatīm 
SA_XX_nagcitpu-3	varadāṃ ca mayā natvā kriyate jayamaṃgalam // NCit_1.1 //	vara dām ca mayā natvā kriyate jaya maṃgalam 
SA_XX_nagcitpu-4	prajāpatestathā śambhoḥ padmāsyāyāstathā giram /	prajāpateḥ tathā śambhoḥ padmāsyāyāḥ tathā giram 
SA_XX_nagcitpu-5	pārvatyā anusṛtyaiva jāyatāṃ kila paṇḍitāḥ // NCit_1.2 //	pārvatyā anusṛtya eva jāyatām kila paṇḍitāḥ 
SA_XX_nagcitpu-6	tadanantaraṃ citralakṣaṇamucyate /	tad anantaram citra lakṣaṇam ucyate 
SA_XX_nagcitpu-7	maṃgalamastu /	maṃgalam astu 
SA_XX_nagcitpu-8	mahādevāya devāya sarvavidyavijānate /	mahādevāya devāya sarva vidya vijānate 
SA_XX_nagcitpu-9	namo namo mayā samyag ucyate citralakṣaṇam // NCit_1.3 //	namaḥ namaḥ mayā samyak ucyate citralakṣaṇam 
SA_XX_nagcitpu-10	ādau candramasaṃ vande haraṃ ca candraśekharaṃ /	ādau candramasam vande haram ca candraśekharam 
SA_XX_nagcitpu-11	viṣṇvindrau sūryamagniṃ ca varuṇaṃ marutaṃ tathā // NCit_1.4 //	viṣṇu indrau sūryam agnim ca varuṇam marutam tathā 
SA_XX_nagcitpu-12	namaskaromyahaṃ caiva viśvakarmaprajāpatī /	namaskaromi aham ca eva viśvakarma prajāpatī 
SA_XX_nagcitpu-13	nagnajitaṃ namaskṛtya tvācāryāṃśca punaḥ punaḥ // NCit_1.5 //	nagnajitam namaskṛtya tu ācāryān ca punar punar 
SA_XX_nagcitpu-14	varṇaṃ ca citrakarmātha śāstrānusāratastathā /	varṇam ca citrakarmā atha śāstra anusārataḥ tathā 
SA_XX_nagcitpu-15	yathājñānaṃ yathāśakti saṃkṣepeṇa mayocyate // NCit_1.6 //	yathājñānam yathāśakti saṃkṣepeṇa mayā ucyate 
SA_XX_nagcitpu-16	viśvakṛnnagnajiddeva-prahlādasāramujjvalam /	            
SA_XX_nagcitpu-17	lakṣaṇamanusṛtyaica viduṣāṃ sudhiyāṃ punaḥ // NCit_1.7 //	viduṣām sudhiyām punar 
SA_XX_nagcitpu-18	saṃgṛhya mativṛddhaye nānāśāstrasamuddhṛtam /	saṃgṛhya mati vṛddhaye nānā śāstra samuddhṛtam 
SA_XX_nagcitpu-19	ucyate citralakṣaṇaṃ śṛṇvantu tadvidā janāḥ // NCit_1.8 //	ucyate citra lakṣaṇam śṛṇvantu tad vidāḥ janāḥ 
SA_XX_nagcitpu-20	puredaṃ lakṣaṇaṃ śrutvā nararājo mahodharaḥ /	purā idam lakṣaṇam śrutvā nara rājaḥ mahodharaḥ 
SA_XX_nagcitpu-21	dharmajñaḥ satyaniṣṭhaśca buddhimāṃśca yaśo'nvitaḥ /	dharma jñaḥ satya niṣṭhaḥ ca buddhimān ca yaśaḥ nvitaḥ 
SA_XX_nagcitpu-22	viśruto bhayajinnāmnā tathābhūt dharaṇītale // NCit_1.9 //	viśrutaḥ bhayajit nāmnā dharaṇī tale 
SA_XX_nagcitpu-23	guṇottamasya bhūpasya dhārmikasya praśāsane /	guṇa uttamasya bhūpasya dhārmikasya praśāsane 
SA_XX_nagcitpu-24	śatasahasravarṣāṇi cāyuḥ prajāḥ prapedire // NCit_1.10 //	śata sahasra varṣāṇi ca āyuḥ prajāḥ prapedire 
SA_XX_nagcitpu-25	nīrogā na ca hantāro manorogavivarjitāḥ /	nīrogāḥ na ca hantāraḥ manaḥ roga vivarjitāḥ 
SA_XX_nagcitpu-26	akālamṛtyuhīnāstāḥ kutaḥ krodhāḥ kuto malāḥ // NCit_1.11 //	akāla mṛtyu hīnāḥ tāḥ kutas krodhāḥ kutas malāḥ 
SA_XX_nagcitpu-27	vāyuḥ supravahaścaiva śakraḥ suvarṣakastathā /	vāyuḥ supravahaḥ ca eva śakraḥ suvarṣakaḥ tathā 
SA_XX_nagcitpu-28	varṇarasasametāni vījamūlaphalāni ca // NCit_1.12 //	varṇa rasa sametāni vīja mūla phalāni ca 
SA_XX_nagcitpu-29	varṇāśramā hi catvāro na cyutā dharmatatparāḥ /	varṇa āśramāḥ hi catvāraḥ na cyutāḥ dharma tatparāḥ 
SA_XX_nagcitpu-30	ṛddhiguṇasamāyuktaṃ śrīmad vikasitaṃ jagat // NCit_1.13 //	ṛddhi guṇa samāyuktam śrīmat vikasitam jagat 
SA_XX_nagcitpu-31	evambhūte sthite rāṣṭre sukhaśāntisamanvite /	evambhūte sthite rāṣṭre sukha śānti samanvite 
SA_XX_nagcitpu-32	bhayajito manaḥ śuddhaṃ pravṛttaṃ tapasi drutam // NCit_1.14 //	bhaya jitaḥ manaḥ śuddham pravṛttam tapasi drutam 
SA_XX_nagcitpu-33	suduṣkaraṃ tapaḥ kṛtvā rājñātiśuddhacetasā /	su duṣkaram tapaḥ kṛtvā rājñā ati śuddha cetasā 
SA_XX_nagcitpu-34	varā bahuvidhā prāptā devāllokapitāmahāt // NCit_1.15 //	varāḥ bahuvidhā prāptāḥ devāt lokapitāmahāt 
SA_XX_nagcitpu-35	viṣayastasya śatrubhir devāstrairapi durjayaḥ /	viṣayaḥ tasya śatrubhiḥ deva astraiḥ api durjayaḥ 
SA_XX_nagcitpu-36	uttamāpratirodhyā ca sarvaśāstre matistvatha // NCit_1.16 //	uttamā a pratirodhyā ca sarva śāstre matiḥ tu atha 
SA_XX_nagcitpu-37	sarvaguṇairupetasya parākrāntasya dhīmataḥ /	sarva guṇaiḥ upetasya parākrāntasya dhīmataḥ 
SA_XX_nagcitpu-38	mahābhāgasya devānāṃ prabhāvaiḥ prāptaviśruteḥ // NCit_1.17 //	mahābhāgasya devānām prabhāvaiḥ prāpta viśruteḥ 
SA_XX_nagcitpu-39	sarvavidyāśrayasyāsya mūrttadharmasya bodhinaḥ /	sarva vidyā āśrayasya asya mūrtta dharmasya bodhinaḥ 
SA_XX_nagcitpu-40	maṇiputrasamākhyaspa etādṛśasya bhūpateḥ // NCit_1.18 //	etādṛśasya bhūpateḥ 
SA_XX_nagcitpu-41	savidhe tvāgataḥ kaścid rudan vipro 'tiduḥkhitaḥ /	savidhe tu āgataḥ kaścid rudan vipraḥ ti duḥkhitaḥ 
SA_XX_nagcitpu-42	kathaṃ rodiṣi bho vipra cetyapṛcchad dvijaṃ nṛpaḥ // NCit_1.19 //	katham rodiṣi bho vipra ca iti apṛcchat dvijam nṛpaḥ 
SA_XX_nagcitpu-43	kruddhena tena vipreṇa kathito nṛpatistadā /	kruddhena tena vipreṇa kathitaḥ nṛpatiḥ tadā 
SA_XX_nagcitpu-44	tava śāsanakāle 'smin deśe 'kālamṛtiyataḥ // NCit_1.20 //	tava śāsana kāle smin deśe kāla mṛtiyataḥ 
SA_XX_nagcitpu-45	tato 'dharmeṇa rājyaṃ taṃ śāssīdaṃ nṛpa niścitam /	tatas dharmeṇa rājyam tam śāssi idam nṛpa niścitam 
SA_XX_nagcitpu-46	viṣmayo ya itaḥ pūrvaṃ na jāto 'sau pravartate // NCit_1.21 //	viṣmayaḥ yaḥ itas pūrvam na jātaḥ u sau pravartate 
SA_XX_nagcitpu-47	madīyavaṃśarakṣākṛt lakṣaṇākṛtisundaraḥ /	              
SA_XX_nagcitpu-48	akālamṛtyunā kasmāt kroṛato 'pahṛtaḥ sutaḥ // NCit_1.22 //	akāla mṛtyunā kasmāt kroṛataḥ upahṛtaḥ sutaḥ 
SA_XX_nagcitpu-49	bramha priyau hi rājan tvaṃ sarva jānāsi bhūtale /	bramha priyau hi rājan tvam sarva jānāsi bhū tale 
SA_XX_nagcitpu-50	prāṇatulyaṃ sutaṃ mahyaṃ dehi svāmin kṛpānvitaḥ // NCit_1.23 //	prāṇa tulyam sutam mahyam dehi svāmin kṛpā anvitaḥ 
SA_XX_nagcitpu-51	dayāṃ yadi na kuryāstvaṃ śaktiman guṇavan nṛpa /	dayām yadi na kuryāḥ tvam śaktiman guṇavat nṛpa 
SA_XX_nagcitpu-52	tṛṇakhaṇḍāṇiva prāṇān tvatsavidhe tyajāmyaham // NCit_1.24 //	tṛṇa khaṇḍāṇi iva prāṇān tvad savidhe tyajāmi aham 
SA_XX_nagcitpu-53	bhāṣite tu dvijenaivaṃ buddhimān puraṣottamaḥ /	bhāṣite tu dvijena evam buddhimān puraṣa uttamaḥ 
SA_XX_nagcitpu-54	ākarṣaṇe sutaṃ tasya matiṃ cakre nṛpālakaḥ // NCit_1.25 //	ākarṣaṇe sutam tasya matim cakre nṛpālakaḥ 
SA_XX_nagcitpu-55	sāntvitastu nṛvākyena “āgaccha mama dāsa hi” /	sāntvitaḥ tu nṛ vākyena āgaccha mama dāsa hi 
SA_XX_nagcitpu-56	sūryavarcodharaṃ yamam uditaṃ tatra dṛṣṭavān // NCit_1.26 //	sūrya varcaḥ dharam yamam uditam tatra dṛṣṭavān 
SA_XX_nagcitpu-57	dharmarājaṃ jagadbandyaṃ praṇamya bhayajinnṛpaḥ /	dharmarājam jagat bandyam praṇamya bhayajit nṛpaḥ 
SA_XX_nagcitpu-58	brāhmaṇasya hitārthāya sādaraṃ vākyamabravīt // NCit_1.27 //	brāhmaṇasya hita arthāya sa ādaram vākyam abravīt 
SA_XX_nagcitpu-59	pratyupakṛddvijātestu prāṇebhyo 'pi sutaḥ priyaḥ /	pratyupakṛt dvijāteḥ tu sutaḥ priyaḥ 
SA_XX_nagcitpu-60	cākāle 'pahṛto yo 'sau tava dūtena durdhiyā // NCit_1.28 //	ca akāle pahṛtaḥ sau tava dūtena durdhiyā 
SA_XX_nagcitpu-61	prabho tribhuvanasyāpi dīyatāṃ tanayaḥ priyaḥ /	prabho tribhuvanasya api dīyatām tanayaḥ priyaḥ 
SA_XX_nagcitpu-62	viśvakarman dvijanmane asmai prītyā ca dhīmate // NCit_1.29 //	viśvakarman dvijanmane asmai prītyā ca dhīmate 
SA_XX_nagcitpu-63	śrutvā pretādhipo vākyaṃ pūjanīyaṃ hasan nṛpam /	śrutvā pretādhipaḥ vākyam pūjanīyam hasan nṛpam 
SA_XX_nagcitpu-64	dadau pratyuttaraṃ mṛdu tejasā pūritaṃ vacaḥ // NCit_1.30 //	dadau pratyuttaram mṛdu tejasā pūritam vacaḥ 
SA_XX_nagcitpu-65	svakīyakarmavaśād jīvāḥ sarve madvaśagā dhruvam /	svakīya karma vaśāt jīvāḥ sarve mad vaśa gāḥ dhruvam 
SA_XX_nagcitpu-66	kasyāpyākarṣaṇe tyāge svecchāśaktiḥ kuto mama // NCit_1.31 //	kasya api ākarṣaṇe tyāge sva icchā śaktiḥ kutas mama 
SA_XX_nagcitpu-67	sukhaṃ vā yadi vā duḥkhaṃ sarvaṃ karmavaśaṃ sadā /	sukham vā yadi vā duḥkham sarvam karma vaśam sadā 
SA_XX_nagcitpu-68	tasmāt rājan vijānīyān mayā naiva pragṛhyate // NCit_1.32 //	tasmāt rājan vijānīyāt mayā na eva pragṛhyate 
SA_XX_nagcitpu-69	madgṛhaṃ pratipadyātha śarīrī na nivartate /	mad gṛham pratipadya atha śarīrī na nivartate 
SA_XX_nagcitpu-70	kālena mahatākṛṣṭo dvijaputro balīyasā // NCit_1.33 //	kālena mahatā ākṛṣṭaḥ dvija putraḥ balīyasā 
SA_XX_nagcitpu-71	kuśalaṃ cākuśalaṃ vā sarvamihānubhūyate /	kuśalam ca akuśalam vā sarvam iha anubhūyate 
SA_XX_nagcitpu-72	karmānusāriṇī bhūmir vijñeyā ca sadā nṛṇām // NCit_1.34 //	karma anusāriṇī bhūmiḥ vijñeyā ca sadā nṛṇām 
SA_XX_nagcitpu-73	evamuktaḥ punarbhūpaḥ prāha vaivasvataṃ yamam /	evam uktaḥ punar bhūpaḥ prāha vaivasvatam yamam 
SA_XX_nagcitpu-74	matprārthanāvaśād deva dehyasmai putramuttamam // NCit_1.35 //	mad prārthanā vaśāt deva dehi asmai putram uttamam 
SA_XX_nagcitpu-75	na śakyate na śakyate yama āha punaḥ punaḥ /	na śakyate na śakyate yamaḥ āha punar punar 
SA_XX_nagcitpu-76	dehi dehi sutaṃ deva rājñāpi prārthitaḥ punaḥ // NCit_1.36 //	dehi dehi sutam deva rājñā api prārthitaḥ punar 
SA_XX_nagcitpu-77	āgrahasyātiśayyaṃ ca tayoritthaṃ babhūva ha /	āgrahasya atiśayyam ca tayoḥ ittham babhūva ha 
SA_XX_nagcitpu-78	vyākulau tī mahāyuddhe tadā liptau babhūvatuḥ // NCit_1.37 //	vyākulau tī mahā yuddhe tadā liptau babhūvatuḥ 
SA_XX_nagcitpu-79	tiṣṭha tiṣṭheti ta rājā bahuśaḥ prāha vīrahā /	tiṣṭha tiṣṭha iti ta rājā bahuśas prāha vīra hā 
