segmentnr	original	analyzed
SA_MBIPV__HK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
SA_MBIPV__HK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00019	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
SA_MBIPV__HK-2	Uniform title: īśvarapratyabhijñāvimarśinī	uniform title īśvarapratyabhijñāvimarśinī 
SA_MBIPV__HK-3	Secondary title: bhāskarī	secondara title bhāskarī 
SA_MBIPV__HK-4	Secondary title: īśvarapratyabhijñāvimarśinī by abhinavagupta including the bhāskarī commentary	secondary title īśvarapratyabhijñāvimarśinī by abhinavagupta including the bhāskarī commentary 
SA_MBIPV__HK-5	Author : abhinavagupta	authoḥ abhinavagupta 
SA_MBIPV__HK-6	Commentator : bhāskara	commentatoḥ bhāskara 
SA_MBIPV__HK-7	Editor : Pandey, K. C.	e ditoḥ pandey k c 
SA_MBIPV__HK-8	Description: E-text taken from bhāskarī: a commentary on the īśvarapratyabhijñāvimarśinī of Abhinavagupta Edited by K. C. Pandey Princess of Wales Sarasvati Bhavana Text Series no. 70, Allahabad: 1938      Photographic facsimiles in DjVu and PDF taken from the KSTS series volumes 22 and 33 .	description etext taken from bhāskarī a commentary on the īśvarapratyabhijñāvimarśinī of abhinavagupta edited by k c pandey princess of wales sarasvati bhavana text series no                                                                     
SA_MBIPV__HK-9	Notes: Data-entered by the staff of Muktabodha under the supervision of Mark Dyczkowski.    Revision 0: 28/01/2007	notes data entered by the staff muktabodha under the supervision of mark dyczkowski 
SA_MBIPV__HK-10	Publisher : Print and Stationery, United Provinces	publisher print and stationery united provinces 
SA_MBIPV__HK-11	Publication year : 1938	publication year 
