segmentnr	original	analyzed
SA_K03_psp_2-3u-0	Pañcaviṃśatisāhasrikā Prajñāpāramitā II	pañcaviṃśati sāhasrikā prajñāpāramitā 
SA_K03_psp_2-3u-1	atha khalu ye 'smiṃs trisāhasramahāsāhasre lokadhātau mahārājānas te sarve 'nekair devaputrasahasraiḥ sārdhaṃ tatraiva pariṣadi saṃnipatitā	atha khalu ye smin tri sāhasra mahā sāhasre lokadhātau mahā rājānaḥ te sarve nekaiḥ deva putra sahasraiḥ sārdham tatra eva pariṣadi saṃnipatitā 
SA_K03_psp_2-3u-2	evaṃ śakro devānām indro yāmās tuṣitā nirmāṇaratayaḥ paranirmitavaśavartino brahmapārṣadyā	evam śakraḥ devānām indraḥ yāmāḥ tuṣitāḥ nirmāṇa ratayaḥ paranirmita vaśavartinaḥ brahma pārṣadyā 
SA_K03_psp_2-3u-3	yāvan mahābrahmāṇo ye ceha trisāhasramahāsāhasre lokadhātau parīttābhā yāvac chuddhāvāsakāyikāś	yāvat mahābrahmāṇaḥ ye ca iha tri sāhasra mahā sāhasre lokadhātau parītta ābhāḥ yāvat śuddhāvāsa kāyikāḥ 
SA_K03_psp_2-3u-4	ca devaputrā anekaiḥ śuddhāvāsakāyikair devaputrakoṭīniyutaśatasahasraiḥ sārdhaṃ	ca deva putrāḥ anekaiḥ śuddhāvāsa kāyikaiḥ deva putra koṭī niyuta śata sahasraiḥ sārdham 
SA_K03_psp_2-3u-5	tatraiva pariṣadi saṃnipatitā. yaś ca teṣāṃ cāturmahārājakāyikānāṃ devaputrāṇāṃ karmavipākajaḥ. kāyāvabhāsaḥ,	tatra eva pariṣadi saṃnipatitāḥ yaḥ ca teṣām cāturmahārājakāyikānām deva putrāṇām karma vipāka jaḥ kāya avabhāsaḥ 
SA_K03_psp_2-3u-6	yaś ca trayastriṃśānāṃ yāmānāṃ tuṣitānāṃ nirmāṇaratīnāṃ paranirmitavaśavartināṃ yāvac chuddhāvāsakāyikānāṃ devaputrāṇāṃ karmavipākajaḥ kāyāvabhāsaḥ,	yaḥ ca trayastriṃśānām yāmānām tuṣitānām nirmāṇaratīnām paranirmitavaśavartinām yāvat śuddhāvāsakāyikānām devaputrāṇām karma vipāka jaḥ kāya avabhāsaḥ 
SA_K03_psp_2-3u-7	sa tathāgataprakṛtiprabhāyāḥ śatatamīm api kalāṃ nopaiti sahasratamīm api śatasahasratamīm	sa tathāgata prakṛti prabhāyāḥ śatatamīm api kalām na upaiti sahasratamīm api śata sahasratamīm 
SA_K03_psp_2-3u-8	api koṭīśatasahasratamīm api saṃkhyām api kalām api gaṇanām apy upamām apy upaniṣadam api nopaiti,	api koṭī śata sahasratamīm api saṃkhyām api kalām api gaṇanām api upamām api upaniṣadam api nā upaiti 
SA_K03_psp_2-3u-9	na kṣamate tathāgataprabhāyāḥ purataḥ sā devānāṃ prabhā. tathāgataprabhaivāgrākhyate	na kṣamate tathāgata prabhāyāḥ puratas sā devānām prabhā tathāgata prabhā eva agrā ākhyate 
SA_K03_psp_2-3u-10	jyeṣṭhā śreṣṭhā varā pravarā praṇītā anuttarā niruttarā uttarottarā cākhyāyate. tadyathāpi	jyeṣṭhā śreṣṭhā varā pravarā praṇītā anuttarā niruttarā uttarottarā ca ākhyāyate tat yathā api 
SA_K03_psp_2-3u-11	nāma jambūnadasya suvarṇasya purataḥ kṛṣṇalauhaṃ na bhrājate na tapati na virocate,	nāma jambūnadasya suvarṇasya puratas kṛṣṇa lauham na bhrājate na tapati na virocate 
SA_K03_psp_2-3u-12	evam eva tathāgatasya prakṛtiprabhāyāḥ purataḥ sā devānāṃ karmavipākajaprabhā na	evam eva tathāgatasya prakṛti prabhāyāḥ puratas sā devānām karma vipāka ja prabhā na 
SA_K03_psp_2-3u-13	bhrājate na tapati na virocate. tathāgataprabhaiva teṣām agrākhyāyate jyeṣṭhākhyāyate	bhrājate na tapati na virocate tathāgata prabhā eva teṣām agrā ākhyāyate jyeṣṭhā ākhyāyate 
SA_K03_psp_2-3u-14	śreṣṭhā varā pravarā (PSP_2-3:2)	śreṣṭhā varā pravarā 
SA_K03_psp_2-3u-15	praṇītā anuttarā niruttarā uttarottarā cākhāyate.	praṇītā anuttarā niruttarā uttarottarā ca ākhāyate 
SA_K03_psp_2-3u-16	iti dhyāmīkaraṇabhā deyānām	iti dhyāmīkaraṇa bhā deyānām 
SA_K03_psp_2-3u-17	atha khalu śakro devānām indra āyuṣmantaṃ subhūtim etad avocat:	atha khalu śakraḥ devānām indraḥ āyuṣmantam subhūtim etat avocat 
SA_K03_psp_2-3u-18	ete bhadanta subhūte trisāhasramahāsāhasre lokadhātau ye cāturmahārājakāyikā devās	ete bhadanta subhūte tri sāhasra mahā sāhasre lokadhātau ye cāturmahārājakāyikāḥ devāḥ 
SA_K03_psp_2-3u-19	trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ paranirmitavaśavartino devā yāvac chuddhāvāsakāyikā	trayastriṃśāḥ yāmāḥ tuṣitāḥ nirmāṇaratayaḥ paranirmitavaśavartinaḥ devāḥ yāvat śuddhāvāsa kāyikā 
SA_K03_psp_2-3u-20	devaputrās te sarve saṃnipatitā āyuṣmataḥ subhūteḥ prajñāpāramitānirdeśaśravaṇāya	deva putrāḥ te sarve saṃnipatitāḥ āyuṣmataḥ subhūteḥ prajñāpāramitā nirdeśa śravaṇāya 
