segmentnr	original	analyzed
MBsiddhilaksmiidevyarcanaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBsiddhilaksmiidevyarcanaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00416	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBsiddhilaksmiidevyarcanaHK-2	Uniform title: siddhilakṣmīdevyārcana	uniform title siddhi lakṣmī devī arcana 
MBsiddhilaksmiidevyarcanaHK-3	Manuscript : NGMCP manuscript 1373 Reel No: v 199/13	manuscript 
MBsiddhilaksmiidevyarcanaHK-4	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBsiddhilaksmiidevyarcanaHK-5	Revision 0: April 28, 2017	revision april 
MBsiddhilaksmiidevyarcanaHK-6	Publication country : India	publication country india 
MBsiddhilaksmiidevyarcanaHK-7	jape...............? puṣpepahāraiśca tatoṣṭalpā prapūrayet ||	jape puṣpa ipahāraiḥ ca prapūrayet 
MBsiddhilaksmiidevyarcanaHK-8	saṃsthāpya cāgneruparijvālaye .............?? nane ||	saṃsthāpya ca agneḥ upari jvālaye 
MBsiddhilaksmiidevyarcanaHK-9	rudaṃtaṃ ca mahābhūtindramānaṃ ca palāyete ||	rudaṃtam ca mahābhūtindramānam ca palāyete 
MBsiddhilaksmiidevyarcanaHK-10	tat kṣaṇā vālakomukto deśatpā...........................||	tat kṣaṇā vālakomuktaḥ 
MBsiddhilaksmiidevyarcanaHK-11	ca. la. naṃ. 2254- siddhilakṣmī devyarcanaṃ	ca la naṃ siddhi lakṣmī devī arcanam 
MBsiddhilaksmiidevyarcanaHK-12	p. 1a) 1 tato siddhilakṃī devyārcanaṃ ||	devyā arcanam 
MBsiddhilaksmiidevyarcanaHK-13	athakalasathāpalape ||	atha kalasa tha apa lape 
MBsiddhilaksmiidevyarcanaHK-14	kumbhasa ai& kālaganbhayāḍhada vyanathaḍhāvathālape ||	kumbhasa ai kālagan bhaya āḍhada vyanatha ḍhāva tha ālape 
MBsiddhilaksmiidevyarcanaHK-15	sagoṇathā palape ||	palape 
MBsiddhilaksmiidevyarcanaHK-16	ṣaṭkonacoyāva valithāpalape ||	valitha apalape 
MBsiddhilaksmiidevyarcanaHK-17	trikoṇacoyāva arghapātrathāpalape ||	arghapātra thāpalape 
MBsiddhilaksmiidevyarcanaHK-18	dravyathaḍhāvataya ||	dravyatha ḍhāvataya 
MBsiddhilaksmiidevyarcanaHK-19	pañcavalivoya ||	pañca valivoya 
MBsiddhilaksmiidevyarcanaHK-20	tavaniva ca niḍhomālakovoya ||	ca 
MBsiddhilaksmiidevyarcanaHK-21	atha arghapātrasodhanaṃ ||	atha arghapātra sodhanam 
MBsiddhilaksmiidevyarcanaHK-22	nyāsa ||	nyāsa 
MBsiddhilaksmiidevyarcanaHK-23	arghapātra saśuddhicikudhaḍhataya ||	arghapātra 
MBsiddhilaksmiidevyarcanaHK-24	avaguthanaṃ ||	avaguthanam 
MBsiddhilaksmiidevyarcanaHK-25	trikutimudrāna trikonacoya ||	tri kuti mudrāna 
MBsiddhilaksmiidevyarcanaHK-26	mantra ||	mantra 
MBsiddhilaksmiidevyarcanaHK-27	ai& hrī& śrī& hsphrī& hskau& tolate ||	ai hrī śrī hsphrī hskau tolate 
MBsiddhilaksmiidevyarcanaHK-28	pātrasajaḍho lāhatanakopujāḍo khavalāhātanajavakopuyāvaja palape ||	palape 
MBsiddhilaksmiidevyarcanaHK-29	gāyatrī ||	gāyatrī 
MBsiddhilaksmiidevyarcanaHK-30	kuvjikāyā vidmahe kuladvīpāyadhīmahe tannokuvji pracodayā || 7 ||	kuvjikāyāḥ vidmahe kula dvīpāya dhīmahe tat naḥ kuvji pracodaya 
MBsiddhilaksmiidevyarcanaHK-31	p. 1b) dhāra 5 ||	p b dhāra 
MBsiddhilaksmiidevyarcanaHK-32	dhenuyonimudrā darśayet ||	dhenu yoni mudrāḥ darśayet 
MBsiddhilaksmiidevyarcanaHK-33	iti pātrasodhanaṃ ||	iti pātra sodhanam 
MBsiddhilaksmiidevyarcanaHK-34	atha arghapātrasacoḍhacchatudhārā sataya ||	atha sataya 
MBsiddhilaksmiidevyarcanaHK-35	atha tritatva na nosiye ||	atha tri ta tva na 
MBsiddhilaksmiidevyarcanaHK-36	nyāsayāya ||	nyāsayāya 
MBsiddhilaksmiidevyarcanaHK-37	devayākecita svānatinake || vākyaṃ ||	vākyam 
MBsiddhilaksmiidevyarcanaHK-38	śrīkhaṇḍacandanaṃ tyādi ||	śrīkhaṇḍa candanam tyādi 
MBsiddhilaksmiidevyarcanaHK-39	vīreśvarītyādi ||	vīreśvarī ityādi 
MBsiddhilaksmiidevyarcanaHK-40	jajamānavācinaticake || vākya ||	vākya 
MBsiddhilaksmiidevyarcanaHK-41	candanaṃ tyādi || svānaviya || vākya || nānāpuṣpatyādi || adyādivākya ||	candanam vākya nānā puṣpa tyādi 
MBsiddhilaksmiidevyarcanaHK-42	jajamānasya varṣavandhanadesamaṅgalajātrā |	jajamānasya 
MBsiddhilaksmiidevyarcanaHK-43	caturdasī mahāpārvane śrīvaccheśvarī kumārījagārcaṇa	caturdasī mahāpārvane 
MBsiddhilaksmiidevyarcanaHK-44	vaśuvalyārcanasahitapaṃco upacāradevārcananimityarthaṃ argha 2 puṣpaṃ	upacāra deva arcana nimiti arthaṃ argha 
MBsiddhilaksmiidevyarcanaHK-45	namaḥ ||	namaḥ 
MBsiddhilaksmiidevyarcanaHK-46	oṃ nāñjavijamadhyejusogīnisodhana gāyatrī kulamātandabhairavāyapuṣpaṃ	om gāyatrī 
MBsiddhilaksmiidevyarcanaHK-47	namaḥ ||	namaḥ 
MBsiddhilaksmiidevyarcanaHK-48	p. 2a) jajamānanapujā bhalathiyakaṃtaya || stotra || pathe || śrīsamvartā ||	a stotra pathe śrīsamvartā 
MBsiddhilaksmiidevyarcanaHK-49	vrahmāyaṇī || ai& kārā || tyādi ||	vrahmāyaṇī ai kārā tyādi 
MBsiddhilaksmiidevyarcanaHK-50	jajamānasyacaturdasī mahāpārvanena śrīkuvjikāpaṃca uvācāra devārcaṇa	mahā pārvanena 
MBsiddhilaksmiidevyarcanaHK-51	kamaṇḍalupuṣpabhājanaṃ samarpayāmi ||	kamaṇḍalu puṣpa bhājanam samarpayāmi 
MBsiddhilaksmiidevyarcanaHK-52	puna ācāryāya kamaṇḍalu ||	punar ācāryāya kamaṇḍalu 
MBsiddhilaksmiidevyarcanaHK-53	puna ācārya na adyādisuryārghaṃ puna ācamanaṃ || nyāsaḥ ||	punar ācārya na adya ādi surya argham punar ācamanam nyāsaḥ 
MBsiddhilaksmiidevyarcanaHK-54	khphre& sakalaśatru pramarthanī astrāya phaṭ || 4 ||	khphre sakalaśatru pramarthanī astrāya phaṭ   
