segmentnr	original	analyzed
MBisaanagurudevapaddhati-II-HK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBisaanagurudevapaddhati-II-HK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00017	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBisaanagurudevapaddhati-II-HK-2	Uniform title: īśānaśivagurudevapaddhati Volume 2	uniform title īśāna śiva guru deva paddhati volume 
MBisaanagurudevapaddhati-II-HK-3	Main title: īśānaśivagurudevapaddhatiḥ Volume 2	main title īśāna śiva guru deva paddhatiḥ volume 
MBisaanagurudevapaddhati-II-HK-4	Author : īśānaśivagurudeva	authoḥ īśāna śiva guru deva 
MBisaanagurudevapaddhati-II-HK-5	Alternate name : īśānaśiva	alternate name īśāna śiva 
MBisaanagurudevapaddhati-II-HK-6	Editor : gaṇapati śāstrī	e t itoḥ gaṇapati śāstrī 
MBisaanagurudevapaddhati-II-HK-7	Description: Volume 2 of 4 volume edition by  University of Trivandrum, Gov. of Travancore, 1922.	description volume of volume edition by university of trivandrum gov of travancore 
MBisaanagurudevapaddhati-II-HK-8	Notes: Data-entered by the staff of Muktabodha under the supervision of Mark Dyczkowski.	notes data entered by the staff muktabodha under the supervision of mark dyczkowski 
MBisaanagurudevapaddhati-II-HK-9	Revision 0: 28/01/2007	revision 
MBisaanagurudevapaddhati-II-HK-10	Publisher : bharatiya vidya prakāśan	publisher 
MBisaanagurudevapaddhati-II-HK-11	Publication year : 1922	publication year 
MBisaanagurudevapaddhati-II-HK-12	Publication city : Delhi	publication citi delhi 
MBisaanagurudevapaddhati-II-HK-13	Publication country : India	publication country india 
MBisaanagurudevapaddhati-II-HK-14	|| śrīḥ ||	śrīḥ 
MBisaanagurudevapaddhati-II-HK-15	īśānaśivagurudevapaddhatiḥ	īśāna śiva guru deva paddhatiḥ 
MBisaanagurudevapaddhati-II-HK-16	śrīmadīśānaśivagurudevamiśraviracitā |	śrīmat īśāna śiva guru deva miśra viracitā 
MBisaanagurudevapaddhati-II-HK-17	(dvitīyo mantrapādaḥ |)	dvitīyaḥ mantra pādaḥ 
MBisaanagurudevapaddhati-II-HK-18	atha pañcadaśaḥ paṭalaḥ |	atha pañcadaśaḥ paṭalaḥ 
MBisaanagurudevapaddhati-II-HK-19	vande sindūrasandohasundarāruṇarociṣam |	vande sindūra sandoha sundara aruṇa   
MBisaanagurudevapaddhati-II-HK-20	stamberamānanaṃ devamindrādisuravanditam || 15-1 ||	stamberam ānanam devam indra ādi sura vanditam 
MBisaanagurudevapaddhati-II-HK-21	mahadahaṅkṛtikhānilakānalakṣitiguṇodayaśaktivijṛmbhitam |	mahat ahaṅkṛti kha anilaka anala kṣiti guṇa udaya śakti vijṛmbhitam 
MBisaanagurudevapaddhati-II-HK-22	jagadidaṃ gaṇasaṃjñitamasya yad gaṇapatiḥ patireṣa śivaḥ svayam || 15-2 ||	jagat idam gaṇa saṃjñitam asya yat gaṇapatiḥ patiḥ eṣa śivaḥ svayam 
MBisaanagurudevapaddhati-II-HK-23	vikurute nikhilaṃ khaluśaktitaḥ puruṣa eṣa śivaḥ sa cikīrṣayā |	vikurute nikhilam khalu śaktitaḥ puruṣaḥ eṣa śivaḥ sa cikīrṣayā 
MBisaanagurudevapaddhati-II-HK-24	tadavanaṃ ca sasaṃhṛtimicchayā vitanute tanubhedavilakṣaṇaḥ || 15-3 ||	tat avanam ca sa saṃhṛtim icchayā vitanute tanu bheda vilakṣaṇaḥ 
MBisaanagurudevapaddhati-II-HK-25	hariviriñcamaheśamukhāḥ surā jagati vighnagaṇairapi nighnitāḥ |	hari viriñca maheśa mukhāḥ surāḥ jagati vighna gaṇaiḥ api nighnitāḥ 
MBisaanagurudevapaddhati-II-HK-26	gaṇapateryajanaṃ khalu tanvate yadata eva vibhurhi vināyakaḥ || 15-4 ||	gaṇapateḥ yajanam khalu tanvate yat atas eva vibhuḥ hi vināyakaḥ 
MBisaanagurudevapaddhati-II-HK-27	sa khalu prapañcamakhilaṃ vyasṛjat purato'vanāya kila tasya vibhuḥ |	sa khalu prapañcam akhilam vyasṛjat puratas vanāya kila tasya vibhuḥ 
MBisaanagurudevapaddhati-II-HK-28	atha bhūtaye ca jagatāmatanustanumāsthito gajamukhīmabhavat || 15-5 ||	atha bhūtaye ca jagatām atanuḥ tanum āsthitaḥ gaja mukhīm abhavat  /
MBisaanagurudevapaddhati-II-HK-29	samupoḍhaviśvanikhilādhvagaṇāṃ guṇadhātubījaravaṣaṭkayutām |	samupoḍha viśva nikhila adhva gaṇām guṇa dhātu bīja rava ṣaṭka yutām 
MBisaanagurudevapaddhati-II-HK-30	paramāṅgaṣaṭkavihitāṅgavidhiṃ varamūrtiyuṅmithunaṣaṭkamayīm || 15-6 ||	                  
MBisaanagurudevapaddhati-II-HK-31	jagadekabhūtijananīmajarāṃ kamalāmbujākṣagirijāgiriśaiḥ |	jagat eka bhūti jananīm ajarām kamala ambuja akṣa girijā giriśaiḥ 
MBisaanagurudevapaddhati-II-HK-32	ratimanmathāvanivarāhayutaiḥ parito girā ca caturāsyavṛtām || 15-7 ||	rati manmatha avani varāha yutaiḥ paritas girā ca catur āsya vṛtām 
MBisaanagurudevapaddhati-II-HK-33	smarati vā samanuṃ savidhānakaṃ pratidinaṃ tamimaṃ gaṇanāyakam |	smarati vā sa manum sa vidhānakam pratidinam tam imam gaṇanāyakam 
