segmentnr	original	analyzed
SA_MBB_rahmayamalaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
SA_MBB_rahmayamalaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00319	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
SA_MBB_rahmayamalaHK-2	Uniform title: brahmayāmala	uniform title brahmayāmala 
SA_MBB_rahmayamalaHK-3	Manuscript : IFP transcript T00522	manuscript ifp transcript 
SA_MBB_rahmayamalaHK-4	Notes: Revision 0: Nov. 21, 2014	nov 
SA_MBB_rahmayamalaHK-5	Data-entered by the staff of Muktabodha under the direction of Mark S.G. Dyczkowski.	data entered by the staff of muktabodha under the direction of mark sg dyczkowski 
SA_MBB_rahmayamalaHK-6	Publication country : India	publication country india 
SA_MBB_rahmayamalaHK-7	p. 1)	p 
SA_MBB_rahmayamalaHK-8	brahmayāmale mātṛṇāmutsavam |	brahmayāmale mātṛṇām utsavam 
SA_MBB_rahmayamalaHK-9	hariḥ oṃ |	hariḥ om 
SA_MBB_rahmayamalaHK-10	mātṛṇāmutsavaṃ vakṣye śṛṇu brahmanyathākramam |	mātṛṇām utsavam vakṣye śṛṇu brahman yathākramam 
SA_MBB_rahmayamalaHK-11	purā kṛtayugasyādau devāśca siramaisvaraiḥ ||	purā kṛta yugasya ādau devāḥ ca siramaisvaraiḥ 
SA_MBB_rahmayamalaHK-12	devaiśca rodhanaṃ kṛtvā dārukena mahānṛpa |	devaiḥ ca rodhanam kṛtvā dārukena mahā nṛpa 
SA_MBB_rahmayamalaHK-13	devāssañcintitassarve dārukāhvaya kāraṇam ||	devāḥ sañcintitaḥ sarve dāruka āhvaya kāraṇam 
SA_MBB_rahmayamalaHK-14	dārukassa vayasmṛtya vayau vātha kathaṃ harim |	dārukaḥ sa vayasmṛtya vayau vā atha katham harim 
SA_MBB_rahmayamalaHK-15	tacchrutvā hariḥ proktaḥ striyaṃ sṛṣṭiti tadvada ||	tat śrutvā hariḥ proktaḥ striyam tat vada 
SA_MBB_rahmayamalaHK-16	evaṃ śrutvā tu deve hyaikaikaṃ sṛṣṭivat striyam |	evam śrutvā tu deve sṛṣṭi vat striyam 
SA_MBB_rahmayamalaHK-17	brahmāṇi brahmasaṃbhūtā māheśvarī maheśvarāt ||	brahmāṇi brahma saṃbhūtā māheśvarī maheśvarāt 
SA_MBB_rahmayamalaHK-18	kaumārīskandasaṃbhūtā vaiṣṇaī viṣṇusaṃbūtā |	kaumārī skanda saṃbhūtā vaiṣṇaī viṣṇu saṃbūtā 
SA_MBB_rahmayamalaHK-19	vārāhī yamasaṃbhūtā indrāṇi indrasaṃbhavā ||	vārāhī yama saṃbhūtā indrāṇi indra saṃbhavā 
SA_MBB_rahmayamalaHK-20	eteṣāṃ mātaro deva yuddhaṃ vai dārukena tu |	eteṣām mātaraḥ deva yuddham vai dārukena tu 
SA_MBB_rahmayamalaHK-21	mātṝṇāṃ durbalaṃ gachet prabalena mahāsuraḥ ||	mātṝṇām durbalam gacchet prabalena mahā asuraḥ 
SA_MBB_rahmayamalaHK-22	mātṝṇāṃ saṃbhūyanodbhūtā ekavīraparātparā |	mātṝṇām eka vīra parātparā 
SA_MBB_rahmayamalaHK-23	paramekāṃśamevantu parameśvaralocane ||	param eka aṃśam eva tu parameśvara locane 
SA_MBB_rahmayamalaHK-24	jayate bhadrakālī tu dārukāvadhakāriṇīm |	jayate bhadrakālī tu dārukā vadha kāriṇīm 
SA_MBB_rahmayamalaHK-25	dārukaṃ hṛdayaṃ bhitvā rudhiraṃ māṃsacarcitam ||	dārukam hṛdayam bhitvā rudhiram māṃsa carcitam 
SA_MBB_rahmayamalaHK-26	āpūrṇāyāhṛdaṃ sarvaṃ hariṣṇyāṇītyupakramam |	āpūrṇāya āhṛdam sarvam hariṣṇyāṇi iti upakramam 
SA_MBB_rahmayamalaHK-27	tacchrutvā īśvaro devī nṛttaṃ kṛtvā tu śāmyati ||	tat śrutvā īśvaraḥ devī nṛttam kṛtvā tu śāmyati 
SA_MBB_rahmayamalaHK-28	p. 2)	p 
SA_MBB_rahmayamalaHK-29	śāntyantu sarva devebhyo cāmuṇḍaparameśvari |	cāmuṇḍaparameśvari 
SA_MBB_rahmayamalaHK-30	tāsāṃ vai mūrtibhedantu śṛṇu brahma yuge yuge ||	tāsām vai mūrti bhedam tu śṛṇu brahma yuge yuge 
SA_MBB_rahmayamalaHK-31	kṛtayuge koṭimūrti mūrtayaḥ parikīrtitāḥ |	kṛta yuge koṭi mūrti mūrtayaḥ parikīrtitāḥ 
