segmentnr	original	analyzed
MBurdhvamnayadamanarohanapaddhatiHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBurdhvamnayadamanarohanapaddhatiHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00421	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBurdhvamnayadamanarohanapaddhatiHK-2	Uniform title: urddhvāmnāya damanārohaṇapaddhati	uniform title damana ārohaṇa paddhati 
MBurdhvamnayadamanarohanapaddhatiHK-3	Manuscript : NGMCP manuscript 126 reel no: B 178/18	manuscript manuscript 
MBurdhvamnayadamanarohanapaddhatiHK-4	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBurdhvamnayadamanarohanapaddhatiHK-5	Revision 0: April 28, 2017	revision april 
MBurdhvamnayadamanarohanapaddhatiHK-6	Publication country : India	publication country india 
MBurdhvamnayadamanarohanapaddhatiHK-7	urddhvāmnāya damanārohaṇapaddhati	damana ārohaṇa paddhati 
MBurdhvamnayadamanarohanapaddhatiHK-8	1) 1 oṃ namaḥ śrītripurāyai ||	om namaḥ śrī tripurāyai 
MBurdhvamnayadamanarohanapaddhatiHK-9	1 tato ūrddhāmnāya kramadamanā rohanakarmavidhi likhyate ||	          
MBurdhvamnayadamanarohanapaddhatiHK-10	taripātitheṃ vosyaṃ haya || patavāsenacosyaṃ haya ||	taripātithem vosyam haya pata asenacosyam haya 
MBurdhvamnayadamanarohanapaddhatiHK-11	marjātātheṃ mālake ||	mālake 
MBurdhvamnayadamanarohanapaddhatiHK-12	voyājāgaranajurasādi gavoya || jāganamajurasāmumāna ||	gavoya 
MBurdhvamnayadamanarohanapaddhatiHK-13	deva snānād pātrakumbhayā dhanayāya ||	deva snānāt pātra kumbhaya dhanayāya 
MBurdhvamnayadamanarohanapaddhatiHK-14	yajamānapuṣpabhājanayācake || adyādi || vākya ||	yajamāna puṣpa bhājana yācake adya ādi 
MBurdhvamnayadamanarohanapaddhatiHK-15	dvārapūjāyāya marjātāthyaṃ ||	dvāra pūjāyāya marjātāthyam 
MBurdhvamnayadamanarohanapaddhatiHK-16	yoginyādi vīrajananimantreṇaviya ||	yoginī ādi 
MBurdhvamnayadamanarohanapaddhatiHK-17	ai& klī& sau& nimantraṇamahādevi sāṅgañca gurupurvakāṃ |	ai klī sau nimantraṇa mahādevi sa aṅgam ca guru purvakām 
MBurdhvamnayadamanarohanapaddhatiHK-18	puṣpadhūpādikaṃ caiva svamanasve prasarnagā ||	puṣpa dhūpa ādikam ca eva prasarna gā 
MBurdhvamnayadamanarohanapaddhatiHK-19	āvāhanantu sarveṣāṃ śrīcakraṃ sagaṇannamaḥ ||	sarveṣām śrīcakram 
MBurdhvamnayadamanarohanapaddhatiHK-20	2a) thanākarmārcaṇayāya || adyādi || vākya || sūryāghayāya ||	a adya ādi vākya sūrya aghayāya 
MBurdhvamnayadamanarohanapaddhatiHK-21	gurunamaskāra ||	guru namaskāra 
MBurdhvamnayadamanarohanapaddhatiHK-22	jalapātra arghapātra mūlapātra sthāpanāyāya |	jalapātra arghapātra mūlapātra sthāpanāyāya 
MBurdhvamnayadamanarohanapaddhatiHK-23	bhutaśuḍhī || ātmapūjā || āvāhana || mālinipathe ||	ātmapūjā āvāhana 
MBurdhvamnayadamanarohanapaddhatiHK-24	pañcavaliviya thavathavamantraṇa ||	thava thava mantraṇa 
MBurdhvamnayadamanarohanapaddhatiHK-25	thanādikapūjāyāya || dvapaṃthvasūtraparape ||	thana ādika pūjāyāya 
MBurdhvamnayadamanarohanapaddhatiHK-26	śrīmātastripure parātparatare devi strilokī mahāsaundaryārṇava	śrī mātar tripure parātparatare devi strilokī mahā saundarya arṇava 
MBurdhvamnayadamanarohanapaddhatiHK-27	mathanodbhavasūdhā prāruryavaryodaya |	mathana udbhava sūdhā 
MBurdhvamnayadamanarohanapaddhatiHK-28	udyadbhānu sahasraśanū tanajavāpuṣpaṃ prabhaṃ te vapuḥ svānteme	udyat bhānu sahasra śanū tana javāpuṣpam prabham te vapuḥ svānta ime 
MBurdhvamnayadamanarohanapaddhatiHK-29	stharatistrilokanilayaṃ jyotirmayaṃ vāgmayaṃ ||	stharatiḥ triloka nilayam jyotiḥ mayam vāc mayam 
MBurdhvamnayadamanarohanapaddhatiHK-30	tato digapūjāyāya || pūrveśa || āsanatya ||	tatas 
MBurdhvamnayadamanarohanapaddhatiHK-31	2b) ai& klī& sau& haṃsapadmāsanāya namaḥ ||	b ai klī sau haṃsa padma āsanāya namaḥ 
MBurdhvamnayadamanarohanapaddhatiHK-32	gajāsanāya nama ||	gajāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-33	ai& 3 prayāgamahākṣetre asitāṃgamahābhairavāya vrahmāṇī	ai prayāga mahā kṣetre asitāṃga mahābhairavāya vrahmāṇī 
MBurdhvamnayadamanarohanapaddhatiHK-34	śaktiyuktāyahūṃ hetukakṣetraprālāya surādhipataya ai& klī& sau& mahimāsiddhi	sura adhipataye ai klī sau 
MBurdhvamnayadamanarohanapaddhatiHK-35	śrīpādukāṃ pūjayāmi namaḥ || valiḥ || 1 ||	śrī pādukām pūjayāmi namaḥ valiḥ 
MBurdhvamnayadamanarohanapaddhatiHK-36	āgnaya ||	ā agnaye 
MBurdhvamnayadamanarohanapaddhatiHK-37	ai& 3 vṛṣapadmāsanāya namaḥ || cchāgāsanāya nama ||	ai vṛṣa padma āsanāya namaḥ chāga āsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-38	ai& klī& sau& varuṇakṣetrapāla rurumahābhairavāya māheśvarī śaktiyuktāyahuṃ	ai klī sau varuṇa kṣetrapāla ruru mahābhairavāya māheśvarī śakti yuktāya huṃ 
MBurdhvamnayadamanarohanapaddhatiHK-39	tripurāntakaṃ kṣetrapālāya tejādhipataya ai& klī& sau& bhuktisiddhi śrīpādukāṃ	tripurāntakam kṣetrapālāya teja adhipataye ai klī sau bhukti siddhi śrī pādukām 
MBurdhvamnayadamanarohanapaddhatiHK-40	pūjayāmi namaḥ || valiḥ || 2 || dakṣiṇe ||	pūjayāmi namaḥ valiḥ  dakṣiṇe 
MBurdhvamnayadamanarohanapaddhatiHK-41	ai& klī& sau& mayūrapadmāsanāya namaḥ ||	ai klī sau mayūra padma āsanāya namaḥ 
MBurdhvamnayadamanarohanapaddhatiHK-42	3a) mahiṣāsanāya namaḥ ||	a mahiṣāsanāya namaḥ 
MBurdhvamnayadamanarohanapaddhatiHK-43	ai& klī& sau& korāpuramahākṣetre caṇḍamahābhairavāya kaumāliśaktisahitāya	ai klī sau korāpura mahā kṣetre caṇḍa mahābhairavāya kaumāli śakti sahitāya 
MBurdhvamnayadamanarohanapaddhatiHK-44	vahni vetāla kṣetrapālāya pretādhipataya ai& klī& sau& prākāmyāsiddhir	vahni vetāla kṣetrapālāya preta adhipataye ai klī sau prākāmya asiddhiḥ 
MBurdhvamnayadamanarohanapaddhatiHK-45	śrīpādukāṃ pūjayāmi namaḥ || valiḥ || 3 || naiṛtya ||	śrī pādukām pūjayāmi namaḥ valiḥ   
MBurdhvamnayadamanarohanapaddhatiHK-46	ai& klī& sau& garuḍapadmāsanāya namaḥ ||	ai klī sau garuḍa padmāsanāya namaḥ 
MBurdhvamnayadamanarohanapaddhatiHK-47	narāsanāya nama ||	narāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-48	ai& klī& sau& aṭṭahāsamahākṣetre krodhamahābhairavāya vaiṣṇaviśaktisahitāya	ai klī sau aṭṭahāsa mahā kṣetre krodha mahābhairavāya vaiṣṇava śakti sahitāya 
MBurdhvamnayadamanarohanapaddhatiHK-49	agniṅkākṣetrapālāya rākṣasādhipataye ai& klī& sau& icchāsiddhir śrīpādukāṃ	agniṅkā kṣetrapālāya rākṣasa adhipataye ai klī sau icchā siddhiḥ śrī pādukām 
MBurdhvamnayadamanarohanapaddhatiHK-50	pūjayāmi nama || vali || 4 || paścchime ||	pūjayāmi nama vali   paścchime 
MBurdhvamnayadamanarohanapaddhatiHK-51	ai& klī& sau& mahiṣapadmāsanāya vamāmakarāsanāya nama ||	ai klī sau mahiṣa padmāsanāya vamā makarāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-52	3b) ai& klī& sau& jayantīpuramahākṣetre unmartamahābhairavāya vārāhī	b ai klī sau jayantīpura mahā kṣetre unmarta mahābhairavāya vārāhī 
MBurdhvamnayadamanarohanapaddhatiHK-53	śaktisahitāya kālākṣakṣetrapālāya nagādhipataya ai& klī& sau& animādisiddhir	śakti sahitāya kālākṣa kṣetrapālāya naga adhipataye ai klī sau anima ādi siddhiḥ 
MBurdhvamnayadamanarohanapaddhatiHK-54	śrīpādukāṃ pūjayāmi nama || vali || 5 || vāyuvyā ||	śrī pādukām pūjayāmi 
MBurdhvamnayadamanarohanapaddhatiHK-55	ai& klī& sau& gajapadmāsanāya nama ||	ai klī sau gaja padmāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-56	harināsanāya nama ||	harināsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-57	ai& klī& sau& caritramahākṣetre kapālīsa mahābhairavāya aindrāṇyai	ai klī sau caritra mahākṣetre kapālīsa mahābhairavāya aindrāṇyai 
MBurdhvamnayadamanarohanapaddhatiHK-58	śaktisahitāya kālākṣakṣetrapālāya pavanādhipataye ai& klī& sau& vasitvākasiddhi	śakti sahitāya kālākṣa kṣetrapālāya pavana adhipataye ai klī sau 
MBurdhvamnayadamanarohanapaddhatiHK-59	śrīpādukāṃ pūjayāmi nama || vali || 6 || uttare ||	śrī pādukām pūjayāmi uttare 
MBurdhvamnayadamanarohanapaddhatiHK-60	ai& klī& sau& pretapadmāsanāya nama ||	ai klī sau preta padmāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-61	hayāsanāya nama ||	hayāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-62	4a) ai& klī& sau& ekāmrakamahākṣetre bhīṣanamahābhairavāya	a ai klī sau ekāmraka mahākṣetre bhīṣana mahābhairavāya 
MBurdhvamnayadamanarohanapaddhatiHK-63	cāmuṇḍāśaktisahitāya ekapādakṣetrapālāya dhānādhipataya ai& klī& sau&	cāmuṇḍā śakti sahitāya eka pāda kṣetrapālāya dhānā adhipataye ai klī sau 
MBurdhvamnayadamanarohanapaddhatiHK-64	laghimāsiddhi śrīpādukāṃ pūjayāmi nama || vali || 7 || īśāne ||	śrī pādukām pūjayāmi nama īśāne 
MBurdhvamnayadamanarohanapaddhatiHK-65	ai& klī& sau& siṃhapadmāsanāya nama ||	ai klī sau siṃha padma āsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-66	vṛṣāsanāya nama ||	vṛṣāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-67	ai& klī& sau& devī koṭamahākṣetre saṃhāramahābhairavāya mahālakṣmī	ai klī sau devī koṭa mahā kṣetre saṃhāra mahābhairavāya mahālakṣmī 
MBurdhvamnayadamanarohanapaddhatiHK-68	śaktisahitāya bhimarūpakṣatrapārāya tu tādhipataya ai& klī& sau& vaśitvā siddhi	śakti sahitāya tu ta adhipataye 
MBurdhvamnayadamanarohanapaddhatiHK-69	śrīpādukāṃ pūjayāmi nama || vali || 8 || adha ||	śrī pādukām pūjayāmi adha 
MBurdhvamnayadamanarohanapaddhatiHK-70	ai& klī& sau& kūrmāsanāya nama ||	ai klī sau kūrmāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-71	ai& klī& sau& kurmapṛṣṭakṣetrapālāya adhādhipatayahāṭaka mahābhairavāya	ai klī sau kurma pṛṣṭa kṣetrapālāya mahābhairavāya 
MBurdhvamnayadamanarohanapaddhatiHK-72	pātālaśaktisahitāya nāgādhipataya nama || vali || 9 || urddha ||	pātāla śakti sahitāya nāga adhipataye nama 
MBurdhvamnayadamanarohanapaddhatiHK-73	4b) ai& klī& sau& haṃsāsanāya nama ||	b ai klī sau haṃsa āsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-74	ai& klī& sau& haṃsāsanāya ḍāmarakṣetrapālāya urddhādhipataya jvālinī	ai klī sau haṃsa āsanāya ḍāmara kṣetrapālāya urddha adhipataye jvālinī 
MBurdhvamnayadamanarohanapaddhatiHK-75	śaktisahitāya ḍāmarādhipataye mahābhairavāya svargādhipataya namaḥ || valiḥ	śakti sahitāya ḍāmara adhipataye mahābhairavāya svarga adhipataye namaḥ valiḥ 
MBurdhvamnayadamanarohanapaddhatiHK-76	|| 10 || dhūpadīpanaivedya || jāpa 10 ||	      
MBurdhvamnayadamanarohanapaddhatiHK-77	ai& klī& sau& svāhā 10 || stotra ||	ai klī sau svāhā stotra 
MBurdhvamnayadamanarohanapaddhatiHK-78	akhaṇḍamaṇḍarākālaṃ tyādi ||	akhaṇḍa maṇḍarā kālam tyādi 
MBurdhvamnayadamanarohanapaddhatiHK-79	indra agnijamacaiva naiṛtyavaruṇastathā kuvera upanayana arddha urddha namostute ||	naiṛtya varuṇaḥ tathā kuvera upanayana arddha namaḥ stute 
MBurdhvamnayadamanarohanapaddhatiHK-80	namaskāra || thvatediga pūjā || paṃcavaliviya ||	namaskāra thvatediga pūjā 
MBurdhvamnayadamanarohanapaddhatiHK-81	ai& mayurāsanāya nama ||	ai mayurāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-82	5a) dhyāna ||	a dhyāna 
MBurdhvamnayadamanarohanapaddhatiHK-83	patibhāyāparālosva javākuṇḍamasaṃnibhaṃ śaktijuktaḥ sajayanti	javākuṇḍam asaṃnibham śakti juktaḥ 
MBurdhvamnayadamanarohanapaddhatiHK-84	vaṭukasthāṇḍavāmvita ||	vaṭuka sthāṇḍava amvita 
MBurdhvamnayadamanarohanapaddhatiHK-85	ai& klī& sau& vmlvryū& vā& vī& vū& vaṭukanātha avatara 2 imāṃ pūjāṃ vali	ai klī sau vā vī vū vaṭuka nātha avatara imām pūjām vali 
MBurdhvamnayadamanarohanapaddhatiHK-86	alipisitaṃ gṛhna 2 valabhāyukta prasanābhava mamasirddhidehī hūṃ phaṭ svāhā	alipi sitam gṛhna valabhā yukta prasanā bhava mamasi ṛddhi dehī hūm phaṭ svāhā 
MBurdhvamnayadamanarohanapaddhatiHK-87	|| kṣetra ||	kṣetra 
MBurdhvamnayadamanarohanapaddhatiHK-88	ai& klī& sau& narāsanāya nama ||	ai klī sau narāsanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-89	ai& klī& sau& hslvryū& hrā& hrū& kṣatrapārāya nama || dhyāna ||	ai klī sau hslvryū hrā hrū kṣatra pārāya nama dhyāna 
MBurdhvamnayadamanarohanapaddhatiHK-90	śrūrataṃ kaḍamarukaṃ purnapātramaheśvaraṃ ||	śrūratam kaḍamarukam purnapātra maheśvaram 
MBurdhvamnayadamanarohanapaddhatiHK-91	dadhānaṃ raktavanañca bhajānikṣatra nāyakaṃ ||	dadhānam raktavanam ca bhaja an ikṣatra nāyakam 
MBurdhvamnayadamanarohanapaddhatiHK-92	ai& klī& sau& kṣmlvryū& kṣā& kṣu& kṣa& kṣatrapārāya imāṃ pūjopahālaṃ	ai klī sau kṣmlvryū kṣā kṣu kṣa kṣatra pārāya imām pūjā upahālam 
MBurdhvamnayadamanarohanapaddhatiHK-93	varabhāṃ sahito gṛhna 2 mamadustān nāsaya 2 huṃ phaṭ svahā ||	varabhām sahitaḥ gṛhna hum phaṭ svahā 
MBurdhvamnayadamanarohanapaddhatiHK-94	5b) yogini ||	b yogini 
MBurdhvamnayadamanarohanapaddhatiHK-95	ai& klī& sau& siṃhāśanāya nama ||	ai klī sau siṃha aśanāya nama 
MBurdhvamnayadamanarohanapaddhatiHK-96	yāṃ sarvajoginibhyo nama || dhyāna ||	yām sarva joginibhyaḥ nama 
MBurdhvamnayadamanarohanapaddhatiHK-97	vandhūka kusumā bhāsāṃ rudramālāgalaśajāṃ abhistaphaladā dhyānaṃ	dhyānam 
MBurdhvamnayadamanarohanapaddhatiHK-98	yogini kāmarūpiṇīṃ ||	yogini kāmarūpiṇīm 
