segmentnr	original	analyzed
MBumasamhitaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBumasamhitaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00276	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBumasamhitaHK-2	Uniform title: umāsaṃhitā	uniform title umāsaṃhitā 
MBumasamhitaHK-3	Manuscript : IFP transcript T0081	manuscript ifp transcript 
MBumasamhitaHK-4	Description: Transcribed from IFP transcript T0081 which is acopy of MS 73868 belonging to the adhyar Library, Madras.  See Muktabodha digital library, IFP/EFEO collection at www.muktabodha.org for full bibliographic details.	description transcribed from ifp transcript  which is acopy of ms belonging to the adhyar library madras see muktabodha digital library ifpefeo collection at www muktabodha org for full bibliographic details
MBumasamhitaHK-5	Notes: Transcribed by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.	notes transcribed by the staff muktabodha under the supervision of mark s g dyczkowski 
MBumasamhitaHK-6	Revision 0: Feb. 15, 2013	revision feb 
MBumasamhitaHK-7	Internet publisher : Internet publisher: Muktabodha	internet publisheḥ mukta bodha 
MBumasamhitaHK-8	Publication year : 2013	publication year 
MBumasamhitaHK-9	Publication country : United States	publication country united states 
MBumasamhitaHK-10	umāsaṃhitā ||	umāsaṃhitā 
MBumasamhitaHK-11	locanaivamumukṣūṇāṃ manuṣyāṇāṃ kāśyāṃ śrotriya	manuṣyāṇām kāśyām śrotriya 
MBumasamhitaHK-12	tasyopadeśamantreṇa muktiṃ vindanti mānavāḥ |	tasya upadeśa mantreṇa muktim vindanti mānavāḥ 
MBumasamhitaHK-13	uccārya * * * * * * * * * * mānavaḥ ||	uccārya            
MBumasamhitaHK-14	amṛte kathayiṣyāmi itihāsaṃ purātanam |	amṛte kathayiṣyāmi itihāsam purātanam 
MBumasamhitaHK-15	avanti viṣaye kaścit brāhmaṇoveda * * * ||	avanti viṣaye kaścid 
MBumasamhitaHK-16	śrutādhyayanasaṃpanno vidyādhara iti śrutaḥ |	śruta adhyayana saṃpannaḥ vidyādharaḥ iti śrutaḥ 
MBumasamhitaHK-17	dhanināṃ śrotriyādīnāṃ svādhyāyavrata ṣālinām ||	dhaninām śrotriya ādīnām svādhyāya vrata sālinām 
MBumasamhitaHK-18	kule * to viśeṣeṇa snānānuṣṭhānatatparaḥ |	kule viśeṣeṇa snāna anuṣṭhāna tatparaḥ 
MBumasamhitaHK-19	svayamasmai dvijagaṇairvedapāṭha paraśca saḥ ||	svayam asmai dvija gaṇaiḥ vedapāṭha paraḥ ca saḥ 
MBumasamhitaHK-20	satkanyāṃ śrotriyakule pariṇīya śucismitām |	sat kanyām śrotriya kule pariṇīya śuci smitām 
MBumasamhitaHK-21	mandasāseti vikhyātāṃ rāmāṃ sarvāṅgasundarīm ||	mandasāsā iti vikhyātām rāmām sarva aṅga sundarīm 
MBumasamhitaHK-22	dīkṣito * n sadākāle juhotisma vidhānataḥ |	dīkṣitaḥ sadā kāle juhotisma vidhānataḥ 
MBumasamhitaHK-23	evaṃ bhūto dvijavaro vedavādabahiṣkṛtaiḥ ||	evam bhūtaḥ dvijavaraḥ veda vāda bahiṣkṛtaiḥ 
MBumasamhitaHK-24	p. 2)	p 
MBumasamhitaHK-25	kadācitkṛtasaṃvādastatra saṃkhyamarocata |	kadācid kṛta saṃvādaḥ tatra saṃkhyam arocata 
