segmentnr	original	analyzed
SA_GV03_sb_07_u-0	gārhapatyaṃ ceṣyanpalāśaśākhayā vyudūhati /	gārhapatyam ceṣyan palāśa śākhayā vyudūhati 
SA_GV03_sb_07_u-1	avasyati haitadyadgārhapatyaṃ cinoti	avasyati ha etat yat gārhapatyam cinoti 
SA_GV03_sb_07_u-2	ya u vai ke cāgnicito 'syāmeva te 'vasitāstadyadvyudūhatyavasitāneva tadvyudūhati	ye u vai ke ca agni citaḥ syāma eva te vasitāḥ tat yat vyudūhati a vasitān eva tat vyudūhati 
SA_GV03_sb_07_u-3	nedavasitānadhyavasyānīti 7.1.1.[2]	na id avasitā an adhyavasyāni iti 
SA_GV03_sb_07_u-4	apeta vīta vi ca sarpatāta iti /	apeta vīta vi ca sarpata atas iti 
SA_GV03_sb_07_u-5	apa caivaita vi ceta vyu ca sarpatāta ityetadya	apa ca eva eta vi ceta vyu ca sarpata atas iti etat ya 
SA_GV03_sb_07_u-6	udarasarpiṇastānetadāha ye 'tra stha purāṇa ye ca nūtanā iti ye 'tra stha sanātanā ye	udara sarpiṇaḥ tān etat āha ye tra stha purāṇa ye ca nūtanāḥ iti ye tra stha sanātanāḥ ye 
SA_GV03_sb_07_u-7	cādhunātanā ityetat 7.1.1.[3]	ca adhunātanāḥ iti etat 
SA_GV03_sb_07_u-8	adādyamo 'vasānam pṛthivyā iti /	adāt yamaḥ vasānam pṛthivyai iti 
SA_GV03_sb_07_u-9	yamo ha vā asyā avasānasyeṣṭe sa evāsmā	yamaḥ ha vai asyāḥ avasānasya īṣṭe saḥ eva asmai 
SA_GV03_sb_07_u-10	asyāmavasānaṃ dadāti 7.1.1.[4]	asyām avasānam dadāti 
SA_GV03_sb_07_u-11	akrannimam pitaro lokamasmā iti /	akran imam pitaraḥ lokam asmai iti 
SA_GV03_sb_07_u-12	kṣatraṃ vai yamo viśaḥ pitaro yasmā u vai	kṣatram vai yamaḥ viśaḥ pitaraḥ yasmai u vai 
SA_GV03_sb_07_u-13	kṣatriyo viśā saṃvidāno 'syāmavasānaṃ dadāti tatsudattaṃ tatho hāsmai kṣatraṃ	kṣatriyaḥ viśā saṃvidānaḥ syām avasānam dadāti tat su dattam tathā u ha asmai kṣatram 
SA_GV03_sb_07_u-14	yamo viśā pitṛbhiḥ saṃvidāno 'syāmavasānaṃ dadāti 7.1.1.[5]	yamaḥ viśā pitṛbhiḥ saṃvidānaḥ syām avasānam dadāti 
SA_GV03_sb_07_u-15	palāśaśākhayā vyudūhati /	palāśa śākhayā vyudūhati 
SA_GV03_sb_07_u-16	brahma vai palāśo brahmaṇaiva tadavasitānvyudūhati	brahma vai palāśaḥ brahmaṇā eva tat avasitān vyudūhati 
SA_GV03_sb_07_u-17	mantreṇa brahma vai mantro brahmaṇaiva tadavasitānvyudūhati tāmudīcīmudasyati 7.1.1.[6]	mantreṇa brahma vai mantraḥ brahmaṇā eva tat avasitān vyudūhati tām udīcīm udasyati 
SA_GV03_sb_07_u-18	athoṣānnivapati /	atha ūṣān nivapati 
