segmentnr	original	analyzed
SA_GK19_ksbhm17u-0	//mahāprasthānikaṃ parva//	mahāprasthānikam parva 
SA_GK19_ksbhm17u-1	nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nārāyaṇam namaskṛtya naram ca eva narottamam 
SA_GK19_ksbhm17u-2	devīṃ sarasvatīṃ vyāsaṃ tato jayamudīrayet // Bhmj_17.1 //	devīm sarasvatīm vyāsam tatas jayam udīrayet 
SA_GK19_ksbhm17u-3	atha vṛṣṇikṣayaṃ śrutvā dharmasūnurdhanaṃjayāt /	atha vṛṣṇi kṣayam śrutvā dharmasūnuḥ dhanaṃjayāt 
SA_GK19_ksbhm17u-4	namaḥ kālāya baline niḥśvasannityabhāṣata // Bhmj_17.2 //	namaḥ kālāya baline niḥśvasan iti abhāṣata 
SA_GK19_ksbhm17u-5	sarvatyāgakṛto yogo viveśa bhrātṛbhiḥ saha /	sarva tyāga kṛtaḥ yogaḥ viveśa bhrātṛbhiḥ saha 
SA_GK19_ksbhm17u-6	rājyaṃ dauryodhanaṃ dattvā guṇāhārya yuyutsave // Bhmj_17.3 //	rājyam dauryodhanam dattvā guṇa āhārya yuyutsave 
SA_GK19_ksbhm17u-7	nije parikṣitaṃ rājye sthāpayitvābhimanyujam /	nije parikṣitam rājye sthāpayitvā abhimanyu jam 
SA_GK19_ksbhm17u-8	tatpālane samādiśya subhadraṃ satyaśāsanaḥ // Bhmj_17.4 //	tad pālane samādiśya subhadram satya śāsanaḥ 
SA_GK19_ksbhm17u-9	prakṛtibhyo vinikṣipya taṃ dvijebhyaśca dharmavit /	prakṛtibhyaḥ vinikṣipya tam dvijebhyaḥ ca dharma vid 
SA_GK19_ksbhm17u-10	śrāddhaṃ vidhāya bandhubhyaḥ puṇyāmiṣṭiṃ ca naiṣṭhikīm // Bhmj_17.5 //	śrāddham vidhāya bandhubhyaḥ puṇyām iṣṭim ca naiṣṭhikīm 
SA_GK19_ksbhm17u-11	agnīnutsṛjya salile paurānāśvāsya duḥkhitān /	agnīn utsṛjya salile paurān āśvāsya duḥkhitān 
SA_GK19_ksbhm17u-12	devīmāmantrya vasudhāṃ sānujo draupadīsakhaḥ /	devīm āmantrya vasudhām sa anujaḥ draupadī sakhaḥ 
SA_GK19_ksbhm17u-13	pratasthe sarvasaṃnyāsī yogayukto yudhiṣṭhiraḥ // Bhmj_17.6 //	pratasthe sarva saṃnyāsī yoga yuktaḥ yudhiṣṭhiraḥ 
SA_GK19_ksbhm17u-14	tataḥ sametya bhagavānsvayameva hutāśanaḥ /	tatas sametya bhagavān svayam eva hutāśanaḥ 
SA_GK19_ksbhm17u-15	pārthājjagrāha gāṇḍīvaṃ tau cākṣayyau maheṣudhī // Bhmj_17.7 //	pārthāt jagrāha gāṇḍīvam tau ca akṣayyau mahā iṣudhī 
SA_GK19_ksbhm17u-16	śvā tānanuyayāveko vāryamāṇo 'pi yatnataḥ /	śvā tān anuyayau ekaḥ vāryamāṇaḥ yatnataḥ 
SA_GK19_ksbhm17u-17	atha te śanakaiḥ prāpurdiśaṃ dakṣiṇapaścimām // Bhmj_17.8 //	atha te śanakais prāpuḥ diśam dakṣiṇa paścimām 
SA_GK19_ksbhm17u-18	dṛṣṭvā tatra samudreṇa bhṛtāṃ dvāravatīṃ jalaiḥ /	dṛṣṭvā tatra samudreṇa bhṛtām dvāravatīm jalaiḥ 
SA_GK19_ksbhm17u-19	āśāmudīcīṃ prayayurbhuvaḥ kṛtvā pradakṣiṇam // Bhmj_17.9 //	āśām udīcīm prayayuḥ bhuvaḥ kṛtvā pradakṣiṇam 
SA_GK19_ksbhm17u-20	himācalamatikramya prāptāste vālukārṇavam /	himācalam atikramya prāptāḥ te vālukā arṇavam 
SA_GK19_ksbhm17u-21	dadṛśurmerumuttuṅgaśṛṅgāliṅgitanandanam // Bhmj_17.10 //	dadṛśuḥ merum uttuṅga śṛṅga āliṅgita nandanam 
SA_GK19_ksbhm17u-22	niragāre nirālambe tasminnadhvani dustare /	niragāre nirālambe tasmin adhvani dustare 
SA_GK19_ksbhm17u-23	śirīṣapelavatanuḥ papāta drupadātmajā // Bhmj_17.11 //	śirīṣa pelava tanuḥ papāta drupada ātmajā 
SA_GK19_ksbhm17u-24	tāṃ yātajīvitāṃ dṛṣṭvā bhīmaḥ prāha yudhiṣṭhiram /	tām yāta jīvitām dṛṣṭvā bhīmaḥ prāha yudhiṣṭhiram 
SA_GK19_ksbhm17u-25	rājanpāñcālarājasya suteyaṃ patitā bhuvi // Bhmj_17.12 //	rājan pāñcāla rājasya sutā iyam patitā bhuvi 
SA_GK19_ksbhm17u-26	cintayannapi paśyāmi nāsyāḥ kimapi kilbiṣam /	cintayan api paśyāmi na asyāḥ kim api kilbiṣam 
SA_GK19_ksbhm17u-27	kasmādeṣā tapoyegaṃ tyaktvā pañcatvamāgatā // Bhmj_17.13 //	kasmāt eṣā tapaḥ yegam tyaktvā pañcatvam āgatā 
SA_GK19_ksbhm17u-28	dharmasūnurniśamyaitadanāvṛttamukho 'vadat /	dharmasūnuḥ niśamya etat anāvṛtta mukhaḥ vadat 
SA_GK19_ksbhm17u-29	babhuva pakṣapāto 'syāḥ sarvadābhyadhikor'june // Bhmj_17.14 //	babhuva syāḥ sarvadā abhyadhikā ūrjune 
SA_GK19_ksbhm17u-30	ityukte bhūmipālena sahadevo 'patadbhuvi /	iti ukte bhūmipālena sahadevo patat bhuvi 
SA_GK19_ksbhm17u-31	tasminnipatite pṛṣṭo bhīmenoce nṛpaḥ punaḥ // Bhmj_17.15 //	tasmin nipatite pṛṣṭaḥ bhīmena ūce nṛpaḥ punar 
SA_GK19_ksbhm17u-32	eṣa prajñābhimānena jaḍaṃ jagadamanyata /	eṣa prajñā abhimānena jaḍam jagat amanyata 
SA_GK19_ksbhm17u-33	iti dharmasutenokte papāta nakulaḥ kṣitau // Bhmj_17.16 //	iti dharmasutena ukte papāta nakulaḥ kṣitau 
SA_GK19_ksbhm17u-34	rājā pṛṣṭo 'tha bhīmena vrajannevābravītpunaḥ /	rājā pṛṣṭaḥ tha bhīmena vrajan evā bravīt punar 
SA_GK19_ksbhm17u-35	rūpamānī smareṇāpi spardhāmeṣa na ca kṣamī // Bhmj_17.17 //	rūpa mānī smareṇa api spardhām eṣa na ca kṣamī 
SA_GK19_ksbhm17u-36	ityukte vrajatā rājñā nipapāta dhanaṃjayaḥ /	iti ukte vrajatā rājñā nipapāta dhanaṃjayaḥ 
SA_GK19_ksbhm17u-37	punaśca pṛṣṭo bhīmena jagāda jagatīpatiḥ // Bhmj_17.18 //	punar ca pṛṣṭaḥ bhīmena jagāda jagatīpatiḥ 
SA_GK19_ksbhm17u-38	śūramānī cacāraiṣa śithilaṃ samarāṅgane /	śūra mānī cacāra eṣa śithilam samara aṅgane 
SA_GK19_ksbhm17u-39	iti bruvāṇo bhūpālo jagāmaivāviluptadhīḥ // Bhmj_17.19 //	iti bruvāṇaḥ bhūpālaḥ jagāma eva a vilupta dhīḥ 
SA_GK19_ksbhm17u-40	bhīmastato nipatitaḥ patito 'smītyuvāca tam /	bhīmaḥ tatas nipatitaḥ patitaḥ smi iti uvāca tam 
SA_GK19_ksbhm17u-41	so 'bravīdbaladarpo 'bhūdbhīma bahvaśanasya te // Bhmj_17.20 //	saḥ bravīt bala darpaḥ bhūt bhīma bahu aśanasya te 
SA_GK19_ksbhm17u-42	tato 'bhūdeka evātha vrajannanugataḥ śunā /	tatas bhūt ekaḥ eva atha vrajan anugataḥ śunā 
SA_GK19_ksbhm17u-43	dadarśa sākṣādāyātaṃ rathenendraṃ yudhiṣṭhiraḥ // Bhmj_17.21 //	dadarśa sākṣāt āyātam rathena indram yudhiṣṭhiraḥ 
SA_GK19_ksbhm17u-44	rājanmatpuramehīti śakreṇokto jagāda saḥ /	rājan mad puram ehi iti śakreṇa uktaḥ jagāda saḥ 
SA_GK19_ksbhm17u-45	śunā virahitaḥ svargaṃ saśarīro na kāmaye // Bhmj_17.22 //	śunā virahitaḥ svargam sa śarīraḥ na kāmaye 
SA_GK19_ksbhm17u-46	tamabravītsurapatiḥ śunāṃ svarge kuto gatiḥ /	tam abravīt surapatiḥ śunām svarge kutas gatiḥ 
SA_GK19_ksbhm17u-47	dhiṣṇyamārohatu śveti tvadanyaḥ ko 'nubhāṣate // Bhmj_17.23 //	dhiṣṇyam ārohatu śvā iti tvad anyaḥ kaḥ nu bhāṣate 
SA_GK19_ksbhm17u-48	tatastamūce nṛpatirbhaktatyāgaṃ kathaṃ sahe /	tatas tam ūce nṛpatiḥ bhakta tyāgam katham sahe 
SA_GK19_ksbhm17u-49	bhaktavidveṣiṇaḥ svarge nṛśaṃsasya kuto gatiḥ // Bhmj_17.24 //	bhakta vidveṣiṇaḥ svarge nṛśaṃsasya kutas gatiḥ 
SA_GK19_ksbhm17u-50	yadyasti sukutaṃ kiṃcinmama tena sureśvara /	yadi asti su kutam kiṃcid mama tena sureśvara 
SA_GK19_ksbhm17u-51	yātu svargaṃ sadehaḥ svā nainaṃ tyaktuṃ samutsahe // Bhmj_17.25 //	yātu svargam sa dehaḥ svāḥ na enam tyaktum samutsahe 
SA_GK19_ksbhm17u-52	strīvadhenaiva sadṛśaṃ brahmasvaharaṇena ca /	strī vadhena eva sadṛśam brahma sva haraṇena ca 
SA_GK19_ksbhm17u-53	sarvapāpātmakaṃ santo bhaktatyāgaṃ pracakṣate // Bhmj_17.26 //	sarva pāpa ātmakam santaḥ bhakta tyāgam pracakṣate 
SA_GK19_ksbhm17u-54	ityukte dharmarājena dharmastyaktvā śvavigraham /	iti ukte dharmarājena dharmaḥ tyaktvā śva vigraham 
SA_GK19_ksbhm17u-55	tamūce putra tuṣṭo 'smi sadvṛttena tavāmunā // Bhmj_17.27 //	tam ūce putra tuṣṭaḥ smi sat vṛttena tava amunā 
SA_GK19_ksbhm17u-56	dṛṣṭo 'si pāthaso hetoḥ purā dvaitavane mayā /	dṛṣṭaḥ si pāthasaḥ hetoḥ purā dvaitavane mayā 
SA_GK19_ksbhm17u-57	svasti te vraja bhūpāla saśarīraḥ surālayam // Bhmj_17.28 //	svasti te vraja bhūpāla sa śarīraḥ surālayam 
SA_GK19_ksbhm17u-58	iti pitrā samādiṣṭo vimānaṃ vipulaprabham /	iti pitrā samādiṣṭaḥ vimānam vipula prabham 
SA_GK19_ksbhm17u-59	āruhya puṇyasopānaṃ viveśa suramandiram // Bhmj_17.29 //	āruhya puṇya sopānam viveśa sura mandiram 
SA_GK19_ksbhm17u-60	pūjyamānaḥ suraiḥ sārdhaṃ munibhirnāradādibhiḥ /	pūjyamānaḥ suraiḥ sārdham munibhiḥ nārada ādibhiḥ 
SA_GK19_ksbhm17u-61	rājarṣitārakāmadhye sa rarājāṃśumāniva // Bhmj_17.30 //	rāja ṛṣi tārakā madhye sa rarāja aṃśumān iva 
SA_GK19_ksbhm17u-62	tataḥ sa śakramavadbhrātaro yatra me sthitāḥ /	tatas sa śakram avat bhrātaraḥ yatra me sthitāḥ 
SA_GK19_ksbhm17u-63	śyāmā ca yatra dayitā tatra vāso mamepsitaḥ // Bhmj_17.31 //	śyāmā ca yatra dayitā tatra vāsaḥ mama īpsitaḥ 
SA_GK19_ksbhm17u-64	tamabravītsahasrākṣo bhāvaṃ mā mānuṣaṃ gamaḥ /	tam abravīt sahasrākṣaḥ bhāvam mā mānuṣam gamaḥ 
SA_GK19_ksbhm17u-65	rājarṣibhiranāsādyāṃ prāpto 'si gatimuttamām // Bhmj_17.32 //	rājarṣibhiḥ an āsādyām prāptaḥ si gatim uttamām 
SA_GK19_ksbhm17u-66	ityukto 'pyasakṛdyatnādvajriṇā dharmanandanaḥ /	iti uktaḥ pi asakṛt yatnāt vajriṇā dharmanandanaḥ 
SA_GK19_ksbhm17u-67	bhrātṝnavāptumicchāmītyabhāṣata punaḥ punaḥ // Bhmj_17.33 //	bhrātṝn avāptum icchāmi iti abhāṣata punar punar 
SA_GK19_ksbhm17u-68	iti śrīkṣemendraviracitāyāṃ bhāratamañjaryāṃ mahāprasthānikaṃ parva	iti śrī kṣemendra viracitāyām bhāratamañjaryām mahāprasthānikam parva 
