segmentnr	original	analyzed
SA_T11_jnaniva-0	jñānaśrīmitranibandhāvaliḥ	         
SA_T11_jnaniva-1	|| namo gurubhyaḥ śāstrakṛdbhyaśca ||	namaḥ gurubhyaḥ śāstra kṛdbhyaḥ ca 
SA_T11_jnaniva-2	1. nibandhakartṛparicayaḥ	        
SA_T11_jnaniva-3	bhāratīyadārśanikeṣu jñānaśrīnāmnā prasiddhau dvāvācāryāvāstām | tayoḥ kāśmīrā-	bhāratīya dārśanikeṣu jñānaśrī nāmnā prasiddhau dvau ācāryau āstām tayoḥ kāśmīrā 
SA_T11_jnaniva-4	bhijanaḥ pramāṇaviniścayavyākhyātā bhūyasāṃ bauddhaśāstragranthānāṃ bhoṭabhāṣānuvāda vidhāyako	pramāṇa viniścaya vyākhyātā bhūyasām bauddha śāstra granthānām 
SA_T11_jnaniva-5	jñānaśrībhadro'nyataraḥ, itaraśca gauḍadeśodbhavo vikramaśīlācārya: suvikhyātakītirjñāna-	jñānaśrībhadraḥ anyataraḥ itaraḥ ca gauḍa deśa udbhavaḥ vikrama śīla ācārya su vikhyāta kītiḥ jñāna 
SA_T11_jnaniva-6	śrīmitraḥ | anayodvitīyo'trādhikṛtaḥ | kutracidasya jñānaśrīnāmnā nirdeśaḥ, kutracicca	śrī mitraḥ kutracid asya jñāna śrī nāmnā nirdeśaḥ kutracid ca 
SA_T11_jnaniva-7	jñānaśrīmitranāmnā | svagranthapuṣkiāsu tu mahāpaṇḍitācāryajñānaśrīmitrapāda ityupādhi -	jñānaśrīmitra nāmnā sva grantha puṣkiāsu tu 
SA_T11_jnaniva-8	maṇḍitaṃ tasya nāmadheyamāyāti | vaṅgamagadhamaṇḍaleśvareṇa dharmapālena pratiṣṭhite tadanvavāya-	maṇḍitam tasya nāmadheyam āyāti vaṅga magadha maṇḍala īśvareṇa dharmapālena pratiṣṭhite tad anvavāya 
SA_T11_jnaniva-9	saṃbhavairupalālite ca vikramaśīlāmahāvihāre bhāratetaradeśebhyo'pi vidyārthino vividhavidyā-	saṃbhavaiḥ upalālite ca vikramaśīlā mahā vihāre bhārata itara deśebhyaḥ api vidyā arthinaḥ vividha vidyā 
SA_T11_jnaniva-10	•vāptaye samājagmuḥ, śāstrāṇi tu sarvāṇi bauddhapramukhānyadhigamya bahuśrutebhya ācāryebhyaste	vāptaye samājagmuḥ śāstrāṇi tu sarvāṇi bauddha pramukhāni adhigamya bahu śrutebhyaḥ ācāryebhyaḥ te 
SA_T11_jnaniva-11	bhāratavarṣasyādhyātmikasampadā svaṃ svaṃ deśamalaṃcakruḥ | śrūyate ekādaśe sṛṣṭaśatake vidyā-	bhārata varṣasya ādhyātmika sampadā svam svam deśam alaṃcakruḥ śrūyate ekādaśe sṛṣṭa śatake vidyā 
SA_T11_jnaniva-12	vihāre'tra catvāro dvārapaṇḍitāḥ dvau ca mahāstambhau babhūbuburiti | jñānaśrīmitraśca teṣu	catvāraḥ dvāra paṇḍitāḥ dvau ca mahā stambhau jñāna śrī mitraḥ ca teṣu 
SA_T11_jnaniva-13	dvitīya mahāstambhapadaṃ bhūṣayāmāsa |	mahā stambha padam bhūṣayāmāsa 
SA_T11_jnaniva-14	ādāvayaṃ jñānaśrīmitraḥ saindhavasampradāyabhuktaḥ śrāvaka āsīt tadanu ca tantra-	ādau ayam jñānaśrīmitraḥ saindhava sampradāya bhuktaḥ śrāvakaḥ āsīt tadanu ca tantra 
SA_T11_jnaniva-15	yānamāśritavāniti śrūyate | āsīdatra mahāvihāre saindhavānāmatiprābalyam | kadācit	yānam āśritavān iti śrūyate āsīt atra mahā vihāre saindhavānām ati prābalyam kadācid 
SA_T11_jnaniva-16	tantragranthā herukapratimā ca kācit tairvahāvāhutīkṛtāḥ | rājñā ca te na daṇḍitāḥ |	tantra granthā heruka pratimā ca kācid taiḥ vahau āhutīkṛtāḥ rājñā ca te na daṇḍitāḥ 
SA_T11_jnaniva-17	eteṣu saindhaveṣu śrīmitranāmadhāriṇo janā dṛśyante | vaṅgadeśodbhavaistantrayānānusāribhire-	eteṣu saindhaveṣu śrīmitra nāmadhāriṇaḥ janāḥ dṛśyante vaṅga deśa udbhavaiḥ tantra yāna anusāribhiḥ 
SA_T11_jnaniva-18	teṣāṃ vivāda itivṛttaviśruta eva |	teṣām vivādaḥ iti vṛtta viśrutaḥ eva 
SA_T11_jnaniva-19	bhoṭadeśīya granthebhyo jñānaśrī mitramadhikṛtyaitadanyacca vivaraṇaṃ samupalabhyate | svadeśe	bhoṭa deśīya granthebhyaḥ jñānaśrī mitram adhikṛtya etat anyat ca vivaraṇam samupalabhyate sva deśe 
