segmentnr	original	analyzed
SA_MB_moksakarikaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
SA_MB_moksakarikaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00006	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
SA_MB_moksakarikaHK-2	Uniform title: āṣṭaprakaraṇa mokṣakārikā	uniform title mokṣa kārikā 
SA_MB_moksakarikaHK-3	Main title: āṣṭaprakaraṇam mokṣakārikā	main title āṣṭa prakaraṇam mokṣakārikā 
SA_MB_moksakarikaHK-4	Secondary title: ratnatraya bhogakārikā nādakārikā mokṣakārikā paramokṣanirasakārikāḥ	bhoga kārikā nāda kārikā mokṣa kārikā para mokṣa nirasa kārikāḥ 
SA_MB_moksakarikaHK-5	Author : sadyojyoti	authoḥ sadyojyoti 
SA_MB_moksakarikaHK-6	Commentator : rāmakaṇṭha	commentatoḥ rāmakaṇṭha 
SA_MB_moksakarikaHK-7	Editor : kṛṣṇa śāstrī	e ditoḥ kṛṣṇa śāstrī 
SA_MB_moksakarikaHK-8	Description: E-text of the mokṣakārikā from ratnatraya bhogakārikā nādakārikā mokṣakārikā paramokṣanirasakārikāḥ in the devakottai series. .	description etext of the mokṣa kārikā from ratnatraya bhoga kārikā nāda kārikā mokṣa kārikā para mokṣa nirasa kārikāḥ in the devakottai series 
SA_MB_moksakarikaHK-9	Notes: Data-entered by the staff of Muktabodha under the supervision of Mark Dyczkowski.      Revision 0: December 12, 2007	notes data entered by the staff muktabodha under the supervision of mark dyczkowski 
SA_MB_moksakarikaHK-10	Publisher : śivāgama siddhānta paripalana saṅgham	publisher śiva āgama siddhānta paripalana saṅgham 
SA_MB_moksakarikaHK-11	Publication year : 1925	publication year 
SA_MB_moksakarikaHK-12	Publication city : devakottai	publication citi 
SA_MB_moksakarikaHK-13	Publication country : India	publication country india 
SA_MB_moksakarikaHK-14	mokṣakārikā	      
SA_MB_moksakarikaHK-15	sadyojyotiḥśivācāryapraṇītā	            
SA_MB_moksakarikaHK-16	bhaṭṭarāmakaṇṭhakṛtavyākhyāsahitā	          
SA_MB_moksakarikaHK-17	yābhyāṃ prakāśitaṃ vartma siddhānte siddhabhāvataḥ |	yābhyām prakāśitam vartma siddhānte siddha bhāvataḥ 
SA_MB_moksakarikaHK-18	gurūṇāmapi tau vandyau sadyojyotirbṛhaspatī ||	gurūṇām api tau vandyau sadyojyotiḥ bṛhaspatī 
SA_MB_moksakarikaHK-19	bhogamokṣapradaṃ natvā bhogamokṣāya śaṅkaram |	bhoga mokṣa pradam natvā bhoga mokṣāya śaṅkaram 
SA_MB_moksakarikaHK-20	bhogamokṣeṣu saṃkṣepād vyākhyāsye mokṣakārikām ||	bhoga mokṣeṣu saṃkṣepāt vyākhyāsye mokṣa kārikām 
SA_MB_moksakarikaHK-21	iha hi  rurusiddhāntasaṃsiddhau bhogamokṣau sasādhanau | vacmi (bho0 kā0 2) iti	iha hi ruru siddhānta saṃsiddhau bhoga mokṣau sa sādhanau vacmi bho kā iti 
