segmentnr	original	analyzed
SA_GR14_brhms5cu-0	Brahma-saṃhitā - Śrī-Jīva-gosvāmi-kṛta-dig-darśanī-ṭīkā-sahitā **************************************************************	                 
SA_GR14_brhms5cu-1	īśvaraḥ paramaḥ kṛṣṇaḥ saccidānanda-vigrahaḥ /	               
SA_GR14_brhms5cu-2	anādir ādir govindaḥ sarva-kāraṇa-kāraṇam //	anādiḥ ādiḥ govindaḥ sarva kāraṇa kāraṇam 
SA_GR14_brhms5cu-3	śrī-śrī-rādhā-kṛṣṇābhyāṃ namaḥ /	śrī śrī rādhā kṛṣṇābhyām namaḥ 
SA_GR14_brhms5cu-4	sanātana-samo yasya jyāyān śrīmān sanātanaḥ /	sanātana samaḥ yasya jyāyān śrīmān sanātanaḥ 
SA_GR14_brhms5cu-5	śrī-vallabho'nujaḥ so'sau śrī-rūpo jīva-sad-gatiḥ //	             
SA_GR14_brhms5cu-6	śrī-kṛṣṇa-rūpa-mahimā mama citte mahīyatām /	śrī kṛṣṇa rūpa mahimā mama citte mahīyatām 
SA_GR14_brhms5cu-7	yasya prasādād vyākartum icchāmi brahma-saṃhitām //	yasya prasādāt vyākartum icchāmi brahma saṃhitām 
SA_GR14_brhms5cu-8	duryojanāpi yuktārthā suvicārād ṛṣi-smṛtiḥ /	duryojanā api yukta arthā su vicārāt ṛṣi smṛtiḥ 
SA_GR14_brhms5cu-9	vicāre tu mamātra syād ṛṣīṇāṃ sa ṛṣir gatiḥ //	vicāre tu mama atra syāt ṛṣīṇām saḥ ṛṣiḥ gatiḥ 
SA_GR14_brhms5cu-10	yadyapy adhyāya-śata-yuk saṃhitā sā tathāpy asau /	yadi api adhyāya śata yuj saṃhitā sā tathā api asau 
SA_GR14_brhms5cu-11	adhyāyaḥ sūtra-rūpatvāt tasyāḥ sarvāṅgatāṃ gataḥ //	adhyāyaḥ sūtra rūpa tvāt tasyāḥ sarva aṅga tām gataḥ 
SA_GR14_brhms5cu-12	śrīmad-bhāgavatādyeṣu dṛṣṭaḥ yan mṛṣṭa-buddhibhiḥ /	śrīmat bhāgavata ādyeṣu dṛṣṭaḥ yat mṛṣṭabuddhibhiḥ 
SA_GR14_brhms5cu-13	tad evātra parāmṛṣṭaṃ tato hṛṣṭaṃ mano mama //	tat eva atra parāmṛṣṭam tatas hṛṣṭam manaḥ mama 
SA_GR14_brhms5cu-14	yad yac chrī-kṛṣṇa-sandarbhe vistārād vinirūpitam /	yat yat śrī kṛṣṇa sandarbhe vistārāt vinirūpitam 
SA_GR14_brhms5cu-15	atra tat punar āmṛśya vyākhyātuṃ spṛśyate mayā //	atra tat punar āmṛśya vyākhyātum spṛśyate mayā 
SA_GR14_brhms5cu-16	atha śrīmad-bhāgavate yad uktaṃ ete cāṃśa-kalāḥ puṃsaḥ kṛṣṇas tu bhagavān	atha śrīmat bhāgavate yat uktam ete ca aṃśa kalāḥ puṃsaḥ kṛṣṇaḥ tu bhagavān 
SA_GR14_brhms5cu-17	svayam [BhP 1.3.28] iti tad eva prathamam āha īśvara iti /	svayam bhp iti tat eva prathamam āha īśvaraḥ iti 
SA_GR14_brhms5cu-18	atra kṛṣṇa ity eva	atra kṛṣṇaḥ iti eva 
SA_GR14_brhms5cu-19	viśeṣya tan-nāmaiva /	viśeṣya tad nāma eva 
SA_GR14_brhms5cu-20	kṛṣṇāvatārotsavety ādau	             
SA_GR14_brhms5cu-21	śrī-śukādi-mahājana-prasiddhyā /	śrī śuka ādi mahā jana prasiddhyā 
SA_GR14_brhms5cu-22	kṛṣṇāya vāsudevāya devakī-nandanāya	kṛṣṇāya vāsudevāya devakīnandanāya 
SA_GR14_brhms5cu-23	ity ādau sāmopaniṣadi ca /	iti ādau sāma upaniṣadi ca 
SA_GR14_brhms5cu-24	prathama-pratītatvena	prathama pratīta tvena 
SA_GR14_brhms5cu-25	tan-nāma-vargāvirbhāva-kṛtā gargeṇa prathamam uddiṣṭatvena tathā yaṃ	tad nāma varga āvirbhāva kṛtā gargeṇa prathamam uddiṣṭa tvena tathā yam 
SA_GR14_brhms5cu-26	mantram adhikṛtya so'yam ārambhaḥ tatrāgrataḥ paricitatvena mūla-rūpatvāt /	mantram adhikṛtya saḥ ayam ārambhaḥ tatra agratas paricita tvena mūla rūpa tvāt 
SA_GR14_brhms5cu-27	tad uktaṃ padma-purāṇe prabhāsa-khaṇḍe nārada-kuśadhvaja-saṃvāde	tat uktam padmapurāṇe prabhāsa khaṇḍe nārada kuśadhvaja saṃvāde 
SA_GR14_brhms5cu-28	śrī-bhagavad-uktau - nāmnāṃ mukhyatamaṃ nāma kṛṣṇākhyaṃ me	śrī bhagavat uktau nāmnām mukhyatamam nāma kṛṣṇa ākhyam me 
SA_GR14_brhms5cu-29	parantapa iti /	parantapaḥ iti 
SA_GR14_brhms5cu-30	ataiva brahmāṇḍa-purāṇe śrī-kṛṣṇāṣṭottara-śata-nāma-stotre -	brahmāṇḍapurāṇe śrī kṛṣṇa aṣṭottaraśata nāmastotre 
SA_GR14_brhms5cu-31	sahasra-nāmnāṃ puṇyānāṃ trir-āvṛttyā tu yat phalam /	sahasranāmnām puṇyānām tris āvṛttyā tu yat phalam 
SA_GR14_brhms5cu-32	ekāvṛttyā tu kṛṣṇasya nāmaikaṃ tat prayacchati //	eka āvṛttyā tu kṛṣṇasya nāma ekam tat prayacchati 
SA_GR14_brhms5cu-33	ity atra śrī-kṛṣṇasyety evoktaṃ yat tv agre govinda-nāmnā stoṣyate tat khalu	iti atra śrī kṛṣṇasya iti evā uktam yat tu agre govinda nāmnā stoṣyate tat khalu 
SA_GR14_brhms5cu-34	kṛṣṇatve'pi tasya gavendratva-vaiśiṣṭya-darśanārtham eva /	kṛṣṇa tve pi tasya gavā indra tva vaiśiṣṭya darśana artham eva 
SA_GR14_brhms5cu-35	tad evaṃ rūḍhitvena prādhānyāt tasya iśvara ity ādīni viśeṣaṇāni / atha	tat evam rūḍhi tvena prādhānyāt tasya iśvaraḥ iti ādīni viśeṣaṇāni atha 
SA_GR14_brhms5cu-36	guṇa-dvārāpi tad dṛśyate /	guṇa dvārā api tat dṛśyate 
SA_GR14_brhms5cu-37	yathāha gargaḥ -	yathā āha gargaḥ 
SA_GR14_brhms5cu-38	āsan varṇās trayo hy asya gṛhṇato 'nuyugaṃ tanūḥ /	āsan varṇāḥ trayaḥ hi asya gṛhṇataḥ nuyugam tanūḥ 
SA_GR14_brhms5cu-39	śuklo raktas tathā pīta idānīṃ kṛṣṇatāṃ gataḥ //	śuklaḥ raktaḥ tathā pītaḥ idānīm kṛṣṇa tām gataḥ 
SA_GR14_brhms5cu-40	bahūni santi nāmāni rūpāṇi ca sutasya te /	bahūni santi nāmāni rūpāṇi ca sutasya te 
SA_GR14_brhms5cu-41	guṇa-karmānurūpāṇi tānya ahaṃ veda no janāḥ // [BhP 10.8.13-14]	guṇa karma anurūpāṇi aham veda naḥ janāḥ 
SA_GR14_brhms5cu-42	anayor arthaḥ /	anayoḥ arthaḥ 
SA_GR14_brhms5cu-43	asya kṛṣṇatvena dṛśyamānasya prati-yugaṃ tanūr nānāvatārān	asya kṛṣṇa tvena dṛśyamānasya pratiyugam tanūḥ nānā avatārān 
SA_GR14_brhms5cu-44	gṛhṇataḥ prakāśyataḥ śuklādayas trayo āsan prakāśam avāpuḥ / sa ca sa ca	gṛhṇataḥ prakāśyataḥ śukla ādayaḥ trayaḥ āsan prakāśam avāpuḥ sa ca sa ca 
SA_GR14_brhms5cu-45	śuklādir avatāra idānīṃ sākṣād asyāvatāra-samaye kṛṣṇāṅgataḥ etasminn	śukla ādiḥ avatāraḥ idānīm sākṣāt asya avatāra samaye kṛṣṇa aṅgataḥ etasmin 
SA_GR14_brhms5cu-46	evāntarbhūtaḥ /	eva antarbhūtaḥ 
SA_GR14_brhms5cu-47	ataiva kṛṣṇe kartṛtvāt sarvotkarṣakatvāt kṛṣṇa iti mukhyaṃ	atas eva kṛṣṇe kartṛ tvāt sarva utkarṣaka tvāt kṛṣṇaḥ iti mukhyam 
SA_GR14_brhms5cu-48	nāma / tasmād asyaiva tāni rūpāṇīty āha bahūnīti /	nāma  tasmāt asya eva tāni rūpāṇi iti āha bahūni iti 
SA_GR14_brhms5cu-49	tad evaṃ guṇa-dvārā	tat evam guṇa dvārā 
SA_GR14_brhms5cu-50	tan-nāmni prādhyānya-sūcakasya kṛṣṇasya tan-nāmnaḥ prādhānye labdhe -	tad nāmni prādhyānya sūcakasya kṛṣṇasya tad nāmnaḥ prādhānye labdhe 
SA_GR14_brhms5cu-51	kṛṣir bhū-vācakaḥ śabdo ṇaś ca nirvṛtivācakaḥ /	kṛṣiḥ bhū vācakaḥ śabdaḥ ṇaḥ ca nirvṛti vācakaḥ 
SA_GR14_brhms5cu-52	tayor aikyaṃ paraṃ brahma kṛṣṇa ity abhidhīyate //	tayoḥ aikyam param brahma kṛṣṇaḥ iti abhidhīyate 
SA_GR14_brhms5cu-53	iti yoga-vṛttitve tasya tādṛśatvaṃ labhyate /	iti yoga vṛtti tve tasya tādṛśa tvam labhyate 
SA_GR14_brhms5cu-54	na cedaṃ padyam anya-param /	na ca idam padyam anya param 
SA_GR14_brhms5cu-55	tad-upāsanā-tantra-gautamīya-tantre aṣṭādaśākṣara-vyākhyāyāṃ tad etat	tad upāsanātantra gautamīyatantre aṣṭādaśa akṣara vyākhyāyām tat etat 
SA_GR14_brhms5cu-56	tulyaṃ padyaṃ dṛśyate -	tulyam padyam dṛśyate 
SA_GR14_brhms5cu-57	kṛṣi-śabdaś ca sattārtho ṇaś cānanda-svarūpakaḥ /	kṛṣi śabdaḥ ca sattā arthaḥ ṇaḥ ca ānanda svarūpakaḥ 
SA_GR14_brhms5cu-58	sukha-rūpo bhaved ātmā bhāvānanda-mayatvataḥ // iti /	sukha rūpaḥ bhavet ātmā bhāva ānanda maya tvataḥ iti 
SA_GR14_brhms5cu-59	tasmād ayam arthaḥ - bhavanty asmāt sarve'rthā iti bhūḥ dhātv-artha ucyate	tasmāt ayam arthaḥ bhavanti asmāt sarverthāḥ iti bhūḥ dhātvarthaḥ ucyate 
SA_GR14_brhms5cu-60	bhāva-śadavat sa cātra karṣter evārthas tasyaiva prāptatvāt / gautamīye	bhāva śada vat sa ca atra karṣteḥ eva arthaḥ tasya eva prāpta tvāt gautamīye 
SA_GR14_brhms5cu-61	bhū-śabdasya sattā-vācakatve'pi tad-dhātv-artha-sattaivocyate / ghaṭatvaṃ	bhū śabdasya sattā vācaka tve pi tad dhātvartha sattā eva ucyate ghaṭa tvam 
SA_GR14_brhms5cu-62	sattā-vācakam ity ukte ghaṭa-sattaiva gamyate na tu paṭa-sattā na vā	sattā vācakam iti ukte ghaṭa sattā eva gamyate na tu paṭa sattā na vā 
SA_GR14_brhms5cu-63	sāmānya-satteti /	sāmānya sattā iti 
SA_GR14_brhms5cu-64	atha nivṛttir ānandas tayor aikyaṃ sāmānādhikaraṇyena vyaktaṃ yat paraṃ	atha nivṛttiḥ ānandaḥ tayoḥ aikyam sāmānādhikaraṇyena vyaktam yat param 
SA_GR14_brhms5cu-65	brahma sarvato'pi sarvasyāpi bṛṃhaṇaṃ vastu tat bṛhattamaṃ kṛṣṇa ity	brahma sarvatas api sarvasya api bṛṃhaṇam vastu tat bṛhattamam kṛṣṇaḥ iti 
SA_GR14_brhms5cu-66	abhidhīyate kintu kṛṣer ākarṣa-mātrārthatvena ṇa-śabdasya ca	abhidhīyate kintu kṛṣeḥ ākarṣa mātra ārtha tvena ṇa śabdasya ca 
