segmentnr	original	analyzed	translated
['MBsatcakranirnayaHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['MBsatcakranirnayaHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha Indological Research Institute www.muktabodha.org Muktabodha Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be otherwise copied, republished, redistributed, or resold, either in whole or in part, in any form, without the prior written permission of Muktabodha Indological Research Institute. Entered by the Muktabodha staff under the direction of Mark S. G. Dyczkowski. Catalogue Number:
['MBsatcakranirnayaHK-2']	Uniform title / ṣaṭcakranirṇaya	uniform title ṣaṭcakra nirṇaya 	Uniform Title: Ṣaṭcakriniścaya
['MBsatcakranirnayaHK-3']	Manuscript / BHU	manuscript bhu 	Manuscript: Bhu
['MBsatcakranirnayaHK-4']	Notes / Data entered by the staff of Muktabodha under the supervision of Mark S /G / Dyczkowski /	notes data entered by the staff muktabodha under the supervision of mark sg dyczkowski 	Notes: Data entered by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.
['MBsatcakranirnayaHK-5']	Revision / April /	revision april 	Revision: April 2018.
['MBsatcakranirnayaHK-6']	Publication country / India	publication country india 	Publication Country: India
['MBsatcakranirnayaHK-7']	ṣaṭcakranirṇaya	ṣaṭcakra nirṇaya 	Determination of the Six Cakras
['MBsatcakranirnayaHK-8']	atha ṣaṭcakranirṇayoyaṃ likhyate //	atha ṣaṭcakra nirṇayaḥ yam likhyate 	Now, this determination of the six cakras is written.
['MBsatcakranirnayaHK-9']	oṃ ṣaṭcakraṃ ṣoḍaśādhāraṃ trilakṣyaṃ vyomapañcakam /	om ṣaṭcakram ṣoḍaśa ādhāram tri lakṣyam vyomapañcakam 	Om. The six cakras, the sixteen supports, the three aims, the five voids,
['MBsatcakranirnayaHK-10']	śarīraṃ yena jānanti na te yogyāḥ kulāgame // //	śarīram yena jānanti na te yogyāḥ kula āgame 	By whom the body is known, they are not fit for the Kula scripture.
['MBsatcakranirnayaHK-11']	ā / brahmabilaṃ cakraṃ sandantateṣva /vasthitam /	ā brahmabilam cakram 	The cakra in the Brahma-hole is located in the middle of those.
['MBsatcakranirnayaHK-12']	yoganālaṃ samutpannaṃ trailokye sa carācare // //	yoga nālam samutpannam trailokye sa carācare 	The yoga-stalk has arisen in the three worlds with their moving and unmoving beings.
['MBsatcakranirnayaHK-13']	brahmakaṃndādhāraṃ brahmakaṃ sukhaṃ dadātīti brahmakāndam //	brahma kaṃnda ādhāram brahmakam sukham dadāti iti brahmakāndam 	The Brahma-stalk is the Brahma-hole, which gives the bliss of Brahma.
['MBsatcakranirnayaHK-14']	anyaśāstrābhiprāyaḥ //	anya śāstra abhiprāyaḥ 	The intention of other scriptures.
['MBsatcakranirnayaHK-15']	nāḍi tritayamuddiṣṭaṃ yatra līyetasaṃjñitam /	tritayam uddiṣṭam yatra 	The triad of channels is indicated, where the dissolution is known.
['MBsatcakranirnayaHK-16']	tacca kandeti paryāyaṃ tacca brahmabilaṃ smṛtam // //	tat ca kanda iti paryāyam tat ca brahmabilam smṛtam 	And that is known by the synonym of the bulb, and that is remembered as the Brahma-hole.
['MBsatcakranirnayaHK-17']	vāmadakṣiṇake nāḍyā viḍāpiṅgalasaṃjñake /	vāma dakṣiṇake nāḍyāḥ viḍā piṅgala saṃjñake 	The channels named Ida and Pingala on the left and right,
['MBsatcakranirnayaHK-18']	folio is missing but this seems to be a numbering mistake	folio is missing but this seems to be a numbering mistake 	The folio is missing but this seems to be a numbering mistake.
['MBsatcakranirnayaHK-19']	p / tayormadhye sthitā nāḍī suṣumṇā madhyamā smṛtā // //	tayoḥ madhye sthitā nāḍī suṣumṇā madhyamā smṛtā   	The channel located in the middle of those two is remembered as the central Suṣumnā.
['MBsatcakranirnayaHK-20']	viśrutā brahmanāḍīti brahmadarśayatissphuṭam /	viśrutā brahmanāḍī iti 	Renowned as the Brahma-channel, it clearly shows Brahma.
['MBsatcakranirnayaHK-21']	tasya / labilaṃ kandaṃ nābhyūrdhvādhoṅgulaṃ smṛtam // //	tasya la bilam kandam nābhi ūrdhva adhas aṅgulam smṛtam   	Its bulb is known to be one finger above and below the navel.
['MBsatcakranirnayaHK-22']	tattrikoṇamiti jñeyaṃ vistarādaṅguli trayam /	tat trikoṇam iti jñeyam vistarāt aṅguli trayam 	That should be known as the triangle, three fingers wide.
['MBsatcakranirnayaHK-23']	tasya madhye sthitā śaktiḥ pañcakāraṇabhakṣiṇī // //	tasya madhye sthitā śaktiḥ pañca kāraṇa bhakṣiṇī 	The power residing in its middle devours the five causes.
['MBsatcakranirnayaHK-24']	saṅkocana prayogena prabuddhā bhavatīti sā /	saṅkocana prayogena prabuddhā bhavati iti sā 	That power becomes awakened by the practice of contraction.
['MBsatcakranirnayaHK-25']	bhāvānābhāvagamyā sāprayātā parame pade // //	bhāva anābhāva gamyā sā a prayātā parame pade 	She is to be reached by the non-existence of existence, having gone to the supreme state.
['MBsatcakranirnayaHK-26']	evaṃ jñātvā mahābhāge kandādhāre sthitiṃ kuru /	evam jñātvā mahābhāge kandādhāre sthitim kuru 	Knowing this, O fortunate one, establish yourself in the foundation of the bulb.
['MBsatcakranirnayaHK-27', 'MBsatcakranirnayaHK-28']	tatra sthitvātmano rūpaṃ prākṛtaṃ tu parityajet // //🔽grāhayed bhāvanā yātaṃ / hātsarvagataṃ śivam /	tatra sthitvā ātmanaḥ rūpam prākṛtam tu parityajet  grāhayet bhāvanā yātam śivam 	Having established yourself there, abandon your natural form.🔽One should realize the all-pervading Śiva, reached by the mind, having abandoned everything.
['MBsatcakranirnayaHK-29']	yaṃ prāpya tarate pāraṃ ghorāt saṃsārasāgarāt // //	yam prāpya tarate pāram ghorāt saṃsāra sāgarāt 	Having attained Him, one crosses to the other shore of the terrible ocean of worldly existence.
['MBsatcakranirnayaHK-30']	dvitīyaṃ nābhicakraṃ tu nāgakuṇḍalasannibham /	dvitīyam nābhi cakram tu nāga kuṇḍala sannibham 	The second cakra is the navel, resembling a serpent's hood,
['MBsatcakranirnayaHK-31']	kuṇḍalīkṛti vikhyātamudayāstagakāraṇam // //	          	known as the coiled form, the cause of rising and setting.
